name,yomi_kana,yomi_romaji,yomi_source,gym,orgs,source_urls
COMACHI,COMACHI,,published_kana,MSJキックボクシングジム,K-1,https://www.k-1.co.jp/fighter/809
HASE・FLYSKYGYM,HaseFlyskyGym,,published_kana,FLYSKY GYM,K-1,https://www.k-1.co.jp/fighter/652
“KONG” 光生,“コング” コウセイ,“Kong” Kosei,published_kana,K-1ジム蒲田チームアスラ,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/1114
“TANK” 和将,“タンク” カズマサ,“TANK” Kazumasa,published_kana,K-1ジム蒲田チームアスラ,Krush|Krush-EX,https://www.k-1.co.jp/fighter/884
“DARUMA” 健太,“ダルマ” ケンタ,“DARUMA” Kenta,published_kana,K-1ジム蒲田チームアスラ,Krush|Krush-EX,https://www.k-1.co.jp/fighter/1291
“ブラックパンサー”ベイノア,“ブラックパンサー”ベイノア,,published_kana,極真会館,RISE,https://rise-rc.com/fighter/beynoah/|https://ja.wikipedia.org/wiki/“ブラックパンサー”ベイノア|https://www.k-1.co.jp/fighter/1256
相内 誠,アイウチ マコト,Makoto Aiuchi,published_kana,K26,RISE,https://rise-rc.com/fighter/aiuchi_makoto/|https://ja.wikipedia.org/wiki/相内誠
AIKO,アイコ,,published_kana,AX GYM,K-1,https://www.k-1.co.jp/fighter/1098
愛鷹 亮,アイタカ リョウ,Aitaka Ryo,published_kana,力道場静岡,K-1 WORLD GP|Krush|Krush-EX|RISE,https://www.k-1.co.jp/fighter/793|https://rise-rc.com/fighter/aitaka_ryo/|https://ja.wikipedia.org/wiki/愛鷹亮
アイマン・ラマー,アイマン・ラマー,,published_kana,URBAN MULTI BOXING,RISE,https://rise-rc.com/fighter/aiman-lahmar/
aimi-,アイミ,,published_kana,DANGER GYM,K-1,https://www.k-1.co.jp/fighter/1478
相見梨夏,アイミ リカ,Rika Aimi,converted,サクシードジム team EXCEED,RISE,https://rise-rc.com/fighter/aimi_rika/
アイメリック・ラジジ,アイメリック・ラジジ,,published_kana,MARSEILLE BOXE PIEDS POINGS,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1660
愛来,アイラ,AIRA,converted,一神會舘,KNOCK OUT,https://knockoutkb.com/fighters/aira_419
アイリン・ゴンザレス,アイリン・ゴンザレス,,published_kana,アルゼンチン,KNOCK OUT,https://knockoutkb.com/fighters/ayelen_gonzalez
青木 朋哉,アオキ トモヤ,Aoki Tomoya,published_kana,,K-1,https://www.k-1.co.jp/fighter/635
青木 繭,アオキ マユ,Aoki Mayu,published_kana,WORLD TREE GYM,Krush|Krush-EX,https://www.k-1.co.jp/fighter/1382
青津潤平,アオツ ジュンペイ,,published_kana,,,https://ja.wikipedia.org/wiki/青津潤平|https://www.k-1.co.jp/fighter/211
赤田 功輝,アカダ コウキ,Akada Koki,published_kana,RAIGHT,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/1112
AKARI,アカリ,,published_kana,TARGET,RISE,https://rise-rc.com/fighter/akari/|https://ja.wikipedia.org/wiki/AKARI_(キックボクサー)
アガティーノ・ラ・ローザ,アガティーノ・ラ・ローザ,,published_kana,Team Cutispoto,K-1,https://www.k-1.co.jp/fighter/1504
晃弘,アキヒロ,Akihiro,published_kana,K-1 GYM横浜infinity,K-1,https://www.k-1.co.jp/fighter/910
秋元 和也,アキモト カズヤ,Akimoto Kazuya,published_kana,K-1ジム三軒茶屋シルバーウルフ,K-1,https://www.k-1.co.jp/fighter/54
秋元皓貴,アキモト ヒロキ,,published_kana,,,https://ja.wikipedia.org/wiki/秋元皓貴
秋元 僚平,アキモト リョウヘイ,Akimoto Ryohei,published_kana,K-1ジム五反田チームキングス,K-1,https://www.k-1.co.jp/fighter/698
AKIRA,アキラ,,published_kana,,K-1,https://www.k-1.co.jp/fighter/494
AKIRA Jr.,アキラ ジュニア,,published_kana,Team Aj,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1295|https://ja.wikipedia.org/wiki/AKIRA_Jr
アキレアス・カラピペリス,アキレアス・カラピペリス,,published_kana,KRITIKOS CAMP,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1743
明世流,アクセル,Akuseru,published_kana,GRANDIR GYM×a,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/1266
アクラム・ハミディ,アクラム・ハミディ,,published_kana,Team Valente,K-1,https://www.k-1.co.jp/fighter/893
明戸 仁志,アケト ヒトシ,Aketo Hitoshi,published_kana,ALONZA ABLAZE,K-1,https://www.k-1.co.jp/fighter/212
麻原将平,アサハラ ショウヘイ,Shohei Asahara,published_kana,パウンドフォーパウンド,RISE,https://rise-rc.com/fighter/asahara_syohei/|https://ja.wikipedia.org/wiki/麻原将平|https://www.k-1.co.jp/fighter/586
朝久 泰央,アサヒサ タイオウ,Asahisa Taio,published_kana,朝久道場,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/104
朝久 裕貴,アサヒサ ヒロタカ,Asahisa Hirotaka,published_kana,朝久道場,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/168
旭野 穂,アサヒノ ミノル,ASAHINO Minoru,published_kana,キャピタルレイズ fightingGlaNz池袋,KNOCK OUT,https://knockoutkb.com/fighters/asahino_minoru_119|https://ja.wikipedia.org/wiki/旭野穂
阿佐美ザウルス,アサミ ザウルス,Asami Zaurus,published_kana,TANG TANG FIGHT CLUB,K-1,https://www.k-1.co.jp/fighter/354
浅利 一徹,アサリ イッテツ,Asari Ittetsu,published_kana,池袋BLUE DOG GYM,K-1,https://www.k-1.co.jp/fighter/651
足利 正和,アシカガ マサカズ,Ashikaga Masakazu,published_kana,,K-1,https://www.k-1.co.jp/fighter/806
芦澤竜誠,アシザワ リュウセイ,,published_kana,,,https://ja.wikipedia.org/wiki/芦澤竜誠|https://www.k-1.co.jp/fighter/708
アシュラフ・アーシラ,アシュラフ・アーシラ,,published_kana,Hammer crew 69/ Empire Fight gym,RISE,https://rise-rc.com/fighter/achraf-aasila/
アジス・カトゥー,アジス・カトゥー,,published_kana,,,https://ja.wikipedia.org/wiki/アジス・カトゥー
アジス・ヤヤ,アジス・ヤヤ,,published_kana,,,https://ja.wikipedia.org/wiki/アジス・ヤヤ
アスランベック・ジクレーブ,アスランベック・ジクレーブ,,published_kana,Kuzbass Muay Thai,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1553
アスラン・コシエフ,アスラン・コシエフ,,published_kana,Fight Club TITAN,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1696
AZUMA,アズマ,,published_kana,,,https://ja.wikipedia.org/wiki/AZUMA
東里美,アズマ サトミ,,published_kana,,,https://ja.wikipedia.org/wiki/東里美
アゼム・マクスタイ,アゼム・マクスタイ,,published_kana,,,https://ja.wikipedia.org/wiki/アゼム・マクスタイ
安達 元貴,アダチ ゲンキ,Adachi Genki,published_kana,RBアカデミー,K-1,https://www.k-1.co.jp/fighter/749
足立 麻衣子,アダチ マイコ,Adachi Maiko,published_kana,ONESIDE KICKBOXING GYM,K-1,https://www.k-1.co.jp/fighter/1535
アダム・ブアフフ,アダム・ブアフフ,,published_kana,Club Royal Rabat,K-1,https://www.k-1.co.jp/fighter/1045
アダム・ワット,アダム・ワット,,published_kana,,,https://ja.wikipedia.org/wiki/アダム・ワット
敦YAMATO,アツシヤマト,Atsushi Yamato,published_kana,大和ジム,K-1,https://www.k-1.co.jp/fighter/815
アティラ・カラチ,アティラ・カラチ,,published_kana,,,https://ja.wikipedia.org/wiki/アティラ・カラチ
アティ・フェロージム,アティ・フェロージム,,published_kana,FELLOWGYM,RISE,https://rise-rc.com/fighter/artty_fellowgym/
後川聡之,アトカワ トシユキ,,published_kana,,,https://ja.wikipedia.org/wiki/後川聡之
アトム山田,アトムヤマダ,,published_kana,,,https://ja.wikipedia.org/wiki/アトム山田
アドナン・レズヴィッチ,アドナン・レズヴィッチ,,published_kana,Gladiator Gym Sarajevo,K-1,https://www.k-1.co.jp/fighter/1471
アナトリー・ノスイレフ,アナトリー・ノスイレフ,,published_kana,,,https://ja.wikipedia.org/wiki/アナトリー・ノスイレフ
寧仁太・アリ,アニンタ アリ,Ayinta Ali,published_kana,,K-1,https://www.k-1.co.jp/fighter/988
アヌワット・ゲーオサムリット,アヌワット・ゲーオサムリット,,published_kana,,,https://ja.wikipedia.org/wiki/アヌワット・ゲーオサムリット
アビラル・ヒマラヤン・チーター,アビラル・ヒマラヤン・チーター,,published_kana,志村道場,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/1121
アフマド・アコーダッド,アフマド・アコーダッド,,published_kana,Brutal Gym,RISE,https://rise-rc.com/fighter/ahmed-akoudad/
アフマド・チクムーサ,アフマド・チクムーサ,,published_kana,ドイツ,KNOCK OUT,https://knockoutkb.com/fighters/ahmad_chickmousa_628
アブデラ・エズビリ,アブデラ・エズビリ,,published_kana,Team EZBIRI,RISE,https://rise-rc.com/fighter/abdallah_ezbiri/
アブネル・フェレイラ,アブネル・フェレイラ,,published_kana,生年月日,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1513
アブラーム・ハツィゲオルギウ,アブラーム・ハツィゲオルギウ,,published_kana,AIAS CHOLARGOU,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1773
アブロール・ハキモフ,アブロール・ハキモフ,,published_kana,Osh Asia Sports Club,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1753
安倍基江,アベ モトエ,,published_kana,,,https://ja.wikipedia.org/wiki/安倍基江
天田ヒロミ,アマダ ヒロミ,,published_kana,,,https://ja.wikipedia.org/wiki/天田ヒロミ
天野 颯大,アマノ ソウタ,Amano Sota,published_kana,キング・ムエ,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/1206
アマラ忍,アマラ シノブ,,published_kana,,,https://ja.wikipedia.org/wiki/アマラ忍
アマンシオ・パラスキフ,アマンシオ・パラスキフ,,published_kana,Amansio Fight Club,K-1,https://www.k-1.co.jp/fighter/1383
愛弥,アミ,Ami,converted,NEXT LEVEL 渋谷,RISE,https://rise-rc.com/fighter/ami/
アミール・ゼヤダ,アミール・ゼヤダ,,published_kana,,,https://ja.wikipedia.org/wiki/アミール・ゼヤダ
アム・ザ・ロケット,アム・ザ・ロケット,,published_kana,タイ/Elite Fight Club,KNOCK OUT,https://knockoutkb.com/fighters/amp_the_rocket_414
雨宮 空,アメミヤ ソラ,Amemiya Sora,published_kana,K-1ジム三軒茶屋シルバーウルフ,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/1479
綾香,アヤカ,Ayaka,published_kana,K-1 GYM SAGAMI-ONO KREST,K-1,https://www.k-1.co.jp/fighter/1210
