name,realname,source_url
AKIRA Jr.,梅村 アキラジュニア,https://ja.wikipedia.org/wiki/AKIRA_Jr
DAVID,デイビッド・アーチュリータ,https://ja.wikipedia.org/wiki/DAVID_(キックボクサー)
Dyki,宮城 大樹,https://ja.wikipedia.org/wiki/Dyki
HAYATO,蓑田 隼斗,https://ja.wikipedia.org/wiki/HAYATO
HIROYA,河部 弘也,https://ja.wikipedia.org/wiki/HIROYA
Little Tiger,宮内 彩香,https://ja.wikipedia.org/wiki/Little_Tiger
MOE,髙橋 萌,https://ja.wikipedia.org/wiki/高橋萌
MasakIラジャサクレック,花井 奨規,https://ja.wikipedia.org/wiki/MasakIラジャサクレック
NIIZUMAX!,新妻 耕平,https://ja.wikipedia.org/wiki/NIIZUMAX!
NORIKO,野木 紀子,https://ja.wikipedia.org/wiki/角田紀子
T-98,今村卓也,https://ja.wikipedia.org/wiki/T-98
TATSUJI,高江 達二,https://ja.wikipedia.org/wiki/TATSUJI
TOMO,森 知行,https://ja.wikipedia.org/wiki/TOMO_(格闘家)
TURBΦ,長塚 崇,https://ja.wikipedia.org/wiki/TURBΦ_(キックボクサー)
Uver∞miyU,高橋 美結,https://ja.wikipedia.org/wiki/Uver∞miyU
“狂拳”竹内 裕二,竹内 裕二,"https://ja.wikipedia.org/wiki/""狂拳""竹内裕二"
☆MIKA☆,長井 未果,https://ja.wikipedia.org/wiki/☆MIKA☆
いつか,横瀬 いつか,https://ja.wikipedia.org/wiki/横瀬いつか
せり,斎藤 せり,https://ja.wikipedia.org/wiki/せり_(格闘家)
ちはる,森川 ちはる,https://ja.wikipedia.org/wiki/ちはる_(キックボクサー)
ぱんちゃん璃奈,岡本 璃奈,https://ja.wikipedia.org/wiki/ぱんちゃん璃奈
アヌワット・ゲーオサムリット,アピサック・ロンピチャイ,https://ja.wikipedia.org/wiki/アヌワット・ゲーオサムリット
アマラ忍,ツグト・アマラバヤサガラン,https://ja.wikipedia.org/wiki/アマラ忍
アレキサンダー・ピチュクノフ,アレクサンドル・ピテュクノフ,https://ja.wikipedia.org/wiki/アレキサンダー・ピチュクノフ
アレックス・ゴング,アレクサンダー・ジェームズ・ゴング,https://ja.wikipedia.org/wiki/アレックス・ゴング
アレックス・ロバーツ,アレキサンダー・リチャード・ロバーツ,https://ja.wikipedia.org/wiki/アレックス・ロバーツ
アンダーソン・ブラドック・シルバ,アンデルソン・シウバ,https://ja.wikipedia.org/wiki/アンダーソン・ブラドック・シルバ
アンディ・サワー,Andreas Souwer,https://ja.wikipedia.org/wiki/アンディ・サワー
アンディ・フグ,アンドレーアス・フーク,https://ja.wikipedia.org/wiki/アンディ・フグ
アントニー・ハードンク,アントニ・バレンド・ハードンク,https://ja.wikipedia.org/wiki/アントニー・ハードンク
アーネスト・ホースト,アーネスト・フリッツ・ホースト,https://ja.wikipedia.org/wiki/アーネスト・ホースト
イアン・シャファー,イアン・ジェームス・シャファー,https://ja.wikipedia.org/wiki/イアン・シャファー
イ・チンジン,池 仁珍,https://ja.wikipedia.org/wiki/池仁珍
エヴジェニー・オルロフ,エフゲニー・オルロフ,https://ja.wikipedia.org/wiki/エヴジェニー・オルロフ
オーレ・ローセン,オーレ・バギオ・ローセン,https://ja.wikipedia.org/wiki/オーレ・ローセン
カク・ユンソブ,クァク・ユンソプ,https://ja.wikipedia.org/wiki/カク・ユンソブ
カーター・ウィリアムス,カーター・リー・ウイリアムス,https://ja.wikipedia.org/wiki/カーター・ウィリアムス
ガオグライ・ゲーンノラシン,アーティッド・ダムカム,https://ja.wikipedia.org/wiki/ガオグライ・ゲーンノラシン
キム・ギョンソック,金慶拓,https://ja.wikipedia.org/wiki/キム・ギョンソック
キム・ドンウック,金東郁,https://ja.wikipedia.org/wiki/キム・ドンウック_(格闘家)
キム・ミンス,金 岷秀,https://ja.wikipedia.org/wiki/キム・ミンス
キム・ヨンヒョン,金永賢,https://ja.wikipedia.org/wiki/キム・ヨンヒョン
ギンティ・ブレーダ,Ginty Owen Vrede,https://ja.wikipedia.org/wiki/ギンティ・ブレーダ
サトルヴァシコバ,小林 悟,https://ja.wikipedia.org/wiki/サトルヴァシコバ
サム・グレコ,サルバトーレ・グレコ,https://ja.wikipedia.org/wiki/サム・グレコ
サーマート・パヤクァルン,Samart Tiptarmai,https://ja.wikipedia.org/wiki/サーマート・パヤクァルン
シリモンコル・シンワッサ,シリモンコン・ランチュオム,https://ja.wikipedia.org/wiki/シリモンコン・シンワンチャー
シング・心・ジャディブ,シング・ジャディブ,https://ja.wikipedia.org/wiki/シング・心・ジャディブ
ジェット・イズミ,野口 泉,https://ja.wikipedia.org/wiki/ジェット・イズミ
ジョン・ウェイン・パー,ウェイン・グレゴリー・パー,https://ja.wikipedia.org/wiki/ジョン・ウェイン・パー
スタン・ザ・マン,スタン・ロンギニディス,https://ja.wikipedia.org/wiki/スタン・ザ・マン_(キックボクサー)
セルゲイ・ラシェンコ,セルヒー・ラシチェンコ,https://ja.wikipedia.org/wiki/セルゲイ・ラシェンコ
ソルデティグレ・ヨースケ,佐藤 要介,https://ja.wikipedia.org/wiki/ソルデティグレ・ヨースケ
タケル,森 史郎,https://ja.wikipedia.org/wiki/タケル_(格闘家)
ダグ・ヴィニー,Douglas Ma'afu Hawke,https://ja.wikipedia.org/wiki/ダグ・ヴィニー
チェ・ヨンス,崔龍洙,https://ja.wikipedia.org/wiki/崔龍洙_(ボクサー)
チャンプア・ゲッソンリット,ソムチャイ・ローブクゥエーン,https://ja.wikipedia.org/wiki/チャンプア・ゲッソンリット
チョ・ジョンファン,チャ・ジョンファン,https://ja.wikipedia.org/wiki/チョ・ジョンファン
チ・インジン,池 仁珍,https://ja.wikipedia.org/wiki/池仁珍
トスカ・ペトリディス,タシス・ペトリディス,https://ja.wikipedia.org/wiki/トスカ・ペトリディス
ドラゴ,ガギク・アルチュニャン,https://ja.wikipedia.org/wiki/ドラゴ
ドン・ウィルソン,ドナルド・グレン・ウィルソン,https://ja.wikipedia.org/wiki/ドン・ウィルソン_(ボクサー)
ナオフォール“アイアン・レッグ”,ナオフォール・ベナゾーズ,https://ja.wikipedia.org/wiki/ナオフォール“アイアン・レッグ”
ニキー・ホルツケン,ニコラス・ホルツケン,https://ja.wikipedia.org/wiki/ニキー・ホルツケン
"ネイサン・""カーネッジ""・コーベット",ネイサン・コーベット,https://ja.wikipedia.org/wiki/ネイサン・コーベット
ノブ・ハヤシ,林 伸樹,https://ja.wikipedia.org/wiki/ノブ・ハヤシ
"ハリッド""ディ・ファウスト""",ハリッド・アラブ,"https://ja.wikipedia.org/wiki/ハリッド""ディ・ファウスト"""
バタービーン,エリック・スコット・エッシュ,https://ja.wikipedia.org/wiki/バタービーン
パク・ヨンス,朴龍洙,https://ja.wikipedia.org/wiki/パク・ヨンス
パトリック・バリー,パトリック・ジョセフ・バリー,https://ja.wikipedia.org/wiki/パトリック・バリー
フランシスコ・フィリォ,Francisco Alves Filho,https://ja.wikipedia.org/wiki/フランシスコ・フィリォ
"フランソワ・""ザ・ホワイトバッファロー""・ボタ",フランソワ・ヨハネス・ボタ,https://ja.wikipedia.org/wiki/フランソワ・ボタ
フレディ・ケマイヨ,Frédéric Kemayo,https://ja.wikipedia.org/wiki/フレディ・ケマイヨ
ブアカーオ・ポー.プラムック,ソムバット・バンチャーメー,https://ja.wikipedia.org/wiki/ブアカーオ・ポー.プラムック
ブラックマンバ,カルター・ギル,https://ja.wikipedia.org/wiki/ブラックマンバ_(格闘家)
ブランコ・シカティック,ブラニミル・ツィカティッチ,https://ja.wikipedia.org/wiki/ブランコ・シカティック
ボグダン・ストイカ,ボグダン・クリスティアン・ストイカ,https://ja.wikipedia.org/wiki/ボグダン・ストイカ
ボブ・サップ,ロバート・マルコム・サップ,https://ja.wikipedia.org/wiki/ボブ・サップ
ポール・スロウィンスキー,Paweł Słowiński,https://ja.wikipedia.org/wiki/ポール・スロウィンスキー
マイク・ザンビディス,ミカリス・ザンビディス,https://ja.wikipedia.org/wiki/マイク・ザンビディス
マイク・ベルナルド,マイケル・ショーン・ベルナルド,https://ja.wikipedia.org/wiki/マイク・ベルナルド
マイケル・マクドナルド,マイケル・アンソニー・マクドナルド,https://ja.wikipedia.org/wiki/マイケル・マクドナルド_(格闘家)
マイティ・モー,シアラ＝モウ・シリガ,https://ja.wikipedia.org/wiki/マイティ・モー
マグナム酒井,酒井 亮,https://ja.wikipedia.org/wiki/マグナム酒井
マリウス・ザロムスキー,マリウス・ザロムスキス,https://ja.wikipedia.org/wiki/マリウス・ザロムスキー
マーティン・ロザルスキー,マルチン・ロザルスキ,https://ja.wikipedia.org/wiki/マーティン・ロザルスキー
モンターニャ・シウバ,Montanha Silva,https://ja.wikipedia.org/wiki/モンターニャ・シウバ
モーリス・スミス,モーリス・L・スミス,https://ja.wikipedia.org/wiki/モーリス・スミス
ヤン・ロムルダー,ヤン・ティヌス・ロムルダー,https://ja.wikipedia.org/wiki/ヤン・ロムルダー
ランディ・キム,キム・ジェイル,https://ja.wikipedia.org/wiki/ランディ・キム
ランバー・ソムデートM16,ランバー・ソムデート,https://ja.wikipedia.org/wiki/ランバー・ソムデートM16
リョウ・ペガサス,小松 諒,https://ja.wikipedia.org/wiki/リョウ・ペガサス
レイ・スターリン,Raymond Starring,https://ja.wikipedia.org/wiki/レイ・スターリン
レオナ・ペタス,加藤 玲於奈,https://ja.wikipedia.org/wiki/レオナ・ペタス
レミー・ボンヤスキー,レミー・ケネス・ボンヤスキー,https://ja.wikipedia.org/wiki/レミー・ボンヤスキー
ワチャラチャイ・ゲーオサムリット,ポンサネー・ヌーラック,https://ja.wikipedia.org/wiki/ワチャラチャイ・ゲーオサムリット
ヴィタリ・オフラメンコ,ビタリー・アフラメーンカ,https://ja.wikipedia.org/wiki/ヴィタリ・オフラメンコ
ヴィトー・ミランダ,ヴィトール・ブルーノ・ソアレス・ミランダ,https://ja.wikipedia.org/wiki/ヴィトー・ミランダ
三上 大智,三上 ヘンリー 大智,https://ja.wikipedia.org/wiki/三上ヘンリー大智
中嶋平八,中嶋 浩二,https://ja.wikipedia.org/wiki/中嶋平八
京太郎,藤本 京太郎,https://ja.wikipedia.org/wiki/藤本京太郎
佑典,小島 佑典,https://ja.wikipedia.org/wiki/佑典
健太,山田 健太,https://ja.wikipedia.org/wiki/健太
内田ノボル,松本 昇,https://ja.wikipedia.org/wiki/内田ノボル
前口太尊,前口 泰祐,https://ja.wikipedia.org/wiki/前口太尊
吉鷹弘,非公開,https://ja.wikipedia.org/wiki/吉鷹弘
国崇,藤原 国崇,https://ja.wikipedia.org/wiki/国崇
土井広之,土井 博幸,https://ja.wikipedia.org/wiki/土井広之
壮泰,山本 壮泰,https://ja.wikipedia.org/wiki/壮泰
大和 哲也,岩下 哲也,https://ja.wikipedia.org/wiki/大和哲也
大和侑也,松本 侑也,https://ja.wikipedia.org/wiki/大和侑也
大月 晴明,大西 宏之,https://ja.wikipedia.org/wiki/大月晴明
大沢昇,藤平 昭雄,https://ja.wikipedia.org/wiki/大沢昇
天承山,山内 幸夫,https://ja.wikipedia.org/wiki/天承山
天田ヒロミ,天田 広美,https://ja.wikipedia.org/wiki/天田ヒロミ
太刀風,高橋 誠一,https://ja.wikipedia.org/wiki/太刀風_(格闘家)
宮本武勇志,宮本 典寛,https://ja.wikipedia.org/wiki/宮本武勇志
小比類巻太信,小比類巻 貴之,https://ja.wikipedia.org/wiki/小比類巻太信
山内佑太郎,山内 裕太郎,https://ja.wikipedia.org/wiki/山内佑太郎
志朗,松本 志朗,https://ja.wikipedia.org/wiki/志朗
愛鷹 亮,後藤 亮,https://ja.wikipedia.org/wiki/愛鷹亮
我龍真吾,山本 真吾,https://ja.wikipedia.org/wiki/我龍真吾
拳士浪,矢野志朗,https://ja.wikipedia.org/wiki/拳士浪
撫子,柴田 未悠,https://ja.wikipedia.org/wiki/撫子_(キックボクサー)
日菜太,渡辺 日菜太,https://ja.wikipedia.org/wiki/日菜太
木村天鮮,木村 敬明,https://ja.wikipedia.org/wiki/木村天鮮
村浜武洋,村濱 武洋,https://ja.wikipedia.org/wiki/村浜武洋
松下えみ,松下 絵美,https://ja.wikipedia.org/wiki/松下えみ
栄基,桜田 栄基,https://ja.wikipedia.org/wiki/栄基
桃花シンデレラ,牧 桃花,https://ja.wikipedia.org/wiki/桃花シンデレラ
桜朋梨恵,大友 里恵,https://ja.wikipedia.org/wiki/桜朋凛
梶原龍児,梶原 隆治,https://ja.wikipedia.org/wiki/梶原龍児
榎田洸之,榎田 寛之,https://ja.wikipedia.org/wiki/榎田洸之
武尊,世川 武尊,https://ja.wikipedia.org/wiki/武尊
武蔵,森 昭生,https://ja.wikipedia.org/wiki/武蔵_(格闘家)
沢村忠,白羽 秀樹,https://ja.wikipedia.org/wiki/沢村忠
港太郎,田代 義治,https://ja.wikipedia.org/wiki/港太郎
神村エリカ,神村 江里加,https://ja.wikipedia.org/wiki/神村エリカ
神風莉央,千代森 莉央,https://ja.wikipedia.org/wiki/神風莉央
稲毛忠治,松田正,https://ja.wikipedia.org/wiki/稲毛忠治
羅紗陀,向山 竜一,https://ja.wikipedia.org/wiki/羅紗陀
船木鷹虎,船木 実,https://ja.wikipedia.org/wiki/船木鷹虎
菊池浩一,菊地 浩一,https://ja.wikipedia.org/wiki/菊池浩一
藤原あらし,藤原 正起,https://ja.wikipedia.org/wiki/藤原あらし
藤鬥嘩裟,笠原 司,https://ja.wikipedia.org/wiki/藤鬥嘩裟
貴センチャイジム,駒村 貴之,https://ja.wikipedia.org/wiki/貴センチャイジム
金泰泳,김태영,https://ja.wikipedia.org/wiki/金泰泳_(格闘家)
長島☆自演乙☆雄一郎,長島 雄一郎,https://ja.wikipedia.org/wiki/長島☆自演乙☆雄一郎
関ナオト,関 直人,https://ja.wikipedia.org/wiki/関ナオト
闘魔,當麻 正惟,https://ja.wikipedia.org/wiki/闘魔
隼也ウィラサクレック,内野 隼也,https://ja.wikipedia.org/wiki/隼也ウィラサクレック
雄大,晴山 雄大,https://ja.wikipedia.org/wiki/雄大_(キックボクサー)
風成,鈴木 風成,https://ja.wikipedia.org/wiki/風成
飯田なお,飯田 菜生,https://ja.wikipedia.org/wiki/飯田なお
駿太,伊藤 駿太,https://ja.wikipedia.org/wiki/駿太
高萩ツトム,高萩 勉,https://ja.wikipedia.org/wiki/高萩勉
魔裟斗,小林 雅人,https://ja.wikipedia.org/wiki/魔裟斗
黒田アキヒロ,黒田 哲広,https://ja.wikipedia.org/wiki/黒田アキヒロ
