event	row_count
	75
Beast of the East	39
不明	36
Fight Club Arbat	34
REBELS	14
武林風	14
KING OF KINGS TOUITSU in KOBE	13
Steko's Fight Night	13
Kings of the Ring	11
オランダ	11
Fighting European Tour	10
WBKF Europe Tournament (+93kg) @ Club Arbat	10
Tough is Not Enough	9
WBKF Tournament (+93kg) @ Club Arbat	9
Amsterdam Fight Club	8
Champions of Champions 2	8
Dynamite!! 〜勇気のチカラ2008〜	8
Gentlemen Fight Night	8
IKUSA GP -U60 SUPERSTAR☆Z TOURNAMENT -FINAL STAGE-	8
Janus Fight Night 2007	8
タイ	8
一撃 2.22 ICHIGEKI	8
後楽園ホール	8
掣圏道 SWAアルティメットボクシング	8
16th World Kickboxing Championships	7
Balans Fight Night	7
Janus Fight Night 2006	7
K-2 GRAND PRIX '93	7
MA日本キックボクシング連盟	7
マーシャルアーツ日本キックボクシング連盟	7
ムエローク Japan 2009 〜最大最強のムエタイ祭り〜	7
全日本キック	7
武林風 2014	7
2 Hot 2 Handle	6
4th Busan TAFISA World Games	6
Arbat	6
BORDERKICKBOXING	6
Dynamite!! 〜勇気のチカラ2009〜	6
Gentleman Fight Night IV	6
IFMA World Championship	6
Iron Challenge	6
Local Kombat 31	6
M-1 FAIRTEX SINGHA BEER ムエタイチャレンジ 2009 Yod Nak Suu vol.2	6
Night of Thunderman 3	6
RDF Dodge Trophy	6
REBELS.10	6
REBELS.6	6
REBELS.8 & IT’S SHOWTIME JAPAN countdown-1	6
REBELS.9	6
"Tournament ""Cup of Gold Bars"" (over 91 kg)"	6
2H2H	5
Fights at the Border IV	5
Fujiwara Festival 〜藤原祭り2010〜	5
Heaven or Hell 5	5
K-2 France Grand Prix 1995	5
K.O CLIMAX 2019	5
KT Kickboxing Tournament	5
Kushima's Fight 7 拳神伝 〜プロキックボクシングトーナメント〜	5
Local Kombat 28	5
Local Kombat 30	5
M-1 RAJA BOXING SINGHA BEER ムエタイチャレンジ「NAI KANOMTOM vol.2」	5
Masters Fight Night	5
Mugendo World Grand Prix	5
Survivor 〜Round.2〜	5
WKN Simply the best	5
Wolf Revolution 〜Second Wave〜	5
オーストラリア	5
スイス	5
マーシャルアーツ日本キックボクシング連盟「MILLENNIUM CHAMPION CARNIVAL」	5
ルンピニスタジアム	5
一撃 8.10 ICHIGEKI	5
大阪府立第2体育館	5
16th WORLDKICKBOXING CHAMPIONSHIPS	4
A-1 World Combat Cup	4
BARS - Cup of Arbat Final (+94 KG)	4
BLADE 1-BLADE FIGHTING CHAMPIONSHIP-BLADE FC JAPAN -61kg	4
EUROPEAN KICKBOXING CHAMPIONSHIPS	4
European Championships 2004	4
Hero Legends	4
IFMA Muay Thai World Championships 2004	4
IFMA World Muay Thai Championships	4
IKUSA GP -U60 SUPERSTAR☆Z TOURNAMENT -Opening Stage-	4
J-NET	4
Judgement Day II Super 8	4
K.O CLIMAX 2019 SUMMER KICK FEVER	4
KO World Series	4
Kickboxing Tournament Prague 1997	4
La Finale du Grand Tournoi	4
La Nuit des Champions	4
La nuit des super fights	4
Light Heavyweight Super 8	4
Local Kombat 19	4
M-1 FAIRTEX SINGHA BEER ムエタイチャレンジ 2009 Yod Nak Suu vol.4	4
M-1 FAIRTEX SINGHA BEER ムエタイチャレンジ「Legend of elbows 2008 〜JAO SUU〜」	4
"MARS 11 ""2nd ANNIVERSARY"""	4
Muay Thai World Championships 2007	4
Muay Thai: World Title Fight	4
NOC BOJOVNIKOV 4	4
Noc Bojovnikov 5	4
REBELS 3	4
REBELS.11	4
REBELS.23	4
REBELS.54	4
REBELS.58	4
REBELS.7	4
RISING SUN	4
RWS JAPAN	4
Ring of Honor	4
SLAMM - Netherland vs Thailand III	4
SLAMM - Netherland vs Thailand IV	4
SuperKombat: Fight Club	4
Survivor Round.1	4
Toyota Marathon	4
WFCA	4
WLF ワールド・チャンピオンシップ 2015	4
War of the Worlds	4
XPLOSION SUPER FIGHT 12	4
XPLOSION SUPER FIGHT 19	4
エバレット (ワシントン州)	4
スッグ・フェアテックス	4
タイ・オムノーイスタジアム	4
フランス	4
一撃 1.11 ICHIGEKI	4
名古屋市公会堂	4
和書	4
武林風550	4
英雄伝説	4
英雄伝説 2015 （HERO LEGENDS）	4
-	3
2H2H - Simply The Best	3
A-1 World Combat Cup Tournament	3
African Bomba-Yaa	3
Akhmat Fight Show	3
Angels of Fire II	3
Arbat - WBKF Europe Tournament	3
BARS - Cup of Arbat Quarterfinals	3
BARS - Cup of Arbat Semifinals	3
BARS - Cup of Arbat Semifinals (+94 KG)	3
BUNGELING BAY 縁 〜enishi〜	3
BUSHIDO Europe - ROTTERDAM RUMBLE	3
Battle of Arnhem III	3
Cro Cop Final Fight	3
D4D Toyota Cup	3
Dynamite! SUMMER NIGHT FEVER in 国立	3
European Kickboxing Championships	3
FUTURE FIGHTER IKUSA 3 〜特攻〜 BROKEN ARROW	3
FUTURE FIGHTER IKUSA 4 〜宴〜 FIREWORKS	3
Fight At The Border 1	3
Fight Night Saint-Tropez II	3
Fight Night Veghel	3
GIRLS STANDING FIGHT - Girls SHOCK IV	3
Gala Gym Alkmaar	3
Gentleman Fight Night	3
Girls SHOCK V	3
IFMA European Amateur Muaythai championships	3
INOKI BOM-BA-YE 2002	3
ISKA Championship Kickboxing	3
IT’S SHOWTIME JAPAN countdown-2	3
Janus Fight Night	3
Janus Fight Night 2005	3
K-2 PLUS TOURNAMENT	3
K-3 オランダ	3
KAKUMEI KICKBOXING	3
KING OF OCEANIA Round1	3
KOK World GP 2010 in Moscow	3
KOMA GP	3
Kickboxing Superstar XIX	3
King of the Ring in Cottbus	3
Kings Birthday 2010	3
Knees of Fury 10 WMC World Heavyweight GP	3
Kunlun Fight	3
Kunlun Fight 62	3
Kunlun Fight 74	3
Last Man Standing 2, semi final	3
Local Kombat 16	3
Local Kombat 21	3
Local Kombat 24	3
Local Kombat 27	3
Local Kombat 29	3
Local Kombat 32	3
Local Kombat 33	3
Lokal Kombat 18	3
Lord of Ring	3
M-1	3
M-1 FAIRTEX SINGHA BEER ムエタイチャレンジ2009 Yod Nak Suu vol.3	3
M-1 FAIRTEX SINGHA BEER ムエタイチャレンジ「Legend of elbows 2008 〜CRASH〜」	3
M-1 FAIRTEX SINGHA BEER ムエタイチャレンジ「Legend of elbows 2008 〜MIND〜」	3
M-1 RAJA BOXING SINGHA BEER ムエタイチャレンジ「NAI KANOMTOM vol.3」	3
M-1「120th ANNIVERSARY OF JAPAN-THAILAND」	3
M-1ムエタイチャレンジ RAORAK MUAY FINAL	3
MAキック	3
MUAYTHAI SUPER CHAMP	3
Max Muay Thai	3
Mix Fight Gala　11	3
Muay Thai Warriors	3
MuayThaiOpen 48	3
NAGOYAKICK 〜BoogieFight07 Black Sunday〜	3
NIGHT OF THE STARS	3
NO KICK NO LIFE	3
Nacht der 8 in Berlin Treptow	3
Night of Revenge	3
Nuit Des Champions	3
Nuit des Champions	3
Planet Battle	3
REBELS.13	3
REBELS.15	3
REBELS.3	3
REBELS.37	3
REBELS.38	3
REBELS.46	3
REBELS.57	3
REBELS.61	3
REBELS.62	3
REBELS.65	3
RWS	3
Rajadumnern Stadium	3
Return of the King 2	3
Ring Sensation	3
S-1 European Elimination	3
S1世界選手権	3
SSSR Championship	3
SuperKombat World Grand Prix I 2012	3
THE BEST OF THE BEST	3
The Challenger 中国	3
The Khan 2	3
Time For Action presents Team SuperPro 10 Year Anniversary	3
Time for Action	3
Toyota Cup 2010 Tournament	3
Toyota Vigo Marathon Tournament	3
Ufa	3
VIP Fight Night 2009	3
W.O.K.A. Super Welterweight World Title Fight	3
W5 Grand Prix Heavyweight tournament	3
WLF 2018 武林風 世界拳王争覇戦 in 温県	3
WMC-IFMA World Muay Thai Championships	3
WOLF REVOLUTION	3
WOLF REVOLUTION 〜First Wave〜	3
Wolf Revolution 〜Third Wave〜	3
XPLOSION SUPER FIGHT 16	3
XPLOSION SUPER FIGHT 17	3
ZIHAD cup STIR KING 2011	3
ギニア Muaythai Tournament	3
スッグ・フェアテック	3
