slug,name,history_index,date,event,opponent,result,org,events_on_that_date,_detail
asakura-kai,朝倉 海,27,2012-09-16,DEEP CAGE IMPACT 浜松,鈴木智也,win,DEEP,(none),before_brand_earliest(2013-06-15)
asakura-mikuru,朝倉 未来,25,2012-09-18,DEEP CAGE IMPACT 2012 in HAMAMATSU,板垣守計,win,DEEP,(none),before_brand_earliest(2013-06-15)
koike-kleber,クレベル・コイケ,27,2014-09-14,DEEP HAMAMATSU IMPACT,別府セブン,win,DEEP,(none),before_brand_earliest(2022-09-25)
koike-kleber,クレベル・コイケ,35,2011-09-18,DEEP CAGE IMPACT 2011 IN HAMAMATSU,小池秀信,win,DEEP,(none),before_brand_earliest(2013-06-15)
koike-kleber,クレベル・コイケ,36,2011-02-06,DEEP SHIZUOKA IMPACT,田中慎一郎,win,DEEP,(none),before_brand_earliest(2012-12-22)
koike-kleber,クレベル・コイケ,38,2010-09-19,DEEP CAGE IMPACT 2010 IN HAMAMATSU,梶田高裕,draw,DEEP,(none),before_brand_earliest(2013-06-15)
koike-kleber,クレベル・コイケ,39,2009-10-10,DEEP 44 IMPACT,北田俊亮,loss,DEEP,(none),before_brand_earliest(2010-10-24)
koike-kleber,クレベル・コイケ,40,2009-09-27,DEEP HAMAMATSU IMPACT,藤井嵩士,win,DEEP,(none),before_brand_earliest(2022-09-25)
koike-kleber,クレベル・コイケ,41,2009-08-30,DEEP OSAKA IMPACT,前田吉朗,loss,DEEP,(none),before_brand_earliest(2013-04-28)
koike-kleber,クレベル・コイケ,42,2009-06-05,DEEP 42 IMPACT,ISE,loss,DEEP,(none),before_brand_earliest(2010-10-24)
koike-kleber,クレベル・コイケ,45,2008-08-28,Club DEEP 浜松,和田まさき,win,DEEP,(none),before_brand_earliest(2022-09-25)
inoue-naoki,井上 直樹,21,2016-06-12,DEEP NAGOYA IMPACT 公武堂ファイト,加藤直之,win,DEEP,(none),before_brand_earliest(2022-07-24)
