slug,name,history_index,date,event,opponent,result,org,events_on_that_date,_detail
koike-kleber,クレベル・コイケ,29,2013-09-15,DEEP CAGE IMPACT 2013 IN HAMAMATSU,植田豊,win,DEEP,(none),
inoue-naoki,井上 直樹,19,2016-10-09,DEEP CAGE IMPACT 2016 in OSAKA,"柴田""MONKEY""有哉",win,DEEP,(none),
hagiwara-kyohei,萩原 京平,21,2017-03-26,DEEP SAITAMA IMPACT 2017,荒井真人,loss,DEEP,(none),
shinryu-makoto,神龍 誠,21,2018-10-27,DEEP 86 IMPACT,中山ハルキ,win,DEEP,(none),"番号一致候補あり未確定(found_date=2022-10-27, found_event=DEEP 86 IMPACT)。DEEP公式サイトで該当boutを確認できず修正見送り"
shinryu-makoto,神龍 誠,24,2017-12-24,DEEP OSAKA IMPACT,獅庵,win,DEEP,(none),
motoya-yuki,元谷 友貴,44,2013-04-14,DEEP TOYAMA IMPACT 11,青山忍,win,DEEP,(none),
oshima-saori,大島 沙緒里,10,2023-02-04,Black Combat 5: Song of the Sword 【DEEP×BLACK COMBAT対抗戦】,ホン・イェリン,win,DEEP,(none),
kintaro,金太郎,16,2017-12-24,PANCRASE vs DEEP 大阪大会,土肥潤,win,DEEP,(none),
kintaro,金太郎,20,2015-04-29,DEEP OSAKA IMPACT 2015,渡辺智史,win,DEEP,(none),
kintaro,金太郎,22,2014-10-19,DEEP CAGE IMPACT in OSAKA 2014,小松寛司,win,DEEP,(none),
kintaro,金太郎,24,2014-02-23,DEEP OSAKA IMPACT 2014,篠川晴成,draw,DEEP,(none),
suda-moeri,須田 萌里,20,2021-04-04,DEEP OSAKA IMPACT 2021,坂本美香,win,DEEP,(none),
miyagawa-hyuga,宮川 日向,11,2023-09-30,DEEP伝説のネタ物祭り,ジョビン,loss,DEEP,(none),
ohara-juri,大原樹理,11,2023-02-04,Black Combat 5: Song of the Sword 【DEEP×BLACK COMBAT対抗戦】,ユン・ダウォン,win,DEEP,(none),
shimada-ibuki,嶋田伊吹,11,2021-04-04,DEEP OSAKA IMPACT 2021,木下憂朔,loss,DEEP,(none),
shimada-ibuki,嶋田伊吹,12,2020-11-29,DEEP & PANCRASE大阪,鈴木道場長,win,DEEP,(none),
shimada-ibuki,嶋田伊吹,13,2019-11-17,DEEP & PANCRASE大阪,中尾受太郎,win,DEEP,(none),
shimada-ibuki,嶋田伊吹,16,2018-10-27,DEEP OSAKA IMPACT 2024 1ST ROUND,田中一矢,win,DEEP,(none),
sakai-ryo,酒井リョウ,11,2021-06-18,DEEP TOKYO IMPACT 2021 1ST ROUND,SAINT,loss,DEEP,(none),
sakai-ryo,酒井リョウ,15,2018-10-27,DEEP 86 IMPACT,水口清吾,win,DEEP,(none),"番号一致候補あり未確定(found_date=2022-10-27, found_event=DEEP 86 IMPACT)。DEEP公式サイトで該当boutを確認できず修正見送り"
sakai-ryo,酒井リョウ,20,2016-09-24,MGL 1 FIGHTING CHAMPIONSHIP MGL 1 VS DEEP,ガンバヤル・トゥムルフヤグ,loss,DEEP,(none),
muramoto-yutaro,村元友太郎,16,2017-12-24,PANCRASE vs DEEP 大阪大会,大崎勝海,win,DEEP,(none),
nakamura-daisuke,中村大介,6,2023-02-04,Black Combat 5: Song of the Sword 【DEEP×BLACK COMBAT対抗戦】,キム・ミンウ,loss,DEEP,(none),
kubota-taito,窪田泰斗,16,2017-03-20,DEEP OSAKA IMPACT 2017,白川陸斗,win,DEEP,(none),
akazawa-yukinori,赤沢幸典,5,2023-02-04,Black Combat 5: Song of the Sword 【DEEP×BLACK COMBAT対抗戦】,チェ・ウォンジュン,loss,DEEP,(none),
kitakata-daichi,北方大地,19,2015-04-29,DEEP OSAKA IMPACT 2015,佐藤タケシ,win,DEEP,(none),
kitakata-daichi,北方大地,21,2014-10-19,DEEP CAGE IMPACT in OSAKA 2014,佐藤寛太,win,DEEP,(none),
kaito,海飛,14,2021-06-18,DEEP TOKYO IMPACT 1st ROUND,山口コウタ,win,DEEP,(none),
shirakawa-rikuto,白川ダーク陸斗,17,2017-12-24,DEEP ＆ PANCRASE 大阪大会,吉野正岐,win,DEEP,(none),
shirakawa-rikuto,白川ダーク陸斗,19,2017-03-20,DEEP OSAKA IMPACT 2017,窪田泰斗,loss,DEEP,(none),
shirakawa-rikuto,白川ダーク陸斗,20,2016-10-07,DEEP CAGE IMPACT 2016 in OSAKA,石井逸人,loss,DEEP,(none),
shirakawa-rikuto,白川ダーク陸斗,22,2016-03-21,DEEP OSAKA IMPACT 2016,中村公彦,win,DEEP,(none),
shirakawa-rikuto,白川ダーク陸斗,23,2015-10-11,DEEP CAGE IMPACT 2015 in OSAKA,ソン・ジンス,loss,DEEP,(none),
kitaoka-satoru,北岡悟,24,2015-07-20,DEEP CAGE IMPACT 2015 【DEEPライト級タイトルマッチ】,岡野裕城,win,DEEP,(none),
ishizuka-koichi,石司晃一,19,2015-07-20,DEEP CAGE IMPACT 2015,釜谷真,win,DEEP,(none),
sarami,SARAMI,29,2013-11-17,DEEP TOYAMA IMPACT ROOKIES 3,MIYOKO,win,DEEP,(none),
