slug,name,history_index,date,event,opponent,result,org,events_on_that_date
asakura-kai,朝倉 海,27,2012-09-16,DEEP CAGE IMPACT 浜松,鈴木智也,win,DEEP,(none)
asakura-mikuru,朝倉 未来,25,2012-09-18,DEEP CAGE IMPACT 2012 in HAMAMATSU,板垣守計,win,DEEP,(none)
koike-kleber,クレベル・コイケ,27,2014-09-14,DEEP HAMAMATSU IMPACT,別府セブン,win,DEEP,(none)
koike-kleber,クレベル・コイケ,29,2013-09-15,DEEP CAGE IMPACT 2013 IN HAMAMATSU,植田豊,win,DEEP,(none)
koike-kleber,クレベル・コイケ,35,2011-09-18,DEEP CAGE IMPACT 2011 IN HAMAMATSU,小池秀信,win,DEEP,(none)
koike-kleber,クレベル・コイケ,36,2011-02-06,DEEP SHIZUOKA IMPACT,田中慎一郎,win,DEEP,(none)
koike-kleber,クレベル・コイケ,38,2010-09-19,DEEP CAGE IMPACT 2010 IN HAMAMATSU,梶田高裕,draw,DEEP,(none)
koike-kleber,クレベル・コイケ,39,2009-10-10,DEEP 44 IMPACT,北田俊亮,loss,DEEP,(none)
koike-kleber,クレベル・コイケ,40,2009-09-27,DEEP HAMAMATSU IMPACT,藤井嵩士,win,DEEP,(none)
koike-kleber,クレベル・コイケ,41,2009-08-30,DEEP OSAKA IMPACT,前田吉朗,loss,DEEP,(none)
koike-kleber,クレベル・コイケ,42,2009-06-05,DEEP 42 IMPACT,ISE,loss,DEEP,(none)
koike-kleber,クレベル・コイケ,45,2008-08-28,Club DEEP 浜松,和田まさき,win,DEEP,(none)
inoue-naoki,井上 直樹,19,2016-10-09,DEEP CAGE IMPACT 2016 in OSAKA,"柴田""MONKEY""有哉",win,DEEP,(none)
inoue-naoki,井上 直樹,21,2016-06-12,DEEP NAGOYA IMPACT 公武堂ファイト,加藤直之,win,DEEP,(none)
inoue-naoki,井上 直樹,25,2015-03-08,DEEP NAGOYA IMPACT 公武堂ファイト,カン・サトー,win,DEEP,(none)
rena,RENA,20,2015-12-31,RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS,イリアーナ・ヴァレンティーノ,win,RIZIN,(none)
hagiwara-kyohei,萩原 京平,21,2017-03-26,DEEP SAITAMA IMPACT 2017,荒井真人,loss,DEEP,(none)
shinryu-makoto,神龍 誠,21,2018-10-27,DEEP 86 IMPACT,中山ハルキ,win,DEEP,(none)
shinryu-makoto,神龍 誠,24,2017-12-24,DEEP OSAKA IMPACT,獅庵,win,DEEP,(none)
motoya-yuki,元谷 友貴,27,2018-10-27,DEEP 86 IMPACT 【DEEPバンタム級王座決定戦】,釜谷真,win,DEEP,(none)
motoya-yuki,元谷 友貴,35,2015-12-29,RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS,フェリペ・エフライン,nc,RIZIN,(none)
motoya-yuki,元谷 友貴,44,2013-04-14,DEEP TOYAMA IMPACT 11,青山忍,win,DEEP,(none)
motoya-yuki,元谷 友貴,45,2012-12-08,DEEP CAGE IMPACT 2012 in TOKYO 2nd ROUND,"柴田""MONKEY""有哉",win,DEEP,(none)
motoya-yuki,元谷 友貴,46,2012-07-22,DEEP NAGOYA IMPACT 公武堂ファイト 【フライ級王者決定トーナメント 決勝戦】,木部亮,win,DEEP,(none)
motoya-yuki,元谷 友貴,47,2012-07-22,DEEP NAGOYA IMPACT 公武堂ファイト 【フライ級王者決定トーナメント 準決勝】,加藤直之,win,DEEP,(none)
motoya-yuki,元谷 友貴,48,2012-03-25,DEEP NAGOYA IMPACT 公武堂ファイト 【フライ級王者決定トーナメント 1回戦】,崎村暁東,win,DEEP,(none)
motoya-yuki,元谷 友貴,49,2011-11-27,DEEP CAGE IMPACT 2011 in TOYAMA,加藤直之,loss,DEEP,(none)
motoya-yuki,元谷 友貴,50,2011-10-09,club DEEP 公武堂ファイト,春日井“寒天”たけし,loss,DEEP,(none)
motoya-yuki,元谷 友貴,51,2011-08-21,Club DEEP in DIANA 2,板谷一樹,win,DEEP,(none)
motoya-yuki,元谷 友貴,52,2011-07-10,DEEP CAGE IMPACT 2011 in Nagoya,石田ガリット勝也,win,DEEP,(none)
oshima-saori,大島 沙緒里,10,2023-02-04,Black Combat 5: Song of the Sword 【DEEP×BLACK COMBAT対抗戦】,ホン・イェリン,win,DEEP,(none)
goto-joji,後藤 丈治,5,2024-12-08,DEEP 122 IMPACT,マンド・グティエレス,loss,DEEP,DEEP 123 IMPACT; DEEP TOKYO IMPACT 2024 6th ROUND
ito-yuki,伊藤 裕樹,23,2019-05-26,DEEP NAGOYA IMPACT 公武堂ファイト,ヨシKING,win,DEEP,(none)
soya-takaki,征矢 貴,21,2012-07-21,DEEP TOKYO IMPACT 2012 in DIFFER ARIAKE,伊藤貴昭,win,DEEP,(none)
yamamoto-arsen,山本 アーセン,14,2015-12-31,RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS,クロン・グレイシー,loss,RIZIN,(none)
kintaro,金太郎,16,2017-12-24,PANCRASE vs DEEP 大阪大会,土肥潤,win,DEEP,(none)
kintaro,金太郎,20,2015-04-29,DEEP OSAKA IMPACT 2015,渡辺智史,win,DEEP,(none)
kintaro,金太郎,22,2014-10-19,DEEP CAGE IMPACT in OSAKA 2014,小松寛司,win,DEEP,(none)
kintaro,金太郎,24,2014-02-23,DEEP OSAKA IMPACT 2014,篠川晴成,draw,DEEP,(none)
kintaro,金太郎,29,2012-09-29,DEEP OSAKA IMPACT 2012,神龍,win,DEEP,(none)
suda-moeri,須田 萌里,20,2021-04-04,DEEP OSAKA IMPACT 2021,坂本美香,win,DEEP,(none)
takeda-koji,武田 光司,19,2018-10-27,DEEP 86 IMPACT 【DEEPライト級タイトルマッチ】,北岡悟,win,DEEP,(none)
tokoro-hideo,所 英男,9,2015-12-29,RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS,才賀紀左衛門,win,RIZIN,(none)
miyagawa-hyuga,宮川 日向,11,2023-09-30,DEEP伝説のネタ物祭り,ジョビン,loss,DEEP,(none)
ohara-juri,大原樹理,11,2023-02-04,Black Combat 5: Song of the Sword 【DEEP×BLACK COMBAT対抗戦】,ユン・ダウォン,win,DEEP,(none)
ohara-juri,大原樹理,49,2013-05-18,DEEP TOKYO IMPACT 2013 【ライト級GP二回戦】,福本よう一,win,DEEP,(none)
ohara-juri,大原樹理,50,2013-03-10,DEEP TOKYO IMPACT 2013 【ライト級GP一回戦】,田口公一,win,DEEP,(none)
ohara-juri,大原樹理,52,2012-07-21,DEEP TOKYO IMPACT 2012,大迫元喜,win,DEEP,(none)
ohara-juri,大原樹理,57,2011-08-21,CLUB DEEP DIANA 2,近藤秀人,win,DEEP,(none)
ohara-juri,大原樹理,58,2011-06-05,DEEP TOKYO IMPACT 2011,永瀬功,win,DEEP,(none)
ohara-juri,大原樹理,59,2011-04-24,CLUB DEEP DIANA,森素道,win,DEEP,(none)
ohara-juri,大原樹理,60,2011-02-27,DEEP TOKYO IMPACT 2011,小林裕,loss,DEEP,(none)
ohara-juri,大原樹理,62,2010-05-23,CLUB DEEP 東京,小池秀信,win,DEEP,(none)
ohara-juri,大原樹理,63,2010-03-28,CLUB DEEP 東京,安藤純,win,DEEP,(none)
shimada-ibuki,嶋田伊吹,11,2021-04-04,DEEP OSAKA IMPACT 2021,木下憂朔,loss,DEEP,(none)
shimada-ibuki,嶋田伊吹,12,2020-11-29,DEEP & PANCRASE大阪,鈴木道場長,win,DEEP,(none)
shimada-ibuki,嶋田伊吹,13,2019-11-17,DEEP & PANCRASE大阪,中尾受太郎,win,DEEP,(none)
shimada-ibuki,嶋田伊吹,16,2018-10-27,DEEP OSAKA IMPACT 2024 1ST ROUND,田中一矢,win,DEEP,(none)
sakai-ryo,酒井リョウ,11,2021-06-18,DEEP TOKYO IMPACT 2021 1ST ROUND,SAINT,loss,DEEP,(none)
sakai-ryo,酒井リョウ,15,2018-10-27,DEEP 86 IMPACT,水口清吾,win,DEEP,(none)
sakai-ryo,酒井リョウ,20,2016-09-24,MGL 1 FIGHTING CHAMPIONSHIP MGL 1 VS DEEP,ガンバヤル・トゥムルフヤグ,loss,DEEP,(none)
muramoto-yutaro,村元友太郎,16,2017-12-24,PANCRASE vs DEEP 大阪大会,大崎勝海,win,DEEP,(none)
nakamura-daisuke,中村大介,6,2023-02-04,Black Combat 5: Song of the Sword 【DEEP×BLACK COMBAT対抗戦】,キム・ミンウ,loss,DEEP,(none)
nakamura-daisuke,中村大介,27,2011-10-29,DEEP CAGE IMPACT 2011 in TOKYO,アームバー・キム,win,DEEP,(none)
nakamura-daisuke,中村大介,40,2008-07-17,DEEP M-1 チャレンジ 5 in JAPAN 【チーム・オランダ vs. チーム・ジャパン -70kg級戦】,ボグダン・クリステア,win,DEEP,(none)
nakamura-daisuke,中村大介,47,2006-02-05,DEEP 23 IMPACT 5周年大会,藤沼弘秀,win,DEEP,(none)
nakamura-daisuke,中村大介,48,2005-12-02,DEEP 22 IMPACT,長谷川秀彦,loss,DEEP,(none)
nakamura-daisuke,中村大介,50,2004-10-30,DEEP 16th IMPACT 【ウェルター級トーナメント決勝】,中尾受太郎,loss,DEEP,(none)
nakamura-daisuke,中村大介,51,2004-10-30,DEEP 16th IMPACT 【ウェルター級トーナメント準決勝】,星野勇二,win,DEEP,(none)
nakamura-daisuke,中村大介,52,2004-07-03,DEEP 15th IMPACT 【ウェルター級トーナメント1回戦】,小野瀬哲也,win,DEEP,(none)
nakamura-daisuke,中村大介,60,2002-12-08,DEEP2001 7th IMPACT in DIFFER ARIAKE 【フューチャーキングトーナメント 82kg以下級 2回戦】,森山大,loss,DEEP,(none)
