Total fighters scanned with suppressNoRecordRow path: (see below)
Mismatch count: 37
ushiku-juntaro: card(multiOrg).wins=24 vs bar(raw history).winTotal=22 (raw history entries=34)
kurobe-kazusa: card(multiOrg).wins=7 vs bar(raw history).winTotal=5 (raw history entries=7)
ryoga: card(multiOrg).wins=14 vs bar(raw history).winTotal=10 (raw history entries=14)
asahina-ken: card(multiOrg).wins=12 vs bar(raw history).winTotal=10 (raw history entries=17)
umeki-yutoku: card(multiOrg).wins=5 vs bar(raw history).winTotal=4 (raw history entries=11)
unconfirmed-shooto-1875: card(multiOrg).wins=26 vs bar(raw history).winTotal=30 (raw history entries=47)
kawakita-haruki: card(multiOrg).wins=10 vs bar(raw history).winTotal=6 (raw history entries=10)
fujii-nobuki: card(multiOrg).wins=21 vs bar(raw history).winTotal=8 (raw history entries=16)
lightyear-daiki: card(multiOrg).wins=13 vs bar(raw history).winTotal=9 (raw history entries=20)
nakajima-riku: card(multiOrg).wins=7 vs bar(raw history).winTotal=6 (raw history entries=8)
nojiri-yasuyuki: card(multiOrg).wins=8 vs bar(raw history).winTotal=7 (raw history entries=15)
saito-tsubasa: card(multiOrg).wins=12 vs bar(raw history).winTotal=13 (raw history entries=23)
uehara-taira: card(multiOrg).wins=7 vs bar(raw history).winTotal=6 (raw history entries=14)
shikijima-kazuma: card(multiOrg).wins=5 vs bar(raw history).winTotal=6 (raw history entries=9)
yuki-daiki: card(multiOrg).wins=9 vs bar(raw history).winTotal=6 (raw history entries=13)
body-maxthe: card(multiOrg).wins=5 vs bar(raw history).winTotal=4 (raw history entries=9)
tyson-nobumitsu: card(multiOrg).wins=13 vs bar(raw history).winTotal=5 (raw history entries=8)
tamura-hibiki: card(multiOrg).wins=9 vs bar(raw history).winTotal=1 (raw history entries=1)
waki-grappler: card(multiOrg).wins=1 vs bar(raw history).winTotal=2 (raw history entries=3)
iwasaki-taiga: card(multiOrg).wins=8 vs bar(raw history).winTotal=11 (raw history entries=13)
yuji-arai: card(multiOrg).wins=7 vs bar(raw history).winTotal=1 (raw history entries=2)
hirata-ayane: card(multiOrg).wins=3 vs bar(raw history).winTotal=4 (raw history entries=6)
huang-jenny: card(multiOrg).wins=2 vs bar(raw history).winTotal=1 (raw history entries=2)
mio-shiyama: card(multiOrg).wins=1 vs bar(raw history).winTotal=2 (raw history entries=8)
watanabe-ayaka: card(multiOrg).wins=3 vs bar(raw history).winTotal=4 (raw history entries=7)
aya-murakami: card(multiOrg).wins=11 vs bar(raw history).winTotal=10 (raw history entries=14)
katayama-tomoe: card(multiOrg).wins=1 vs bar(raw history).winTotal=2 (raw history entries=4)
sarami: card(multiOrg).wins=13 vs bar(raw history).winTotal=20 (raw history entries=34)
fujino-emi: card(multiOrg).wins=16 vs bar(raw history).winTotal=31 (raw history entries=49)
hoshuyama-momoka: card(multiOrg).wins=7 vs bar(raw history).winTotal=8 (raw history entries=15)
tou-hoiin: card(multiOrg).wins=11 vs bar(raw history).winTotal=9 (raw history entries=10)
endoraiki: card(multiOrg).wins=4 vs bar(raw history).winTotal=3 (raw history entries=11)
nada: card(multiOrg).wins=11 vs bar(raw history).winTotal=10 (raw history entries=21)
satoyujibonsai: card(multiOrg).wins=5 vs bar(raw history).winTotal=4 (raw history entries=7)
sugiyama: card(multiOrg).wins=13 vs bar(raw history).winTotal=24 (raw history entries=33)
raika: card(multiOrg).wins=9 vs bar(raw history).winTotal=7 (raw history entries=15)
motonomiki: card(multiOrg).wins=9 vs bar(raw history).winTotal=2 (raw history entries=2)
