org,weight_class,champion_snapshot,judgement,live_detail,source_url,fetched_at,note
deep,ストロー級,知名昴海,current,公式ページ最新世代: 第6代チャンピオン 知名昴海,https://www.deep2001.com/champ/,2026-07-25,
deep,フライ級,村元友太郎,current,公式ページ最新世代: 第7代チャンピオン 村元友太郎,https://www.deep2001.com/champ/,2026-07-25,
deep,バンタム級,福田龍彌,current,公式ページ最新世代: 第11代チャンピオン 福田龍彌,https://www.deep2001.com/champ/,2026-07-25,
deep,フェザー級,青井人,current,公式ページ最新世代: 第12代チャンピオン 青井人,https://www.deep2001.com/champ/,2026-07-25,
deep,ライト級,野村駿太,current,公式ページ最新世代: 第13代チャンピオン 野村駿太,https://www.deep2001.com/champ/,2026-07-25,
deep,ウェルター級,嶋田伊吹,current,公式ページ最新世代: 第14代チャンピオン 嶋田伊吹,https://www.deep2001.com/champ/,2026-07-25,
deep,ヘビー級,大成,current,公式ページ最新世代: 第7代チャンピオン 大成,https://www.deep2001.com/champ/,2026-07-25,
deep,女子アトム級,伊澤星花,current,公式ページ最新世代: 第9代チャンピオン 伊澤 星花,https://www.deep2001.com/champ/,2026-07-25,
deep,女子ストロー級,万智,current,公式ページ最新世代: 第5代チャンピオン 万智,https://www.deep2001.com/champ/,2026-07-25,
deep,女子フライ級,中井りん,current,公式ページ最新世代: 初代チャンピオン 中井りん,https://www.deep2001.com/champ/,2026-07-25,
deep,女子バンタム級,百湖,current,公式ページ最新世代: 第3代チャンピオン 百湖,https://www.deep2001.com/champ/,2026-07-25,
deep,女子フェザー級,東ようこ,current,公式ページ最新世代: 初代チャンピオン 東ようこ,https://www.deep2001.com/champ/,2026-07-25,
rizin,フライ級,神龍誠(第3代),current,第3代 フライ級王者,https://jp.rizinff.com/fighters,2026-07-25,
rizin,バンタム級,ダニー・サバテロ(第8代),current,第8代 バンタム級王者,https://jp.rizinff.com/fighters,2026-07-25,
rizin,フェザー級,ラジャブアリ・シェイドゥラエフ(第7代),current,第7代 フェザー級王者,https://jp.rizinff.com/fighters,2026-07-25,
rizin,ライト級,ルイス・グスタボ(第3代),current,第3代 ライト級王者,https://jp.rizinff.com/fighters,2026-07-25,
pancrase,ミドル級,コシム・サルドロフ,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,
pancrase,ウェルター級,ゴイチ・ヤマウチ,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,
pancrase,ライト級,ラファエル・バルボーザ,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,
pancrase,フェザー級,栁川唯人,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,
pancrase,バンタム級,田嶋椋,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,
pancrase,フライ級,時田隆成,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,
pancrase,ストロー級,宮澤雄大,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,
pancrase,女子フライ級,杉山しずか,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,
pancrase,女子ストロー級,本野美樹,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,
pancrase,女子アトム級,SARAMI,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,
shooto,ストロー級,田上 こゆる,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.shooto-mma.com/ranking/,2026-07-25,
shooto,フライ級,亮我,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.shooto-mma.com/ranking/,2026-07-25,
shooto,バンタム級,永井 奏多,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.shooto-mma.com/ranking/,2026-07-25,
shooto,フェザー級,SASUKE,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.shooto-mma.com/ranking/,2026-07-25,
shooto,ライト級,エフェヴィガ 雄志,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.shooto-mma.com/ranking/,2026-07-25,
shooto,ウェルター級,住村 竜市朗,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.shooto-mma.com/ranking/,2026-07-25,
shooto,女子アトム級,青野 ひかる,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.shooto-mma.com/ranking/,2026-07-25,
shooto,女子スーパーアトム級,渡辺 彩華,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.shooto-mma.com/ranking/,2026-07-25,
shooto,女子ストロー級,藤野 恵実,current,ライブ取得した公式ランキングそのものから抽出(静的スナップショットではない),https://www.shooto-mma.com/ranking/,2026-07-25,
