event	date	fighter	opponent	verdict	evidence_note
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	若原 聖	森本 直哉	NOT_MMA	PRO-KICK -57kg
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	平原 陸	斎藤 龍鬼	NOT_MMA	PRO-KICK Flyweight
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	旭野 穂	林 眞平	NOT_MMA	PRO-KICK -61.5kg
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	石川 直樹	中島 凛太郎	NOT_MMA	PRO-MUAY THAI -55kg
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	永松進之介	一輝	NOT_MMA	PRO-KICK Featherweight
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	田勢 ジャイル	神谷 瑠以	NOT_MMA	KICK S-Class -60kg
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	松本徐倫	Uver∞miyU	NOT_MMA	GIRLS-KICK -43.5kg
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	横山 晏輝	山下 明涼真	NOT_MMA	PRO-KICK Featherweight
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	小川悠太	乾 秀人	NOT_MMA	KICKウェルター級タイトルマッチ
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	髙口 賢史郎	白谷フィッシュ征也	NOT_MMA	PRO-KICK Super Featherweight
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	谷田貝海吏	藤巻 凱	NOT_MMA	Junior Muay Thai -46kg
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	森本 直哉	若原 聖	NOT_MMA	dup, PRO-KICK -57kg
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	横山典雄	石川 章太郎	NOT_MMA	OFG MUAY THAI -62kg
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	工藤 勇樹	Picapeixe	NOT_MMA	PRO-KICK Cruiserweight
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	神谷 勇輝	土谷 哲星	NOT_MMA	PRO-KICK Super Bantamweight
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	林 眞平	旭野 穂	NOT_MMA	dup, PRO-KICK -61.5kg
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	佐野 純平	トミーケン	NOT_MMA	PRO-KICK -63kg
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	中平 卓見	GUNTHER KALUNDA	NOT_MMA	KICKヘビー級タイトルマッチ
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	Uver∞miyU	松本 徐倫	NOT_MMA	dup, GIRLS-KICK -43.5kg
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	般若HASHIMOTO	テレカ∞	NOT_MMA	KICKライト級タイトルマッチ
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	中島 凛太郎	石川 直樹	NOT_MMA	dup, PRO-MUAY THAI -55kg
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	チャン	加賀 丞	NOT_MMA	PRO-KICKヘビー級
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	鈴木 翔大	中村 玲人	NOT_MMA	ジュニアムエタイトーナメント決勝
KROSS×OVER.29 -2024 CLIMAX-	2024-12-15	鈴木 翔大	荒川 凛之介	NOT_MMA	ジュニアムエタイトーナメント準決勝
KROSS×OVER.33	2025-12-07	久郷トオル	恩田 力斗	NOT_MMA	KICK Sクラス-60kg
KROSS×OVER.33	2025-12-07	平原 陸	酒井 柚樹	NOT_MMA	PRO-KICK フライ級王座決定T決勝
KROSS×OVER.33	2025-12-07	瀧山 悠斗	仙波 昌希	NOT_MMA	PRO-KICK -52kg
KROSS×OVER.33	2025-12-07	中澤 誠弥	小野 祥平	NOT_MMA	PRO-KICK -54kg
KROSS×OVER.33	2025-12-07	SEIDO	石川 蓮太	NOT_MMA	PRO-KICK LIGHT WEIGHT T準決勝
KROSS×OVER.33	2025-12-07	翔	竜雅	NOT_MMA	PRO-KICK BANTAMWEIGHT
KROSS×OVER.33	2025-12-07	仙波昌希	瀧山 悠斗	NOT_MMA	dup, PRO-KICK -52kg
KROSS×OVER.33	2025-12-07	酒井柚樹	平原 陸	NOT_MMA	dup, フライ級決勝
KROSS×OVER.33	2025-12-07	田中 秀汰	andrew	NOT_MMA	PRO-KICK SUPERFEATHERWEIGHT
KROSS×OVER.33	2025-12-07	竜雅	翔	NOT_MMA	dup, PRO-KICK -53kg
KROSS×OVER.33	2025-12-07	KENTA	隼人	NOT_MMA	PRO-KICK -76kg
KROSS×OVER.33	2025-12-07	鈴木 力也	夏目 竜雅	NOT_MMA	PRO-KICK SUPERBANTAMWEIGHTタイトルマッチ
KROSS×OVER.33	2025-12-07	小野祥平	中澤 誠弥	NOT_MMA	dup, PRO-KICK -54kg
KROSS×OVER.33	2025-12-07	夏目竜雅	鈴木 力也	NOT_MMA	dup, タイトルマッチ
KROSS×OVER 15	2021-12-05	清水俊貴	石川 滉大	NOT_MMA	Muay Thai -57kg
KROSS×OVER 15	2021-12-05	武 裕太	遠藤 健太郎	NOT_MMA	Kick S-class -63.5kg
KROSS×OVER 15	2021-12-05	冨沢 貴人	濱道 亮太	NOT_MMA	BOX Rules -67kg
KROSS×OVER 15	2021-12-05	遠藤 健太郎	武 裕太	NOT_MMA	dup, Kick S-class
