slug	name	date	event	opponent	methodRaw	promotion
yuya	憂也	2026-02-27	ONE Friday Fights 144	モハメド・ハディディ	2R TKO	RISE
takeda-kouzou	武田幸三	2001-09-16	新日本キックボクシング協会「Take One」	チャーンビット・ギャットトーボーウボン	3R終了時 TKO（眉間カット）	新日本キックボクシング協会(SNKA)
jorujio-petoroshian	ジョルジオ・ペトロシアン	2019-07-12	ONE Championship 96: Masters of Destiny	ペットモラコット・ペッティンディーアカデミー	3R終了 判定3-0	ONE Championship
jorujio-petoroshian	ジョルジオ・ペトロシアン	2019-05-17	ONE Championship 94: Enter the Dragon	ペットモラコット・ペッティンディーアカデミー	ノーコンテスト	ONE Championship
jorujio-petoroshian	ジョルジオ・ペトロシアン	2018-11-09	ONE Championship 83: Heart Of Lion	ソーグラー・ペッティンディーアカデミー	3R終了 判定3-0	ONE Championship
jorujio-petoroshian	ジョルジオ・ペトロシアン	2018-04-20	ONE Championship 71: Heroes of Honor	ジョー・ナタウット	3R終了 判定3-0	ONE Championship
hyuu	陽勇	2026-04-29	ONE SAMURAI 1	内藤大樹	ユナニマス判定	ONE Championship
hyuu	陽勇	2026-03-14	ONE Fight Night 41: シンサムット vs. ジャービス	スーブラック・トー・プラン49	TKO	ONE Championship
hyuu	陽勇	2025-09-06	ONE Fight Night 35	ジョーダン・エストゥピニャン	TKO	ONE Championship
hyuu	陽勇	2025-03-23	ONE 172: 武尊 VS ロッタン	ザカリア・ジャマリ	ノックアウト	ONE Championship
hyuu	陽勇	2025-02-07	ONE Friday Fights 96	LeandroMiranda	TKO	ONE Championship
hyuu	陽勇	2025-02-06	ONE Friday Night 96: Komawut vs. Panrit	レアンドロ・ミランダ	2R 0:42 TKO（パンチ連打）	ONE Championship
hyuu	陽勇	2024-09-28	ONE Fight Night 81: Superbon vs. Nattawut	ユセフ・サード	3R終了 判定3-0	ONE Championship
hyuu	陽勇	2024-09-27	ONE Friday Fights 81: Superbon vs. Nattawut	ユセフ・サード	ユナニマス判定	ONE Championship
arekusu-robatsu	アレックス・ロバーツ	2013-11-04	MAキック「DRAGON.3 ～THE ONE AND ONLY～ 門戸開放」	林武重	3R 1:04" KO（パンチ連打）	Wikipedia(その他団体)
ranma	嵐舞	2026-08-08	ONE SAMURAI 2	北野克樹	ノックアウト	ONE Championship
ranma	嵐舞	2026-05-22	ONE Friday Fights 155	イー・ヌオ	ノックアウト	ONE Championship
ranma	嵐舞	2026-03-27	ONE Friday Fights 148	ヴェリハン・パリット	ユナニマス判定	ONE Championship
ranma	嵐舞	2026-01-30	ONE Friday Fights 140	チャラムカオ	ノックアウト	ONE Championship
tairon-supon	タイロン・スポーン	2007-10-27	One Night in Bangkok	エミール・ゾーライ	TKO	Wikipedia(その他団体)
uei-rui	ウェイ・ルイ	2025-11-16	ONE 173	秋元皓貴	ユナニマス判定	ONE Championship
