batch	event	date	fighter	opponent	verdict	evidence_note
0	ONE 157: PETCHMORAKOT VS VIENOT	2022-05-20	ダビッド・キリア	モハメド・ブタザ	NOT_MMA	onefc.com/tapology: featherweight Kickboxing bout, unanimous decision
0	ONE 167: Tawanchai vs. Nattawut 2	2024-06-08	野杁正明	シッティチャイ	NOT_MMA	onefc.com: featherweight Kickboxing bout, Sitthichai won unanimous decision
0	ONE Championship 94: Enter the Dragon	2019-05-17	ジョルジオ・ペトロシアン	ペットモラコット	NOT_MMA	ONE Featherweight Kickboxing World GP quarterfinal, overturned to No Contest
0	ONE Championship: Winter Warriors	2021-12-03	秋元皓貴	邱建良	NOT_MMA	onefc.com/sportskeeda: bantamweight Kickboxing bout, decision
0	ONE Fight Night 16: Haggerty vs. Andrade	2023-11-03	クリスティーナ・モラレス	アンナ・ジャルーンサック	NOT_MMA	Sportskeeda/onefc: Kickboxing bout, 1st-round TKO
0	ONE Fight Night 35	2025-09-06	陽勇	ジョーダン・エストゥピニャン	NOT_MMA	onefc.com: Flyweight Kickboxing, TKO R3
0	ONE Fights Night 21	2024-04-06	内藤大樹	デッドゥアンレック	NOT_MMA	combatpress/sportskeeda: 136lb catchweight Kickboxing bout
0	ONE Friday Fights 109	2025-05-23	与座優貴	エルブルース・オスマノフ	NOT_MMA	onefc.com: bantamweight Kickboxing bout, UD
0	ONE Friday Fights 109	2025-05-23	ブリース・デルバール	ヨッドIQ・オー・ピモンシー	NOT_MMA	onefc.com: bantamweight Muay Thai bout, UD
0	ONE Friday Fights 122	2025-08-29	力斗	チェン・チャオビン	NOT_MMA	Sportskeeda: bantamweight Kickboxing bout, split decision
0	ONE Friday Fights 134	2025-11-21	彪司	ワン・ユハン	NOT_MMA	onefc.com/tapology: flyweight Kickboxing bout, KO R1
0	ONE Friday Fights 145	2026-03-06	吉岡龍輝	アーサー・クロップ	NOT_MMA	Sportskeeda: bantamweight Kickboxing bout, UD
0	ONE Friday Fights 145	2026-03-06	黒田斗真	バンルーロック	NOT_MMA	Sportskeeda: atomweight Kickboxing bout, UD (dup)
0	ONE Friday Fights 145	2026-03-06	黒田斗真	バンルーロック・シットワチャラチャイ	NOT_MMA	same bout, atomweight Kickboxing (dup)
0	ONE Friday Fights 156 & Superfan Fights	2026-05-29	平山裕翔	イェ・リージー	NOT_MMA	tapology/sportskeeda: atomweight Kickboxing, TKO R1
