criterion_id,name,primary_brand,total_appearances,most_recent_date,brands
A,中島太一,DEEP TOKYO IMPACT,1,2026-05-24,"DEEP TOKYO IMPACT"
A,安井飛馬,DEEP TOKYO IMPACT,1,2026-04-19,"DEEP TOKYO IMPACT"
A,飴山聖也,DEEP OSAKA IMPACT,1,2026-03-08,"DEEP OSAKA IMPACT"
A,海飛,DEEP TOKYO IMPACT,1,2026-02-23,"DEEP TOKYO IMPACT"
A,山崎弥十朗,DEEP TOKYO IMPACT,2,2026-02-23,"DEEP TOKYO IMPACT"
A,中務太陽,DEEP TOKYO IMPACT,1,2025-12-14,"DEEP TOKYO IMPACT"
A,青井人,DEEP OSAKA IMPACT,1,2025-09-21,"DEEP OSAKA IMPACT"
B1,中島太一,DEEP TOKYO IMPACT,1,2026-05-24,"DEEP TOKYO IMPACT"
B1,鹿志村仁之介,DEEP IMPACT,1,2026-05-04,"DEEP IMPACT"
B1,角野晃平,DEEP IMPACT,1,2026-05-04,"DEEP IMPACT"
B1,瀧澤謙太,DEEP IMPACT,1,2026-05-04,"DEEP IMPACT"
B1,雅駿介,DEEP IMPACT,1,2026-05-04,"DEEP IMPACT"
B1,中村大介,DEEP IMPACT,1,2026-05-04,"DEEP IMPACT"
B1,狩野優,DEEP IMPACT,1,2026-05-04,"DEEP IMPACT"
B1,泉武志,DEEP IMPACT,1,2026-05-04,"DEEP IMPACT"
B1,山本颯志,DEEP IMPACT,1,2026-05-04,"DEEP IMPACT"
B1,金田一孝介,DEEP IMPACT,1,2026-05-04,"DEEP IMPACT"
B1,窪田泰斗,DEEP IMPACT,1,2026-05-04,"DEEP IMPACT"
B1,タンク内藤,DEEP IMPACT,1,2026-05-04,"DEEP IMPACT"
B1,安井飛馬,DEEP TOKYO IMPACT,1,2026-04-19,"DEEP TOKYO IMPACT"
B1,荒東”怪獣キラー”英貴,DEEP IMPACT,1,2026-03-20,"DEEP IMPACT"
B1,飴山聖也,DEEP OSAKA IMPACT,1,2026-03-08,"DEEP OSAKA IMPACT"
B1,海飛,DEEP TOKYO IMPACT,1,2026-02-23,"DEEP TOKYO IMPACT"
B1,中務太陽,DEEP TOKYO IMPACT,1,2025-12-14,"DEEP TOKYO IMPACT"
B1,武田光司,DEEP IMPACT,1,2025-12-14,"DEEP IMPACT"
B1,石司晃一,DEEP IMPACT,1,2025-12-14,"DEEP IMPACT"
B1,杉山廣平,DEEP IMPACT,1,2025-12-14,"DEEP IMPACT"
B1,パク・シウ,DEEP JEWELS,1,2025-11-23,"DEEP JEWELS"
B1,北岡悟,DEEP IMPACT,1,2025-11-02,"DEEP IMPACT"
B1,青井人,DEEP OSAKA IMPACT,1,2025-09-21,"DEEP OSAKA IMPACT"
B1,ストラッサー起一,DEEP IMPACT,1,2025-09-15,"DEEP IMPACT"
B1,大島沙緒里,DEEP IMPACT,1,2025-09-15,"DEEP IMPACT"
B1,ケイト・ロータス,DEEP JEWELS,1,2025-09-07,"DEEP JEWELS"
B1,KENTA,DEEP IMPACT,1,2025-08-17,"DEEP IMPACT"
B1,北方大地,DEEP IMPACT,1,2025-08-17,"DEEP IMPACT"
B1,佐々木大,DEEP IMPACT,1,2025-08-17,"DEEP IMPACT"
B1,本田良介,DEEP IMPACT,1,2025-08-17,"DEEP IMPACT"
B2,猿寿健太,DEEP IMPACT,2,2026-07-05,"DEEP IMPACT"
