year,event_count,parsed_event_count,failed_event_count,total_appearances,unique_fighters,listed,hidden,missing
2002,1,0,1,0,0,0,0,0
2003,2,0,2,0,0,0,0,0
2004,1,0,1,0,0,0,0,0
2005,1,0,1,0,0,0,0,0
2006,1,0,1,0,0,0,0,0
2007,1,0,1,0,0,0,0,0
2008,3,0,3,0,0,0,0,0
2009,1,0,1,0,0,0,0,0
2010,3,0,3,0,0,0,0,0
2011,6,0,6,0,0,0,0,0
2012,5,0,5,0,0,0,0,0
2013,12,0,12,0,0,0,0,0
2014,12,0,12,0,0,0,0,0
2015,13,0,13,0,0,0,0,0
2016,10,0,10,0,0,0,0,0
2017,11,0,11,0,0,0,0,0
2018,13,0,13,0,0,0,0,0
2019,18,0,18,0,0,0,0,0
2020,17,0,17,0,0,0,0,0
2021,23,0,23,0,0,0,0,0
2022,22,0,22,0,0,0,0,0
2023,19,1,18,20,20,9,1,10
2024,28,19,9,368,276,54,6,216
2025,24,23,1,506,364,56,4,304
2026,17,16,1,420,338,50,3,285
