event_id,event_name,brand,event_date,held_state,content_state,header_bout_count,bout_count,result_url
deep-osaka-impact-2026-5th-round,DEEP OSAKA IMPACT 2026 5th ROUND,DEEP OSAKA IMPACT,2026-09-20,unheld,undetermined,0,0,https://www.deep2001.com/deep-osaka-impact-2026-5th-round/
deep-osaka-impact-2026-4th-round,DEEP OSAKA IMPACT 2026 4th ROUND,DEEP OSAKA IMPACT,2026-09-20,unheld,undetermined,0,0,https://www.deep2001.com/deep-osaka-impact-2026-4th-round/
deep-133-impact,DEEP 133 IMPACT,DEEP IMPACT,2026-09-14,unheld,undetermined,0,0,https://www.deep2001.com/deep-133-impact/
deep-jewels-54,DEEP JEWELS 54,DEEP JEWELS,2026-09-06,unheld,undetermined,0,0,https://www.deep2001.com/deep-jewels-54/
deep-tokyo-impact-2026-4th-round,DEEP TOKYO IMPACT 2026 4th ROUND,DEEP TOKYO IMPACT,2026-09-06,unheld,undetermined,0,0,https://www.deep2001.com/deep-tokyo-impact-2026-4th-round/
grasp-the-future-cage2,Grasp the future cage2,other,2026-08-30,unheld,card_only,1,0,https://www.deep2001.com/grasp-the-future-cage2/
deep-fight-challenge-2026-2nd-round,DEEP FIGHT CHALLENGE 2026 2nd ROUND,DEEP FIGHT CHALLENGE,2026-07-24,held,partial_result,8,7,https://www.deep2001.com/deep-fight-challenge-2026-2nd-round/
deep-132-impact,DEEP 132 IMPACT,DEEP IMPACT,2026-07-05,held,result,11,11,https://www.deep2001.com/deep-132-impact/
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT 2026 3rd ROUND,DEEP OSAKA IMPACT,2026-06-21,held,partial_result,20,13,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/
deep-nagoya-impact-2026-2nd-round,DEEP NAGOYA IMPACT 2026 2nd ROUND,DEEP NAGOYA IMPACT,2026-06-14,held,partial_result,19,17,https://www.deep2001.com/deep-nagoya-impact-2026-2nd-round/
deep-hamamatsu-impact-2026-1st-round,DEEP HAMAMATSU IMPACT 2026 1ST ROUND,DEEP HAMAMATSU IMPACT,2026-05-31,held,partial_result,21,20,https://www.deep2001.com/deep-hamamatsu-impact-2026-1st-round/
deep-jewels-52-2,DEEP JEWELS 53,DEEP JEWELS,2026-05-24,held,result,12,14,https://www.deep2001.com/deep-jewels-52-2/
deep-tokyo-impact-2026-3rd-round,DEEP TOKYO IMPACT 2026 3rd ROUND,DEEP TOKYO IMPACT,2026-05-24,held,result,10,11,https://www.deep2001.com/deep-tokyo-impact-2026-3rd-round/
deep-131-impact,DEEP 131 IMPACT 25th Anniversary,DEEP IMPACT,2026-05-04,held,result,15,17,https://www.deep2001.com/deep-131-impact/
deep-tokyo-impact-2026-2nd-round,DEEP TOKYO IMPACT 2026 2nd ROUND,DEEP TOKYO IMPACT,2026-04-19,held,result,11,13,https://www.deep2001.com/deep-tokyo-impact-2026-2nd-round/
%e3%80%90%e9%81%b8%e6%89%8b%e5%8b%9f%e9%9b%86%e3%80%91deep%e3%83%95%e3%83%a5%e3%83%bc%e3%83%81%e3%83%a3%e3%83%bc%e3%82%ad%e3%83%b3%e3%82%b0%e3%83%88%e3%83%bc%e3%83%8a%e3%83%a1%e3%83%b3%e3%83%882025,DEEPフューチャーキングトーナメント2025,other,2026-04-19,held,undetermined,0,0,https://www.deep2001.com/%e3%80%90%e9%81%b8%e6%89%8b%e5%8b%9f%e9%9b%86%e3%80%91deep%e3%83%95%e3%83%a5%e3%83%bc%e3%83%81%e3%83%a3%e3%83%bc%e3%82%ad%e3%83%b3%e3%82%b0%e3%83%88%e3%83%bc%e3%83%8a%e3%83%a1%e3%83%b3%e3%83%882025/
deep-130-impact,DEEP 130 IMPACT,DEEP IMPACT,2026-03-20,held,partial_result,10,9,https://www.deep2001.com/deep-130-impact/
deep-osaka-impact-2026-2nd-round,DEEP OSAKA IMPACT 2026 2nd ROUND,DEEP OSAKA IMPACT,2026-03-08,held,partial_result,11,10,https://www.deep2001.com/deep-osaka-impact-2026-2nd-round/
deep-osaka-impact-2026-1st-round,DEEP OSAKA IMPACT 2026 1st ROUND,DEEP OSAKA IMPACT,2026-03-08,held,result,12,14,https://www.deep2001.com/deep-osaka-impact-2026-1st-round/
deep-jewels-52,DEEP JEWELS 52,DEEP JEWELS,2026-02-23,held,result,11,12,https://www.deep2001.com/deep-jewels-52/
deep-tokyo-impact-2026-1st-round,DEEP TOKYO IMPACT 2026 1st ROUND,DEEP TOKYO IMPACT,2026-02-23,held,result,11,13,https://www.deep2001.com/deep-tokyo-impact-2026-1st-round/
deep-nagoya-impact-2026-1st-round,DEEP NAGOYA IMPACT 2026 1st ROUND,DEEP NAGOYA IMPACT,2026-02-23,held,partial_result,23,22,https://www.deep2001.com/deep-nagoya-impact-2026-1st-round/
deep-fight-challenge-2026-1st-round,DEEP FIGHT CHALLENGE 2026 1st ROUND,DEEP FIGHT CHALLENGE,2026-01-23,held,result,7,7,https://www.deep2001.com/deep-fight-challenge-2026-1st-round/
deep-tokyo-impact-2025-6th-round,DEEP TOKYO IMPACT 2025 6th ROUND,DEEP TOKYO IMPACT,2025-12-14,held,result,11,12,https://www.deep2001.com/deep-tokyo-impact-2025-6th-round/
deep-129-impact,DEEP 129 IMPACT,DEEP IMPACT,2025-12-14,held,result,9,9,https://www.deep2001.com/deep-129-impact/
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT 2025 5th ROUND,DEEP OSAKA IMPACT,2025-12-07,held,partial_result,21,20,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/
deep-jewels-51,DEEP JEWELS 51,DEEP JEWELS,2025-11-23,held,result,10,10,https://www.deep2001.com/deep-jewels-51/
deep-tokyo-impact-2025-5th-round,DEEP TOKYO IMPACT 2025 5th ROUND,DEEP TOKYO IMPACT,2025-11-23,held,result,10,13,https://www.deep2001.com/deep-tokyo-impact-2025-5th-round/
deep-128-impact,DEEP 128 IMPACT,DEEP IMPACT,2025-11-02,held,result,9,11,https://www.deep2001.com/deep-128-impact/
deep-hamamatsu-impact-2025-2nd-round,DEEP HAMAMATSU IMPACT 2025 2nd ROUND,DEEP HAMAMATSU IMPACT,2025-10-05,held,result,10,27,https://www.deep2001.com/deep-hamamatsu-impact-2025-2nd-round/
deep-osaka-impact-2025-4th-round,DEEP OSAKA IMPACT 2025 4th ROUND,DEEP OSAKA IMPACT,2025-09-21,held,result,8,9,https://www.deep2001.com/deep-osaka-impact-2025-4th-round/
deep-osaka-impact-2025-3rd-round,DEEP OSAKA IMPACT 2025 3rd ROUND,DEEP OSAKA IMPACT,2025-09-21,held,result,10,10,https://www.deep2001.com/deep-osaka-impact-2025-3rd-round/
deep-127-impact-2,DEEP 127 IMPACT,DEEP IMPACT,2025-09-15,held,result,10,12,https://www.deep2001.com/deep-127-impact-2/
deep-jewels-50,DEEP JEWELS 50,DEEP JEWELS,2025-09-07,held,result,10,11,https://www.deep2001.com/deep-jewels-50/
deep-tokyo-impact-2025-4th-round,DEEP TOKYO IMPACT 2025 4th ROUND,DEEP TOKYO IMPACT,2025-09-07,held,partial_result,11,10,https://www.deep2001.com/deep-tokyo-impact-2025-4th-round/
deep-126-impact,DEEP 126 IMPACT,DEEP IMPACT,2025-08-17,held,result,9,9,https://www.deep2001.com/deep-126-impact/
deep-nagoya-impact-2025-1st-round,DEEP NAGOYA IMPACT 2025 1st ROUND,DEEP NAGOYA IMPACT,,date_unknown,partial_result,19,18,https://www.deep2001.com/deep-nagoya-impact-2025-1st-round/
deep-nagoya-impact-2023-%e5%85%ac%e6%ad%a6%e5%a0%82%e3%83%95%e3%82%a1%e3%82%a4%e3%83%88,DEEP NAGOYA IMPACT 2023 公武堂ファイト 3rd ROUND/4th ROUND,DEEP NAGOYA IMPACT,,date_unknown,undetermined,0,0,https://www.deep2001.com/deep-nagoya-impact-2023-%e5%85%ac%e6%ad%a6%e5%a0%82%e3%83%95%e3%82%a1%e3%82%a4%e3%83%88/
deep-osaka-impact-2023-2nd-round,DEEP OSAKA IMPACT 2023 2nd ROUND,DEEP OSAKA IMPACT,,date_unknown,undetermined,0,0,https://www.deep2001.com/deep-osaka-impact-2023-2nd-round/
deep-x-nariagari,DEEP X NARIAGARI,other,,date_unknown,undetermined,0,0,https://www.deep2001.com/deep-x-nariagari/
