event_id,event_name,brand,event_date,result_url,fetched_at,parse_status,parse_note,bout_count
deep-osaka-impact-2026-5th-round,DEEP OSAKA IMPACT 2026 5th ROUND,DEEP OSAKA IMPACT,2026-09-20,https://www.deep2001.com/deep-osaka-impact-2026-5th-round/,2026-07-25,failed,開催日は確認できたが結果マーカー(●/○/〇/△)が検出できず。未開催の対戦カード発表ページの可能性、または未知のレイアウト,0
deep-osaka-impact-2026-4th-round,DEEP OSAKA IMPACT 2026 4th ROUND,DEEP OSAKA IMPACT,2026-09-20,https://www.deep2001.com/deep-osaka-impact-2026-4th-round/,2026-07-25,failed,開催日は確認できたが結果マーカー(●/○/〇/△)が検出できず。未開催の対戦カード発表ページの可能性、または未知のレイアウト,0
deep-133-impact,DEEP 133 IMPACT,DEEP IMPACT,2026-09-14,https://www.deep2001.com/deep-133-impact/,2026-07-25,failed,開催日は確認できたが結果マーカー(●/○/〇/△)が検出できず。未開催の対戦カード発表ページの可能性、または未知のレイアウト,0
deep-jewels-54,DEEP JEWELS 54,DEEP JEWELS,2026-09-06,https://www.deep2001.com/deep-jewels-54/,2026-07-25,failed,開催日は確認できたが結果マーカー(●/○/〇/△)が検出できず。未開催の対戦カード発表ページの可能性、または未知のレイアウト,0
deep-tokyo-impact-2026-4th-round,DEEP TOKYO IMPACT 2026 4th ROUND,DEEP TOKYO IMPACT,2026-09-06,https://www.deep2001.com/deep-tokyo-impact-2026-4th-round/,2026-07-25,failed,開催日は確認できたが結果マーカー(●/○/〇/△)が検出できず。未開催の対戦カード発表ページの可能性、または未知のレイアウト,0
grasp-the-future-cage2,Grasp the future cage2,other,2026-08-30,https://www.deep2001.com/grasp-the-future-cage2/,2026-07-25,failed,開催日は確認できたが結果マーカー(●/○/〇/△)が検出できず。未開催の対戦カード発表ページの可能性、または未知のレイアウト,0
deep-fight-challenge-2026-2nd-round,DEEP FIGHT CHALLENGE 2026 2nd ROUND,DEEP FIGHT CHALLENGE,2026-07-24,https://www.deep2001.com/deep-fight-challenge-2026-2nd-round/,2026-07-25,ok,,7
deep-132-impact,DEEP 132 IMPACT,DEEP IMPACT,2026-07-05,https://www.deep2001.com/deep-132-impact/,2026-07-25,ok,,11
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT 2026 3rd ROUND,DEEP OSAKA IMPACT,2026-06-21,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,ok,,13
deep-nagoya-impact-2026-2nd-round,DEEP NAGOYA IMPACT 2026 2nd ROUND,DEEP NAGOYA IMPACT,2026-06-14,https://www.deep2001.com/deep-nagoya-impact-2026-2nd-round/,2026-07-25,ok,,17
deep-hamamatsu-impact-2026-1st-round,DEEP HAMAMATSU IMPACT 2026 1ST ROUND,DEEP HAMAMATSU IMPACT,2026-05-31,https://www.deep2001.com/deep-hamamatsu-impact-2026-1st-round/,2026-07-25,ok,,20
deep-jewels-52-2,DEEP JEWELS 53,DEEP JEWELS,2026-05-24,https://www.deep2001.com/deep-jewels-52-2/,2026-07-25,ok,,14
deep-tokyo-impact-2026-3rd-round,DEEP TOKYO IMPACT 2026 3rd ROUND,DEEP TOKYO IMPACT,2026-05-24,https://www.deep2001.com/deep-tokyo-impact-2026-3rd-round/,2026-07-25,ok,,11
