slug,name,top_wins,hist_wins,top_losses,hist_losses,top_draws,hist_draws,hist_nc,history_len
sato-shoko,佐藤 将光,38,37,17,17,2,2,1,57
tokoro-hideo,所 英男,36,33,34,29,1,1,0,63
ohara-juri,大原樹理,38,39,21,20,2,2,3,64
nakamura-daisuke,中村大介,35,35,29,28,1,1,0,64
strasser-kiichi,ストラッサー起一,21,20,13,12,2,2,1,35
uoi-fullswing,魚井フルスイング,27,26,16,17,4,4,0,47
kurobe-kazusa,黒部和沙,6,5,1,1,1,1,0,7
sumimura-ryuichiro,住村竜市朗,27,0,8,0,1,0,0,0
patricky-pitbull,パトリッキー・ピットブル,25,25,16,17,0,0,0,42
kitaoka-satoru,北岡悟,45,45,29,28,10,10,0,83
miyake-kisa,三宅輝砂,14,13,5,6,0,0,0,19
lee-kaiwen,リー・カイウェン,16,15,8,8,0,0,0,23
uno-caol,宇野薫,35,35,23,24,5,5,0,64
sugiyama,杉山しずか,23,24,8,8,1,1,0,33
