slug,name,history_index,date,event,opponent,result,org,events_on_that_date
horiguchi-kyoji,堀口 恭司,32,2013-03-16,修斗 2013年第2戦 【修斗世界フェザー級チャンピオンシップ】,扇久保博正,win,SHOOTO,(none)
horiguchi-kyoji,堀口 恭司,34,2012-07-16,修斗,井上学,win,SHOOTO,(none)
horiguchi-kyoji,堀口 恭司,35,2012-03-10,修斗,徹肌ィ郎,win,SHOOTO,(none)
horiguchi-kyoji,堀口 恭司,36,2012-01-08,修斗 サバイバートーナメント決勝,上田将勝,loss,SHOOTO,(none)
horiguchi-kyoji,堀口 恭司,37,2011-09-23,修斗 SHOOTOR'S LEGACY 04,直撃我聞,win,SHOOTO,(none)
horiguchi-kyoji,堀口 恭司,38,2011-07-18,修斗 SHOOTOR'S LEGACY 03,根津優太,win,SHOOTO,(none)
horiguchi-kyoji,堀口 恭司,39,2011-04-29,修斗伝承 2011,細井鷹飛呂,win,SHOOTO,(none)
horiguchi-kyoji,堀口 恭司,40,2010-12-18,修斗 THE ROOKIE TOURNAMENT 10 FINAL 【新人王決定トーナメント フェザー級 決勝】,赤尾セイジ,win,SHOOTO,(none)
horiguchi-kyoji,堀口 恭司,41,2010-08-07,修斗 SHOOTO GIG TOKYO Vol.5 【新人王決定トーナメント フェザー級準決勝】,石橋佳大,win,SHOOTO,(none)
horiguchi-kyoji,堀口 恭司,42,2010-05-09,修斗 龍争虎闘 Vol.3 【新人王決定トーナメント フェザー級2回戦】,川名蘭輝,win,SHOOTO,(none)
asakura-kai,朝倉 海,27,2012-09-16,DEEP CAGE IMPACT 浜松,鈴木智也,win,DEEP,(none)
asakura-mikuru,朝倉 未来,25,2012-09-18,DEEP CAGE IMPACT 2012 in HAMAMATSU,板垣守計,win,DEEP,(none)
koike-kleber,クレベル・コイケ,27,2014-09-14,DEEP HAMAMATSU IMPACT,別府セブン,win,DEEP,(none)
koike-kleber,クレベル・コイケ,29,2013-09-15,DEEP CAGE IMPACT 2013 IN HAMAMATSU,植田豊,win,DEEP,(none)
koike-kleber,クレベル・コイケ,35,2011-09-18,DEEP CAGE IMPACT 2011 IN HAMAMATSU,小池秀信,win,DEEP,(none)
koike-kleber,クレベル・コイケ,36,2011-02-06,DEEP SHIZUOKA IMPACT,田中慎一郎,win,DEEP,(none)
koike-kleber,クレベル・コイケ,38,2010-09-19,DEEP CAGE IMPACT 2010 IN HAMAMATSU,梶田高裕,draw,DEEP,(none)
koike-kleber,クレベル・コイケ,39,2009-10-10,DEEP 44 IMPACT,北田俊亮,loss,DEEP,(none)
koike-kleber,クレベル・コイケ,40,2009-09-27,DEEP HAMAMATSU IMPACT,藤井嵩士,win,DEEP,(none)
koike-kleber,クレベル・コイケ,41,2009-08-30,DEEP OSAKA IMPACT,前田吉朗,loss,DEEP,(none)
koike-kleber,クレベル・コイケ,42,2009-06-05,DEEP 42 IMPACT,ISE,loss,DEEP,(none)
koike-kleber,クレベル・コイケ,45,2008-08-28,Club DEEP 浜松,和田まさき,win,DEEP,(none)
inoue-naoki,井上 直樹,19,2016-10-09,DEEP CAGE IMPACT 2016 in OSAKA,"柴田""MONKEY""有哉",win,DEEP,(none)
inoue-naoki,井上 直樹,21,2016-06-12,DEEP NAGOYA IMPACT 公武堂ファイト,加藤直之,win,DEEP,(none)
inoue-naoki,井上 直樹,25,2015-03-08,DEEP NAGOYA IMPACT 公武堂ファイト,カン・サトー,win,DEEP,(none)
izawa-seika,伊澤 星花,14,2021-10-24,DEEP 104 IMPACT,パク・シウ,win,DEEP,(none)
rena,RENA,2,2024-03-26,RIZIN LANDMARK 9,シン・ユリ,win,RIZIN,(none)
rena,RENA,20,2015-12-31,RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS,イリアーナ・ヴァレンティーノ,win,RIZIN,(none)
saito-yutaka,斎藤 裕,19,2015-05-03,プロフェッショナル修斗 【修斗環太平洋フェザー級タイトルマッチ】,中村ジュニア,win,SHOOTO,(none)
saito-yutaka,斎藤 裕,20,2014-12-21,プロフェッショナル修斗 インフィニティリーグ2014優勝決定戦＆THE ROOKIE TOURNAMENT FINAL 2014,藤田ブロディ,win,SHOOTO,(none)
saito-yutaka,斎藤 裕,21,2014-09-27,プロフェッショナル修斗 インフィニティリーグ2014,太田拓己,win,SHOOTO,(none)
saito-yutaka,斎藤 裕,22,2014-07-19,プロフェッショナル修斗新宿FACE大会,TOMA,win,SHOOTO,(none)
saito-yutaka,斎藤 裕,23,2014-03-16,プロフェッショナル修斗 インフィニティリーグ2014,城田和秀,draw,SHOOTO,(none)
saito-yutaka,斎藤 裕,24,2013-11-09,プロフェッショナル修斗,村津孝徳,win,SHOOTO,(none)
saito-yutaka,斎藤 裕,25,2013-09-22,プロフェッショナル修斗,独眼竜刺牙,win,SHOOTO,(none)
