slug,name,history_index,date,event,opponent,result,org,matched_event,reason
asakura-kai,朝倉 海,8,2021-06-13,RIZIN.28 【RIZINバンタム級JAPANグランプリ1回戦】,渡部修斗,win,RIZIN,Yogibo presents RIZIN.28,no_candidate
tsuruya-rei,鶴屋 怜,11,2021-02-21,DEEP 100 IMPACT～20th Anniversary～,竜己,win,DEEP,DEEP 100 IMPACT ～20th Anniversary～,no_candidate
asakura-mikuru,朝倉 未来,8,2021-06-13,RIZIN.28,クレベル・コイケ,loss,RIZIN,Yogibo presents RIZIN.28,no_candidate
koike-kleber,クレベル・コイケ,12,2021-06-13,RIZIN.28,朝倉未来,win,RIZIN,Yogibo presents RIZIN.28,no_candidate
koike-kleber,クレベル・コイケ,22,2016-04-24,PANCRASE 277,矢地祐介,win,PANCRASE,PANCRASE277,no_candidate
koike-kleber,クレベル・コイケ,28,2013-11-24,DEEP CAGE IMPACT 2013,門脇英基,win,DEEP,DEEP CAGE IMPACT 2013 in TDC HALL,no_candidate
akimoto-kyoma,秋元 強真,9,2023-11-11,DEEP 116 IMPACT,田口貴規,win,DEEP,DEEP 116 IMPACT,opponent_name_mismatch(org_bout_opponent=田口貴親)
akimoto-kyoma,秋元 強真,11,2023-02-11,DEEP 112 IMPACT,高柳京之介,win,DEEP,DEEP 112 IMPACT,no_candidate
inoue-naoki,井上 直樹,24,2015-05-16,DEEP 72 IMPACT,山中憲次,win,DEEP,DEEP 72 IMPACT,no_candidate
izawa-seika,伊澤 星花,5,2024-03-24,DEEP JEWELS 44 【DEEP JEWELSアトム級タイトルマッチ】,パク・シユン,win,DEEP,DEEP JEWELS 44,no_candidate
izawa-seika,伊澤 星花,15,2021-06-20,DEEP JEWELS 33 【DEEP JEWELSストロー級暫定タイトルマッチ】,本野美樹,win,DEEP,DEEP JEWELS 33,no_candidate
rena,RENA,11,2019-04-21,RIZIN.15,サマンサ・ジャン＝フランソワ,win,RIZIN,RIZIN.15,opponent_name_mismatch(org_bout_opponent=サマンサ・ジャン=フランソワ)
saito-yutaka,斎藤 裕,9,2019-09-22,修斗 30th ANNIVERSARY TOUR 第7戦,高谷裕之,win,SHOOTO,SHOOTO 30th ANNIVERSARY TOUR 第7戦 Supported by ONE Championship,opponent_name_mismatch(org_bout_opponent=髙谷 裕之)
hiroya,ヒロヤ,4,2024-11-17,RIZIN LANDMARK 10,"柴田""MONKEY""有哉",win,RIZIN,RIZIN LANDMARK 10 in NAGOYA,opponent_name_mismatch(org_bout_opponent=柴田“MONKEY”有哉)
hiroya,ヒロヤ,13,2021-12-12,DEEP 105 IMPACT,日比野“エビ中”純也,win,DEEP,DEEP 105 IMPACT,opponent_name_mismatch(org_bout_opponent=日比野”エビ中”純也)
hiroya,ヒロヤ,19,2020-08-23,DEEP 96 IMPACT,橋本ユウタ,loss,DEEP,DEEP 96 IMPACT,opponent_name_mismatch(org_bout_opponent=橋本優大)
shinryu-makoto,神龍 誠,15,2022-05-08,DEEP 107 IMPACT 【DEEPフライ級王座統一戦】,藤田大和,win,DEEP,DEEP 107 IMPACT,opponent_name_mismatch(org_bout_opponent=)
shinryu-makoto,神龍 誠,19,2019-06-29,DEEP 90 IMPACT 【DEEPフライ級暫定王者決定戦】,"柴田""MONKEY""有哉",win,DEEP,DEEP 90 IMPACT,opponent_name_mismatch(org_bout_opponent=柴田“MONKEY”有哉)
shinryu-makoto,神龍 誠,20,2019-03-09,DEEP 88 IMPACT,島袋力,win,DEEP,DEEP 88 IMPACT,opponent_name_mismatch(org_bout_opponent=島袋チカラ)
shinryu-makoto,神龍 誠,22,2018-04-28,DEEP 83 IMPACT 【DEEPフライ級タイトルマッチ】,和田竜光,loss,DEEP,DEEP 83 IMPACT,no_candidate
shinryu-makoto,神龍 誠,23,2018-02-24,DEEP 82 IMPACT,石橋幸太,win,DEEP,DEEP 82 IMPACT,no_candidate
shinryu-makoto,神龍 誠,25,2017-09-16,DEEP 79 IMPACT,中森祐人,win,DEEP,DEEP 79 IMPACT,no_candidate
shinryu-makoto,神龍 誠,26,2017-05-13,DEEP CAGE IMPACT,石神保貴,draw,DEEP,DEEP CAGE IMPACT 2017,no_candidate
shinryu-makoto,神龍 誠,27,2016-12-17,DEEP CAGE IMPACT DEEP VS WSOF-GC,丸岡拓也,win,DEEP,DEEP CAGE IMPACT 2016～DEEP VS WSOF-GC～,no_candidate
shinryu-makoto,神龍 誠,28,2016-08-27,DEEP 77 IMPACT,曾我英将,win,DEEP,DEEP 77 IMPACT,no_candidate
shinryu-makoto,神龍 誠,29,2016-04-24,PANCRASE ディファ有明大会,前野辰一,win,PANCRASE,PANCRASE277,no_candidate
ougikubo-hiromasa,扇久保 博正,20,2017-04-23,修斗,ダニー・マルティネス,win,SHOOTO,舞浜アンフィシアター大会,opponent_name_mismatch(org_bout_opponent=Danny Martinez)
motoya-yuki,元谷 友貴,20,2020-11-01,DEEP 99 IMPACT,米山千隼,win,DEEP,DEEP 99 IMPACT,no_candidate
motoya-yuki,元谷 友貴,21,2020-08-10,RIZIN.23 - CALLING OVER -,魚井フルスイング,win,RIZIN,RIZIN.23 - CALLING OVER -,opponent_name_mismatch(org_bout_opponent=魚井フルスイング)
motoya-yuki,元谷 友貴,23,2019-12-31,RIZIN.20,パッチー・ミックス,loss,RIZIN,RIZIN.20,opponent_name_mismatch(org_bout_opponent=パトリック・ミックス)
motoya-yuki,元谷 友貴,26,2018-12-31,RIZIN.14,ジャスティン・スコギンズ,win,RIZIN,Cygames presents RIZIN.14,opponent_name_mismatch(org_bout_opponent=ジャスティン・スコッギンス)
motoya-yuki,元谷 友貴,30,2018-02-24,DEEP 82 IMPACT,ビョン・ジェウン,win,DEEP,DEEP 82 IMPACT,no_candidate
yachi-yusuke,矢地 祐介,14,2020-09-27,RIZIN.24,大原樹理,loss,RIZIN,Yogibo presents RIZIN.24,opponent_name_mismatch(org_bout_opponent=大原樹里)
yachi-yusuke,矢地 祐介,26,2016-04-24,PANCRASE 277,クレベル・コイケ,loss,PANCRASE,PANCRASE277,opponent_name_mismatch(org_bout_opponent=クレベル・小池・エルベスト)
fukuda-ryuya,福田 龍彌,3,2025-05-05,DEEP 125 IMPACT 【DEEPバンタム級タイトルマッチ】,牛久絢太郎,win,DEEP,DEEP 125 IMPACT,no_candidate
fukuda-ryuya,福田 龍彌,23,2018-04-15,修斗 香川大会「FORCE09」,藤川智史,loss,SHOOTO,FORCE 09,no_candidate
takagi-ryo,高木 凌,12,2021-12-12,PANCRASE 325,齋藤拓矢,win,PANCRASE,PANCRASE 325,opponent_name_mismatch(org_bout_opponent=斎藤拓矢)
kate-lotus,ケイト・ロータス,5,2024-11-04,DEEP 122 IMPACT,月井隼南,win,DEEP,DEEP 122 IMPACT,opponent_name_mismatch(org_bout_opponent=月井準南)
kate-lotus,ケイト・ロータス,7,2024-03-24,DEEP JEWELS 44,桐生祐子,win,DEEP,DEEP JEWELS 44,no_candidate
kate-lotus,ケイト・ロータス,15,2021-09-04,DEEP JEWELS 34,ミッコ・ニルバーナ,loss,DEEP,DEEP JEWELS 34,no_candidate
kate-lotus,ケイト・ロータス,17,2020-12-19,DEEP JEWELS 31,熊谷麻理奈,win,DEEP,DEEP JEWELS 31,no_candidate
oshima-saori,大島 沙緒里,8,2023-09-18,DEEP 115 IMPACT〜DEEP vs BLACK COMBAT〜 【DEEP JEWELS&BLACK COMBATアトム級ダブルタイトルマッチ】,パク・シユン,loss,DEEP,DEEP 115 IMPACT～DEEP VS BLACK COMBAT～,opponent_name_mismatch(org_bout_opponent=パク・シユン)
oshima-saori,大島 沙緒里,13,2022-05-08,DEEP JEWELS 37 【DEEP JEWELSアトム級タイトルマッチ】,須田萌里,win,DEEP,DEEP JEWELS 37,no_candidate
oshima-saori,大島 沙緒里,16,2021-06-20,DEEP JEWELS 33 【DEEP JEWELSアトム級グランプリ決勝】,青野ひかる,win,DEEP,DEEP JEWELS 33,opponent_name_mismatch(org_bout_opponent=パク・シウ)
oshima-saori,大島 沙緒里,20,2020-09-20,DEEP 96 IMPACT 【DEEPミクロ級王座決定戦】,にっせー,win,DEEP,DEEP 97 IMPACT,no_candidate
kashimura-jinnosuke,鹿志村 仁之介,8,2023-11-11,DEEP 116 IMPACT,橋本ユウタ,win,DEEP,DEEP 116 IMPACT,no_candidate
kashimura-jinnosuke,鹿志村 仁之介,9,2023-07-02,DEEP 114 IMPACT,"日比野""エビ中""純也",loss,DEEP,DEEP 114 IMPACT,opponent_name_mismatch(org_bout_opponent=日比野“エビ中”純也)
kashimura-jinnosuke,鹿志村 仁之介,10,2023-03-25,DEEP TOKYO IMPACT 2023 2ND ROUND,DJ.taiki,loss,DEEP,DEEP TOKYO IMPACT 2023 2nd ROUND,no_candidate
sato-shoko,佐藤 将光,36,2012-01-28,Pancrase Progress Tour 1,斎藤 正臣,win,PANCRASE,PANCRASE 2012 PROGRESS TOUR,opponent_name_mismatch(org_bout_opponent=斉藤正臣)
sato-shoko,佐藤 将光,37,2011-10-02,PANCRASE IMPRESSIVE TOUR 10,滝田将也,loss,PANCRASE,PANCRASE 2011 IMPRESSIVE TOUR,opponent_name_mismatch(org_bout_opponent=滝田J太郎)
sato-shoko,佐藤 将光,40,2011-02-06,PANCRASE 2011 IMPRESSIVE TOUR 【バンタム級次期王座挑戦者査定試合】,西内太志朗,loss,PANCRASE,PANCRASE 2011 IMPRESSIVE TOUR,opponent_name_mismatch(org_bout_opponent=赤井太志朗)
sato-shoko,佐藤 将光,45,2010-04-04,Pancrase Passion Tour 3 【バンタム級 ネオブラッド・トーナメント1回戦】,島崎巧,win,PANCRASE,PANCRASE 2010 PASSION TOUR,opponent_name_mismatch(org_bout_opponent=島崎太郎)
goto-joji,後藤 丈治,7,2023-10-01,RIZIN LANDMARK 6,"日比野""エビ中""純也",win,RIZIN,For Japan presents RIZIN LANDMARK 6 in NAGOYA,opponent_name_mismatch(org_bout_opponent=日比野“エビ中”純也)
goto-joji,後藤 丈治,12,2021-09-20,SHOOTO PROFESSIONAL SHOOTO 2021 VOL. 6,石橋圭太,loss,SHOOTO,PROFESSIONAL SHOOTO 2021 Vol.6 Supported by ONE Championship,opponent_name_mismatch(org_bout_opponent=石橋 佳大)
goto-joji,後藤 丈治,18,2019-09-23,PANCRASE SAPPORO,道端雅志,win,PANCRASE,PANCRASE札幌大会,opponent_name_mismatch(org_bout_opponent=道端正司)
goto-joji,後藤 丈治,19,2019-07-21,PANCRASE 307,平田淳一,win,PANCRASE,PANCRASE307,opponent_name_mismatch(org_bout_opponent=平田純一)
goto-joji,後藤 丈治,20,2019-05-26,PANCRASE 305,山田誠央,win,PANCRASE,PANCRASE305,opponent_name_mismatch(org_bout_opponent=聖王DATE)
goto-joji,後藤 丈治,24,2017-12-10,PANCRASE 292,渡辺達也,win,PANCRASE,PANCRASE292,opponent_name_mismatch(org_bout_opponent=渡辺竜也)
goto-joji,後藤 丈治,25,2017-10-22,PANCRASE SAPPORO,桑原優,win,PANCRASE,PANCRASE札幌大会,opponent_name_mismatch(org_bout_opponent=桑原悠)
goto-joji,後藤 丈治,26,2017-05-14,PANCRASE SAPPORO,竹内直哉,win,PANCRASE,PANCRASE札幌大会,opponent_name_mismatch(org_bout_opponent=竹内直矢)
goto-joji,後藤 丈治,27,2016-10-16,PANCRASE SAPPORO,飯島重喜,loss,PANCRASE,PANCRASE札幌大会,opponent_name_mismatch(org_bout_opponent=飯島重樹)
nomura-shunta,野村 駿太,2,2024-09-16,DEEP 121 IMPACT 【DEEPライト級タイトルマッチ】,江藤公洋,win,DEEP,DEEP 121 IMPACT,no_candidate
nomura-shunta,野村 駿太,5,2023-07-02,DEEP 114 IMPACT,江藤公洋,loss,DEEP,DEEP 114 IMPACT,no_candidate
yamamoto-arsen,山本 アーセン,4,2024-03-23,RIZIN LANDMARK 9,"柴田""MONKEY""有哉",loss,RIZIN,RIZIN LANDMARK 9 in KOBE,opponent_name_mismatch(org_bout_opponent=柴田“MONKEY”有哉)
ando-tatsuya,安藤 達也,14,2016-11-12,SHOOTO Pacific Rim Double Championship,ケビン・クルーム,win,SHOOTO,環太平洋ダブルチャンピオンシップ,opponent_name_mismatch(org_bout_opponent=KEVIN THE HARD-HITTING HILLBILLY CROOM)
kintaro,金太郎,27,2013-04-28,DEEP OSAKA IMPACT 2013,西岡一弥,win,DEEP,DEEP OSAKA IMPACT 2013,no_candidate
suda-moeri,須田 萌里,13,2022-09-11,DEEP JEWELS 38,村上彩,win,DEEP,DEEP JEWELS 38,no_candidate
suda-moeri,須田 萌里,15,2022-05-08,DEEP JEWELS 37 【DEEP JEWELSアトム級タイトルマッチ】,大島沙緒里,loss,DEEP,DEEP JEWELS 37,no_candidate
suda-moeri,須田 萌里,21,2020-12-19,DEEP JEWELS 31,ササキモエ,loss,DEEP,DEEP JEWELS 31,opponent_name_mismatch(org_bout_opponent=※19‐19)
