slug,nameJa,hidden,needsReview,recordFromResults,headerSource,headerTotalRaw,ncCount,headerTotal,tableSource,tableTotal,row1Total(wikipedia),multiOrgTotal,historyLen,multiOrgBoutLen,pattern
sumimura-ryuichiro,"住村竜市朗",false,false,true,row1(wikipedia),36,0,36,multiOrgBoutTable,26,36,26,0,26,B
tokoro-hideo,"所 英男",false,false,false,row1(wikipedia),71,0,71,history(wikipedia),63,71,13,63,13,B
strasser-kiichi,"ストラッサー起一",false,false,true,row1(wikipedia),36,1,37,history(wikipedia),35,36,17,35,18,B
sato-shoko,"佐藤 将光",false,false,false,row1(wikipedia),57,1,58,history(wikipedia),57,57,41,57,41,B
nakamura-daisuke,"中村大介",false,false,true,row1(wikipedia),65,0,65,history(wikipedia),64,65,20,64,20,B
kitaoka-satoru,"北岡悟",false,false,true,row1(wikipedia),84,0,84,history(wikipedia),83,84,67,83,67,B
lee-kaiwen,"リー・カイウェン",false,false,true,row1(wikipedia),24,0,24,history(wikipedia),23,24,1,23,1,B
patricky-pitbull,"パトリッキー・ピットブル",false,false,true,row1(wikipedia),41,0,41,history(wikipedia),42,41,6,42,6,B
uno-caol,"宇野薫",false,false,false,row1(wikipedia),63,0,63,history(wikipedia),64,63,33,64,33,B
sugiyama,"杉山しずか",false,true,false,row1(wikipedia),32,0,32,history(wikipedia),33,32,16,33,16,B
