name,status,decision,reason_code,primary_brand,total_appearances,amateur_appearances,pro_appearances,most_recent_date
abbie,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,3,1,2,2026-05-24
AKINA,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2026-05-31
Akiyoshi,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,2,0,2,2025-10-05
AKIYOSHI,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,2,0,2,2026-05-31
Bobo飛鳥,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-03-08
GINJI,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2025-09-21
Guts,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2025-11-23
HIME,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-03-08
JUICY,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,2,0,2,2026-05-24
KENTA,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-08-17
KINNO,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2026-05-24
MANA,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-03-08
MANAKA,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2025-09-07
MG眞介,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-06-21
Michael北見,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,1,1,0,2026-02-23
RYOTA,missing,非採用,C_ALL_AMATEUR,DEEP IMPACT,1,1,0,2025-09-15
RYUA,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2026-05-31
SAAYA,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,4,0,4,2026-05-24
SHOYA,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,2026-06-14
Street♡★Bob洸助,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-06-21
TAKUMA,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,2,2,0,2026-05-24
TATSUMI,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,2026-06-14
Te-a,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2026-05-24
WATARU,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
あー子,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-03-08
あきぴ,missing,非採用,C_ALL_AMATEUR,DEEP JEWELS,4,4,0,2026-05-24
アサン・ゲェイデ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2025-09-07
アニンタ・アリ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP FIGHT CHALLENGE,2,0,2,2026-01-23
アモリン,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-03-08
イ・イェジ,listed,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,2,0,2,2026-05-24
イトカズ・コウセイ,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2025-10-05
ウラケン,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2026-02-23
