slug,nameJa,jaTitle,articleFound,qualifyingSections,sectionRowCount,otherSectionsRowCount,parserKeptNow,dbHistoryLen,parserDropCount,pipelineDiff,dropReasons,note
taira-tatsuro,平良 達郎,平良達郎,true,1,20,0,20,20,0,0,,
nakamura-rinya,中村 倫也,中村倫也 (格闘家),true,2,11,0,11,11,0,0,,
horiguchi-kyoji,堀口 恭司,堀口恭司,true,2,43,1,43,43,0,0,,複数節にFight-cont行が分散(採用節=1件目、他節に1行埋没)
asakura-kai,朝倉 海,朝倉海,true,1,29,0,28,28,1,0,marker-blank-future:1,
tsuruya-rei,鶴屋 怜,鶴屋怜,true,1,13,0,12,12,1,0,marker-blank-future:1,
hiramoto-ren,平本 蓮,平本蓮,true,3,8,0,7,7,1,0,marker-blank-future:1,
asakura-mikuru,朝倉 未来,朝倉未来,true,1,27,0,26,26,1,0,marker-blank-future:1,
koike-kleber,クレベル・コイケ,クレベル・コイケ,true,2,47,0,46,46,1,0,marker-blank-future:1,
akimoto-kyoma,秋元 強真,秋元強真,true,1,14,0,13,13,1,0,marker-blank-future:1,
inoue-naoki,井上 直樹,井上直樹 (格闘家),true,1,26,0,26,26,0,0,,
izawa-seika,伊澤 星花,伊澤星花,true,2,18,0,18,18,0,0,,
rena,RENA,RENA (格闘家),true,2,22,0,21,21,1,0,marker-blank-future:1,
saito-yutaka,斎藤 裕,斎藤裕 (格闘家),true,1,33,0,32,32,1,0,marker-blank-future:1,
ya-man,YA-MAN,YA-MAN,true,2,5,0,4,5,1,-1,marker-blank-future:1,
hagiwara-kyohei,萩原 京平,萩原京平,true,1,22,0,22,22,0,0,,
majima-kazumasa,摩嶋 一整,摩嶋一整,true,1,26,0,25,25,1,0,marker-blank-future:1,
hiroya,ヒロヤ,ヒロヤ,true,1,28,0,28,28,0,0,,
shinryu-makoto,神龍 誠,神龍誠,true,0,0,0,30,30,-30,0,,「総合格闘技」節が見つからず(en版由来の可能性)
ougikubo-hiromasa,扇久保 博正,扇久保博正,true,2,41,6,41,41,0,0,,複数節にFight-cont行が分散(採用節=1件目、他節に6行埋没)
motoya-yuki,元谷 友貴,元谷友貴,true,1,54,0,54,54,0,0,,
yachi-yusuke,矢地 祐介,矢地祐介,true,0,0,0,46,46,-46,0,,「総合格闘技」節が見つからず(en版由来の可能性)
shinotsuka-tatsuki,篠塚 辰樹,篠塚辰樹,true,2,2,0,2,2,0,0,,
tomizawa-daichi,冨澤 大智,冨澤大智,true,1,6,0,5,5,1,0,marker-blank-future:1,
ashizawa-ryusei,芦澤 竜誠,芦澤竜誠,true,1,6,0,6,6,0,0,,
jolly,ジョリー,ジョリー (格闘家),true,1,5,0,4,4,1,0,marker-blank-future:1,
fukuda-ryuya,福田 龍彌,福田龍彌,true,2,37,0,37,37,0,0,,
takagi-ryo,高木 凌,高木凌,true,1,15,0,14,14,1,0,marker-blank-future:1,
ota-shinobu,太田 忍,太田忍,true,2,14,0,14,14,0,0,,
kate-lotus,ケイト・ロータス,ケイト・ロータス,true,0,0,0,19,19,-19,0,,「総合格闘技」節が見つからず(en版由来の可能性)
hiramoto-jo,平本 丈,平本丈,true,1,6,0,5,5,1,0,marker-blank-future:1,
oshima-saori,大島 沙緒里,大島沙緒里,true,2,24,0,24,24,0,0,,
kashimura-jinnosuke,鹿志村 仁之介,鹿志村仁之介,true,2,18,0,18,18,0,0,,
sato-shoko,佐藤 将光,佐藤将光,true,1,58,0,57,57,1,0,marker-blank-future:1,
goto-joji,後藤 丈治,後藤丈治,true,1,29,0,28,28,1,0,marker-blank-future:1,
ito-yuki,伊藤 裕樹,伊藤裕樹 (格闘家),true,1,28,0,27,27,1,0,marker-blank-future:1,
suzuki-chihiro,鈴木 千裕,鈴木千裕,true,1,20,0,20,20,0,0,,
soya-takaki,征矢 貴,征矢貴,true,1,22,0,22,22,0,0,,
noel,NOEL,NOEL (格闘家),true,1,7,0,6,6,1,0,marker-blank-future:1,
nomura-shunta,野村 駿太,野村駿太,true,0,0,0,12,12,-12,0,,「総合格闘技」節が見つからず(en版由来の可能性)
yamamoto-arsen,山本 アーセン,山本アーセン,true,2,15,0,15,15,0,0,,
horie-yoshinori,堀江 圭功,堀江圭功,true,0,0,0,21,21,-21,0,,「総合格闘技」節が見つからず(en版由来の可能性)
souza-roberto-satoshi,ホベルト・サトシ・ソウザ,ホベルト・サトシ・ソウザ,true,3,25,0,24,24,1,0,marker-blank-future:1,
ando-tatsuya,安藤 達也,安藤達也,true,1,22,0,22,22,0,0,,
sakuraba-taisei,桜庭 大世,桜庭大世,true,1,4,0,4,4,0,0,,
usami-sho-patrick,宇佐美正パトリック,宇佐美正パトリック,true,2,14,0,14,14,0,0,,
umeno-genji,梅野 源治,梅野源治,true,1,4,0,4,4,0,0,,
kintaro,金太郎,金太郎 (格闘家),true,1,34,0,34,34,0,0,,
suda-moeri,須田 萌里,須田萌里,true,1,23,0,23,23,0,0,,
kubo-yuta,久保 優太,久保優太,true,3,9,1,9,9,0,0,,複数節にFight-cont行が分散(採用節=1件目、他節に1行埋没)
takeda-koji,武田 光司,武田光司,true,2,28,0,27,27,1,0,marker-blank-future:1,
tokoro-hideo,所 英男,所英男,true,1,63,0,63,63,0,0,,
edpolo-king,エドポロキング,エドポロキング,true,1,4,0,3,3,1,0,marker-blank-future:1,
ueda-mikio,上田 幹雄,上田幹雄,true,2,9,0,8,8,1,0,marker-blank-future:1,
sudario-tsuyoshi,スダリオ 剛,スダリオ剛,true,1,14,0,13,13,1,0,marker-blank-future:1,
takenshin,貴賢神,貴賢神,true,1,8,0,8,8,0,0,,
kouzi,皇治,皇治,true,1,2,0,2,2,0,0,,
suzuki-hiroaki,鈴木 博昭,鈴木博昭 (格闘家),true,2,12,0,12,13,0,-1,,
miyagawa-hyuga,宮川 日向,宮川日向,true,1,15,0,15,15,0,0,,
naoki,直樹,直樹,true,2,6,0,5,5,1,0,marker-blank-future:1,
mizuno-shinta,水野 新太,水野新太,true,1,11,0,10,10,1,0,marker-blank-future:1,
ohara-juri,大原樹理,大原樹理,true,1,64,0,64,64,0,0,,
kuramoto-daigo,倉本大悟,倉本大悟,true,1,12,0,12,12,0,0,,
shimada-ibuki,嶋田伊吹,嶋田伊吹,true,1,20,0,20,20,0,0,,
sakai-ryo,酒井リョウ,酒井リョウ,true,1,31,0,30,30,1,0,marker-blank-future:1,
sekihara-sho,関原翔,関原翔,true,1,19,0,19,19,0,0,,
rikiya,力也,力也 (格闘家),true,1,27,0,27,27,0,0,,
