slug,nameJa,reason,markerRaw,opponentRaw,eventRaw,dateRaw,hasRefFootnote,hasImageOrFlagIcon
asakura-kai,朝倉 海,marker-blank-future,,アオリ・チロン,[[UFC Fight Night: Nurmagomedov vs. Song]],2026年8月29日,false,false
tsuruya-rei,鶴屋 怜,marker-blank-future,,[[ケビン・ボルハス]],[[UFC Fight Night: Nurmagomedov vs. Song]],2026年8月29日,false,false
hiramoto-ren,平本 蓮,marker-blank-future,,[[カルシャガ・ダウトベック]],[[超RIZIN.5 浪速の超復活祭り]],2026年9月10日,false,false
asakura-mikuru,朝倉 未来,marker-blank-future,,[[青木真也]],[[超RIZIN.5 浪速の超復活祭り]],2026年9月10日,false,false
koike-kleber,クレベル・コイケ,marker-blank-future,,[[秋元強真]],[[RIZIN.54]],2026年8月11日,false,false
akimoto-kyoma,秋元 強真,marker-blank-future,,[[クレベル・コイケ]],[[RIZIN.54]],2026年8月11日,false,false
rena,RENA,marker-blank-future,,[[ナタリア・クジュティナ|ナターシャ・クジュティナ]],[[超RIZIN.5 浪速の超復活祭り]],2026年9月10日,false,false
saito-yutaka,斎藤 裕,marker-blank-future,,[[YA-MAN]],[[超RIZIN.5 浪速の超復活祭り]],2026年9月10日,false,false
ya-man,YA-MAN,marker-blank-future,,[[斎藤裕]],[[超RIZIN.5 浪速の超復活祭り]],2026年9月10日,false,false
majima-kazumasa,摩嶋 一整,marker-blank-future,,[[武田光司]],[[RIZIN.54]],2026年8月11日,false,false
tomizawa-daichi,冨澤 大智,marker-blank-future,,[[川端龍|ドンマイ川端]],[[超RIZIN.5 浪速の超復活祭り]],2026年9月10日,false,false
jolly,ジョリー,marker-blank-future,,[[平本丈]],[[RIZIN.54]],2026年8月11日,false,false
takagi-ryo,高木 凌,marker-blank-future,,[[ヴガール・ケラモフ]],[[超RIZIN.5 浪速の超復活祭り]],2026年9月10日,false,false
hiramoto-jo,平本 丈,marker-blank-future,,[[ジョリー (格闘家)|ジョリー]],[[RIZIN.54]],2026年8月11日,false,false
sato-shoko,佐藤 将光,marker-blank-future,,[[パッチー・ミックス]],[[RIZIN.54]],2026年8月11日,false,false
goto-joji,後藤 丈治,marker-blank-future,,[[アジズベク・テミロフ]],[[RIZIN.54]],2026年8月11日,false,false
ito-yuki,伊藤 裕樹,marker-blank-future,,[[アリベク・ガジャマトフ]],[[RIZIN.54]],2026年8月11日,false,false
noel,NOEL,marker-blank-future,,[[ケイト・ロータス]],[[RIZIN.54]],2026年8月11日,false,false
souza-roberto-satoshi,ホベルト・サトシ・ソウザ,marker-blank-future,,[[野村駿太]],[[超RIZIN.5 浪速の超復活祭り]],2026年9月10日,false,false
takeda-koji,武田 光司,marker-blank-future,,[[摩嶋一整]],[[RIZIN.54]],2026年8月11日,false,false
edpolo-king,エドポロキング,marker-blank-future,,[[上田幹雄]],[[RIZIN.54]]<br />【RIZINヘビー級JAPANグランプリ1回戦】,2026年8月11日,false,false
ueda-mikio,上田 幹雄,marker-blank-future,,[[エドポロキング]],[[RIZIN.54]]<br />【RIZINヘビー級JAPANグランプリ1回戦】,2026年8月11日,false,false
sudario-tsuyoshi,スダリオ 剛,marker-blank-future,,[[酒井リョウ]],[[RIZIN.54]]<br />【RIZINヘビー級JAPANグランプリ1回戦】,2026年8月11日,false,false
naoki,直樹,marker-blank-future,,[[細川一颯]],[[RIZIN.54]],2026年8月11日,false,false
mizuno-shinta,水野 新太,marker-blank-future,,[[リー・カイウェン]],[[RIZIN.54]],2026年8月11日,false,false
sakai-ryo,酒井リョウ,marker-blank-future,,[[スダリオ剛]],[[RIZIN.54]]<br />【RIZINヘビー級JAPANグランプリ1回戦】,2026年8月11日,false,false
takizawa-kenta,瀧澤謙太,marker-blank-future,,[[白川陸斗|白川ダーク陸斗]],DEEP 133 IMPACT,2026年9月13日,false,false
nakamura-daisuke,中村大介,marker-blank-future,,椿飛鳥,DEEP 133 IMPACT,2026年9月14日,false,false
kubota-taito,窪田泰斗,marker-blank-future,,[[飴山聖也]],DEEP TOKYO IMPACT 2026 4th ROUND,2026年9月6日,false,false
kinoshita-karate,木下カラテ,marker-blank-future,,杉野亜蓮,DEEP TOKYO IMPACT 2026 4th ROUND,2026年9月6日,false,false
miyabi-shunsuke,雅駿介,marker-blank-future,,中務太陽,DEEP 133 IMPACT,2026年9月13日,false,false
kanru,敢流,marker-blank-future,,遠藤来生,PANCRASE 365,2026年9月6日,false,false
