slug	name	date	event	opponent	methodRaw	promotion	result	note
shirahata-yusei	白幡 裕星	2022-03-06	+WEED presents RIZIN LANDMARK vol.2	吉成名高	2R 1分02秒 TKO（レフェリーストップ）	RIZIN	loss	None
tairon-supon	タイロン・スポーン	2006-11-12	2 Hot 2 Handle - Pride & Honor	ユーリ・メス	5R 1:12 KO	Wikipedia(その他団体)	win	None
yuri-mesu	ユーリ・メス	2006-11-12	2H2H - PRIDE & HONOR	タイロン・スポーン	5R TKO	Wikipedia(その他団体)	loss	None
maruko-pike	マルコ・ピケ	2006-11-12	2H2H - Pride & Honor	アルビアール・リマ	5R終了 判定	Wikipedia(その他団体)	loss	None
kazunori	KAZUNORI	2022-11-06	ANGEL CHAMPAGNE presents RIZIN LANDMARK 4 in NAGOYA	佐藤執斗	1R 0分39秒 TKO（レフェリーストップ）	RIZIN	loss	None
kato-hisaki	加藤 久輝	2016-06-25	Bellator 157	ジョー・シリング	2R 2:59 KO（左バックブロー）	Wikipedia(その他団体)	win	None
jorujio-petoroshian	ジョルジオ・ペトロシアン	2016-12-10	Bellator Kickboxing 4 at Bellator 168	ジョーダン・ワトソン	3R 0:52 TKO	Wikipedia(その他団体)	win	None
jorujio-petoroshian	ジョルジオ・ペトロシアン	2017-04-08	Bellator Kickboxing 5 at Bellator 176	Amansio Paraschiv	3R終了 判定3-0	Wikipedia(その他団体)	win	None
ishii-hirokazu	石井宏和	2009-06-07	CLUB DEEP OSAKA	あきんど大野	2R 1:38 KO （右ハイキック）	Wikipedia(その他団体)	win	None
kawaguchi-yuusuke	川口雄介	2010-08-01	Club DEEP 八王子 II	竹村光一	1R 1:05 TKO	Wikipedia(その他団体)	win	None
yuta-uchida	内田雄大	2018-12-31	Cygames presents RIZIN 平成最後のやれんのか！	小西拓槙	3R 判定 3-0	RIZIN	win	None
taiju-shiratori	白鳥大珠	2018-12-31	Cygames presents RIZIN 平成最後のやれんのか！	ウザ強ヨシヤ	3R KO	RISE	win	None
konishi-takuma	小西 拓槙	2018-12-31	Cygames presents RIZIN 平成最後のやれんのか！	内田雄大	3R 判定 3-0	RIZIN	loss	None
uzatsuyo-yoshiya	ウザ強ヨシヤ	2018-12-31	Cygames presents RIZIN 平成最後のやれんのか！	白鳥大珠	3RKO	RISE	loss	None
yamauchi-yuutarou	山内佑太郎	2012-12-22	DEEP	松井裕馬	3R終了 判定2-0	Wikipedia(その他団体)	win	None
ryuki	Ryuki	2021-07-04	DEEP 102 IMPACT ～20th Anniversary～	雅 駿介	1R TKO	RISE	win	None
ryuki	Ryuki	2021-12-12	DEEP 105 IMPACT ～20th Anniversary～	CORO	2R KO	RISE	loss	None
ryuki	Ryuki	2022-12-11	DEEP 111 IMPACT	平松 翔	1R TKO	RISE	win	None
taisei-nishitani	西谷大成	2023-05-07	DEEP 113 IMPACT	高野優樹	3R 判定	RISE	win	None
nagashima-jienotsu-yuuichirou	長島☆自演乙☆雄一郎	2007-07-08	DEEP 30 IMPACT	上田拳二	1R 1:38 KO（パンチ連打）	Wikipedia(その他団体)	win	None
naito-ryota	内藤凌太	2019-05-12	DEEP 89 IMPACT	堀尾 竜司	3R 判定	SHOOT BOXING	draw	None
tomoko-hida	樋田智子	2019-05-12	DEEP 89 IMPACT	古瀬美月	3R 判定	RISE	loss	None
rikuto-shirakawa	白川陸斗	2020-11-01	DEEP 99 IMPACT	オーロラ☆ユーキ	1R TKO	RISE	win	None
yokota-kazunori	横田 一則	2011-09-18	DEEP CAGE IMPACT 2011 in HAMAMATSU	ほそえとしひろ	3R終了 判定3-0	Wikipedia(その他団体)	win	None
degai-taisuke	出貝泰佑	2008-06-15	DEEP GLOVE 2	清水 雄介	判定	Bigbang	loss	None
yushi	YUSHI	2013-09-15	DEEP HAMAMATSU IMPACT 2013	山中 洸武	3R KO	SHOOT BOXING	loss	None
okuyama-takahiro	奥山 貴大	2013-09-15	DEEP HAMAMATSU IMPACT 2013	佐藤 篤史	3R 判定	SHOOT BOXING	loss	None
naito-ryota	内藤凌太	2014-09-14	DEEP HAMAMATSU IMPACT 2014	池野 翔	3R 判定	SHOOT BOXING	draw	None
takeuchi-kenichi	竹内賢一	2018-09-23	DEEP HAMAMATSU IMPACT 2018	幸人	KO	Bigbang	win	None
takeuchi-kenichi	竹内賢一	2019-09-15	DEEP HAMAMATSU IMPACT 2019	ヘンリーセハス	判定	Bigbang	loss	None
hasegawa-yuya	長谷川 祐也	2020-10-25	DEEP HAMAMATSU IMPACT 2020	伊藤 晃希	TKO 3R	SHOOT BOXING	win	None
yushi	YUSHI	2020-10-25	DEEP HAMAMATSU IMPACT 2020	滝口 幸成	3R 判定	SHOOT BOXING	loss	None
hasegawa-yuya	長谷川 祐也	2021-09-19	DEEP HAMAMATSU IMPACT 2021	ディエゴ 坪井	3R 判定	SHOOT BOXING	draw	None
natsume-ryuga	夏目竜雅	2021-09-19	DEEP HAMAMATSU IMPACT 2021	大澤匡弘	3R 判定	RISE	win	None
hasegawa-yuya	長谷川 祐也	2022-09-25	DEEP HAMAMATSU IMPACT 2022	石田 迅	TKO 1R	SHOOT BOXING	loss	None
hasegawa-daisuke	長谷川 大祐	2022-09-25	DEEP HAMAMATSU IMPACT 2022	大久保 俊	3R 判定	SHOOT BOXING	loss	None
runa-okumura	奥村琉奈	2023-09-24	DEEP HAMAMATSU IMPACT 2023	Uver∞miyU	3R 判定	RISE	win	None
takeuchi-kenichi	竹内賢一	2023-09-24	DEEP HAMAMATSU IMPACT 2023	としや	2R KO	RISE	win	None
hasegawa-daisuke	長谷川 大祐	2023-09-24	DEEP HAMAMATSU IMPACT 2023	新井 昴弥	3R 判定	SHOOT BOXING	win	None
ubamiyu	Uver∞miyU	2023-09-24	DEEP HAMAMATSU IMPACT 2023	奥村琉奈	3R終了 判定0-3	Wikipedia(その他団体)	loss	None
shosuke-iwanaga	岩永勝亮	2024-10-06	DEEP HAMAMATSU IMPACT 2024	一樹	3R 判定	RISE	win	None
