slug,org,date,event,opponentRaw,ownRaw,resultType,matchLabel,matchedAgainst
fujii-nobuki,パンクラス,2018-05-20,PANCRASE296,"アラン“ヒロ""ヤマニハ",藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2017-12-10,PANCRASE292,佐久間健太,藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2017-08-20,PANCRASE289,リッチー・ヴァスリック,藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2017-04-23,PANCRASE286,CORO,藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2016-11-13,PANCRASE282,小宮稔大,藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2016-06-12,PANCRASE278,上田将竜,藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2015-11-01,PANCRASE 271,仙三,藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2015-07-05,PANCRASE 268,福島秀和,藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2015-02-01,PANCRASE 264,なおKING,藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2014-10-05,PANCRASE 261,合島大樹,藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2014-05-11,PANCRASE 258,齊藤曜,藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2013-12-31,Bayside FIGHT.2,高岡尚裕,藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2013-11-03,PANCRASE 253,佐藤将光,藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2013-07-28,PANCRASE250,野中翔,藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2013-05-19,PANCRASE247,諏訪園岳,藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2013-03-17,PANCRASE246,岸幸生,藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2013-01-12,PANCRASE244,伊禮真也,藤井伸樹,draw,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2012-09-01,PANCRASE 2012 PROGRESS TOUR,CORO,藤井伸樹,draw,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2011-11-12,PANCRASE 2011 IMPRESSIVE TOUR,北郷祐介,藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2011-08-07,PANCRASE 2011 IMPRESSIVE TOUR,斉藤正臣,藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
fujii-nobuki,パンクラス,2011-06-05,PANCRASE 2011 IMPRESSIVE TOUR,斉藤洋二,藤井伸樹,decisive,nfkc_whitespace,藤井 伸樹
