slug	name	date	event	opponent	methodRaw	promotion
tomasu-haron-2	トーマス・ハロン	2009-10-16	RETURN OF GLADIATORS	アーシュイン・バルラック	3R終了 判定	Wikipedia(その他団体)
tomasu-haron-2	トーマス・ハロン	2009-06-25	GLADIATORS GAMES	ウェンデル・ロチェ	判定	Wikipedia(その他団体)
tomasu-haron-2	トーマス・ハロン	2008-12-14	Gladiator	Oleg Zdragus	3R終了 判定	Wikipedia(その他団体)
yan-norukiya	ヤン・ノルキヤ	2008-08-16	日韓親善国際格闘技大会 GLADIATOR	トム・エリクソン	1R 1:05 KO（左フック）	Wikipedia(その他団体)
garyuu-shingo	我龍真吾	2010-10-09	GLADIATOR 11 "G-1"	横山剛	3R終了 判定1-2	Wikipedia(その他団体)
meruvin-manufu	メルヴィン・マヌーフ	1999-03-27	The Fights of the Gladiators	アーシュイン・バルラック	5R終了 判定0-3	Wikipedia(その他団体)
ashuin-baruraku	アーシュイン・バルラック	2009-10-16	RETURN OF GLADIATORS	トーマス・ハロン	3R終了 判定	Wikipedia(その他団体)
fujimoto-yuusuke	藤本祐介	2009-11-03	日韓親善国際格闘技大会 GLADIATOR 岡山大会	濱田順平	3R終了 判定	Wikipedia(その他団体)
karyu-giburein	カリュ・ギブレイン	2022-05-01	BODYMAKER presents GLADIATOR 017 in OSAKA	大番高明	1RKO	RISE
nobu-hayashi	ノブ・ハヤシ	1999-03-27	The Fights of the Gladiators	（Netherlands）	Gurhan Degirmenci	5R終了 判定3-0	Wikipedia(その他団体)
buakao-banchameku	ブアカーオ・バンチャメーク	2006-05-26	Le Grand Tournoi Final of The Gladiators	ムラッド・サリ	5R終了 判定ドロー	Wikipedia(その他団体)
gaogurai-gennorashin	ガオグライ・ゲーンノラシン	2009-10-16	RETURN OF GLADIATORS	エミール・ゾーライ	3R終了 判定	Wikipedia(その他団体)
anatori-nosuirefu	アナトリー・ノスイレフ	2009-04-11	Gladiators Night 9	デビッド・マシャード	KO	Wikipedia(その他団体)
yoshimoto-kouji	吉本光志	2014-06-07	WKN GLADIATOR 8	ダニエル“THE JET”ザハラ	3R 判定	Wikipedia(その他団体)
geri-gudoriji	ゲーリー・グッドリッジ	2008-08-16	日韓親善国際格闘技大会 GLADIATOR	天田ヒロミ	3R終了 判定0-3	Wikipedia(その他団体)
anpo-riku	安保 璃紅	2013-05-26	GLADIATOR 56	朝飛拓斗	1R 0:50 TKO	Wikipedia(その他団体)
domajofu-osutajiku	ドマジョフ・オスタジック	2008-04-19	WFC 5: Noc Gladiatora III	ジャスコ・ボティック	KO	Wikipedia(その他団体)
arao-yuta	荒尾 祐太	2026-07-20	GLADIATOR KICK 001	チェ・チャンヒョン	3R 判定 ※OFGマッチ	SHOOT BOXING
arao-yuta	荒尾 祐太	2025-11-30	GLADIATOR 033	ペ・ジョンフン	3R 判定	SHOOT BOXING
arao-yuta	荒尾 祐太	2025-09-21	GLADIATOR 032 in OSAKA	ハンセン玲雄	3R 判定 ※OFGマッチ	SHOOT BOXING
arao-yuta	荒尾 祐太	2025-06-08	GLADIATOR 031	イ・スンウク	TKO 1R ※OFGマッチ	SHOOT BOXING
arao-yuta	荒尾 祐太	2025-04-06	GLADIATOR 030	キム・フェグン	3R 判定 ※OFGマッチ	SHOOT BOXING
jieromu-re-banna	ジェロム・レ・バンナ	2011-12-30	Gladiator's War - Le Banner Tour 1st Fight	アンドレイ・キルサノフ	3R KO(左ミドルキック)	Wikipedia(その他団体)
yokoyama-shingo	横山伸吾	2011-01-30	GLADIATOR 13	藤田克利	2R 2:49 TKO(ドクターストップ)	Wikipedia(その他団体)
yokoyama-shingo	横山伸吾	2010-04-25	GLADIATOR 6	蔦英之	2R 1:55 TKO(タオル投入)	Wikipedia(その他団体)
takayama-atsushi-2	髙山 敦	2026-07-20	GLADIATOR KICK 001	拳徳	4R 判定	SHOOT BOXING
amada-hiromi	天田ヒロミ	2008-08-16	日韓親善国際格闘技大会 GLADIATOR	ゲーリー・グッドリッジ	3R終了 判定3-0	Wikipedia(その他団体)
berunaru-aka	ベルナール・アッカ	2008-08-16	日韓親善国際格闘技大会 GLADIATOR	高森啓吾	1R 1:36 KO（左フック）	Wikipedia(その他団体)
noda-mitsugu	野田貢	2009-11-03	日韓親善国際格闘技大会 GLADIATOR 岡山大会	桜木裕司	1R KO	Wikipedia(その他団体)
miyo-yoshida	吉田実代	2013-09-01	GLADIATOR in 鹿児島 2013	ジャン・ウンジョン	2R TKO	Wikipedia(その他団体)
igoru-yurukobichi	イゴール・ユルコビッチ	2007-03-16	NOC Gladiators	マリオ・ミロサフリエビッチ	1R KO（右ハイキック）	Wikipedia(その他団体)
ishiguro-tatsuya	石黒竜也	2010-07-24	GLADIATOR 8	ハン・スーファン	2R 0:22 KO（右ローキック）	Wikipedia(その他団体)
