slug	name	date	event	opponent	methodRaw	promotion
garyuu-shingo	我龍真吾	2010-11-07	GRACHAN V	藤井英人	1R 2:27 KO（パンチ連打）	Wikipedia(その他団体)
maiku-jo	MIKE JOE	2014-11-10	GRACHAN11	小泉 竜	引分	Bigbang
maiku-jo	MIKE JOE	2014-02-11	GRACHAN12	楢崎 リッキー	KO	Bigbang
maiku-jo	MIKE JOE	2013-04-29	GRACHAN9	木村 康人	判定	Bigbang
satachi-jun	佐達 淳	2015-06-21	GRACHAN 17	ジョージ	3R 判定	SHOOT BOXING
takei-yoshiki	武居 由樹	2016-10-10	GRACHAN25×BFC vol.2	伊藤佑一郎	3分3R終了 判定3-0	Wikipedia(その他団体)
yokoyama-shingo	横山伸吾	2009-11-29	GRACHAN Ⅲ	藤井英人	4R 2:20 TKO	Wikipedia(その他団体)
yokoyama-shingo	横山伸吾	2009-07-12	GRACHAN II	TAICHI	1R 2:33 KO(膝蹴り連打)	Wikipedia(その他団体)
yokoyama-shingo	横山伸吾	2008-12-14	GRACHAN	神谷勲	2R 1:13 KO(2ノックダウン：パンチ連打)	Wikipedia(その他団体)
yokoyama-shingo	横山伸吾	2008-12-14	GRACHAN	ソ・ドンフム	1R 1:43 TKO(レフェリーストップ)	Wikipedia(その他団体)
joji	ジョージ	2016-05-14	GRACHAN29	高橋 孝徳	判定	Bigbang
joji	ジョージ	2014-04-27	GRACHAN13	小泉 竜	判定	Bigbang
