slug	name	date	event	opponent	methodRaw	promotion
ドン・中矢・ニールセン	ドン・中矢・ニールセン	1990-06-30	全日本キックボクシング　INSPIRING WARS “HEAT630”	佐竹雅昭	1R 2:07 KO	Wikipedia(その他団体)
arekusu-robatsu	アレックス・ロバーツ	2014-06-08	HEAT「HEAT 32」	プリンス・アリ	判定3-0	Wikipedia(その他団体)
arekusu-robatsu	アレックス・ロバーツ	2007-11-25	HEAT 5	富平辰文	3R終了 判定3-0	Wikipedia(その他団体)
arekusu-robatsu	アレックス・ロバーツ	2007-08-11	HEAT 4 〜MEGA BATTLE HEAT from NAGOYA〜	ミスター神風	2R 2:34 KO（左ハイキック）	Wikipedia(その他団体)
ooishi-shunsuke	大石駿介	2008-03-30	HEAT 6	KING皇兵	3R終了 判定1-2	Wikipedia(その他団体)
ooishi-shunsuke	大石駿介	2007-11-25	HEAT 5	ダニロ・ザノリニ	3R終了 判定0-2	Wikipedia(その他団体)
nikorasu-petasu	ニコラス・ペタス	2006-09-23	HEAT 2nd	恩田剛徳	2R 1:00 TKO（タオル投入）	Wikipedia(その他団体)
kazuhito	一仁	2024-04-27	HEAT 53	大我	3R 判定	RISE
garyuu-shingo	我龍真吾	2010-03-14	HEAT 13	松本勇三	2R 2:32 TKO（タオル投入）	Wikipedia(その他団体)
garyuu-shingo	我龍真吾	2009-11-01	HEAT 12	内山政人	2R 1:21 負傷判定0-3	Wikipedia(その他団体)
garyuu-shingo	我龍真吾	2009-09-26	HEAT 11	ダニロ・ザノリニ	3R終了 判定0-3	Wikipedia(その他団体)
roido-van-damu	ロイド・ヴァン・ダム	2007-08-11	HEAT 4	野地竜太	3R終了 判定3-0	Wikipedia(その他団体)
fujimoto-yuusuke	藤本祐介	2000-11-19	K-1 U.K. Global Heat	リッキー・ニッケルソン	2R 0:33 KO（右フック）	K-1 / Krush / Krush-EX
yuto-nomura	野村勇人	2025-05-24	HEAT 56 in VIETNAM	PHAN TRONG QUY	TKO 2R	SHOOT BOXING
pita-sumito	ピーター・スミット	1990-06-30	全日本キックボクシング連盟 「INSPIRING WARS-HEAT630」	ロブ・カーマン	10R 2:09　KO（右ストレート）	全日本キックボクシング連盟
takigawa-ryou	瀧川リョウ	2012-11-18	HEAT 25	プリンス・アリ	1R 3:08 KO（右ストレート）	Wikipedia(その他団体)
robu-kaman	ロブ・カーマン	1990-09-28	INSPIRING WARS HEAT 928 IN BUDOKAN	西良典	1R 1:51　KO（右ロングフック）	Wikipedia(その他団体)
robu-kaman	ロブ・カーマン	1990-06-30	INSPIRING WARS-HEAT630WKA世界ジュニアライトヘビー級タイトルマッチ	ピーター・スミット	10R 2:09　KO（右ストレート）	Wikipedia(その他団体)
robu-kaman	ロブ・カーマン	1990-03-31	INSPIRING WARS SECOND	ドミニク・シーグラー	1R 2:21　KO（右ローキック）	Wikipedia(その他団体)
nobu-hayashi	ノブ・ハヤシ	2000-11-19	K-1 UK Global Heat	ジョン・ワイアット	判定ドロー	K-1 / Krush / Krush-EX
morisu-sumisu	モーリス・スミス	1990-11-23	全日本キックボクシング連盟 "INSPIRING WARS-THIRD"	フォレスト・バロウスキー	1R 0:20　TKO（ドクターストップ：右目上裂傷）	全日本キックボクシング連盟
morisu-sumisu	モーリス・スミス	1990-09-28	全日本キックボクシング連盟 "Inspiring Wars Heat-928"	フロイド・ブラウン	5R終了　判定	全日本キックボクシング連盟
morisu-sumisu	モーリス・スミス	1990-01-20	全日本キックボクシング連盟 "Inspiring Wars" 1	ケビン・ローズイヤー	2R　KO	全日本キックボクシング連盟
keito-naito	内藤啓人	2021-10-17	HEAT 49	片島 聡志	3R 判定	SHOOT BOXING
satou-yoshihiro	佐藤嘉洋	2003-06-20	全日本キックボクシング連盟「DEAD HEAT」	クリス・ファン・ベンローイ	5R終了 判定3-0	全日本キックボクシング連盟
shion-masaki	正木翔夢	2025-09-20	HEAT 57	新美豪毅	1R KO	RISE
satake-masaaki	佐竹雅昭	1990-06-30	全日本キックボクシング連盟「INSPIRING WARS HEAT」	ドン・中矢・ニールセン	1R 2:07 KO（頭突き→右ストレート）	全日本キックボクシング連盟
