count	event
200	(null)
86	ルンピニー・スタジアム
67	ラジャダムナン・スタジアム
60	IT'S SHOWTIME
48	KINGS OSAKA
46	“K-1冬のビッグマッチ 第1弾 横浜”「K-1 WORLD GP 2019 JAPAN ~よこはまつり~」
45	ECO信頼サービス株式会社 presents K-1 DONTAKU
43	ECO信頼サービス株式会社 PRESENTS K-1 WORLD GP 2022 JAPAN~K-1フェザー級世界最強決定トーナメント~
43	TRHD presents K-1 WORLD MAX
43	AZABU presents K-1 WORLD MAX 2024
43	MAROOMS presents KNOCK OUT.60 ～K.O CLIMAX 2025～
41	AZABU PRESENTS K-1 WORLD GP 2023~スーパー・ウェルター級&女子フライ級ダブルタイトルマッチ~
39	Beast of the East
38	ECO信頼サービス株式会社PRESENTS K-1 DONTAKU 2026
38	MAROOMS presents KNOCK OUT CARNIVAL 2024 SUPER BOUT “BLAZE”
38	THE KNOCK OUT
38	NO KICK NO LIFE
37	AZABU PRESENTS K-1 WORLD GP 2023~初代ミドル級王座決定トーナメント~
37	“K-1冬のビッグマッチ 第2弾 名古屋”「K-1 WORLD GP 2019 JAPAN~初代女子フライ級王座決定トーナメント&スーパー・ライト級タイトルマッチ~」
36	REMY presents KNOCK OUT.65 ～THE KNOCK OUT 2026～
36	It's Showtime
36	不明
35	Fight Club Arbat
34	REMY presents KNOCK OUT.63 KNOCK OUT SPRING FES in OKINAWA
34	K.O CLIMAX 2024
34	REMY presents KNOCK OUT.67 ～KNOCK OUT SUMMER JAM in OSAKA～
32	MAROOMS presents KNOCK OUT 2023 SUPER BOUT “BLAZE”
31	ECO信頼サービス株式会社 PRESENTS K-1 WORLD GP 2021 JAPAN ~K-1ライト級タイトルマッチ~
31	Jawin presents Krush Grand Prix 2013 ~-67kg級初代王座決定トーナメント~
30	KROSS×OVER.29 -2024 CLIMAX-
29	Yogibo presents THE MATCH 2022
27	ReBOOT~K-1 ReBIRTH~
27	RISE WEST ZERO
26	ECO信頼サービス株式会社 PRESENTS K-1 WORLD GP 2020 JAPAN~K-1九州初上陸~
26	MAROOMS presents KNOCK OUT 2024 vol.3
26	電工ナビ presents RISE FireBall NAGOYA
26	MAROOMS presents KNOCK OUT 2023 vol.6
25	KROSS×OVER.30
25	MAROOMS presents KNOCK OUT.62
24	“アロマ空間Halu presents”Krush.168 ~in NAGOYA~
24	MAROOMS presents KNOCK OUT.64
24	MAROOMS presents KNOCK OUT 2025 vol.3
24	BODYMAKER presents Krush.31 ~in HIROSHIMA~
23	MAROOMS presents KNOCK OUT 2023 vol.5 “RED ZONE”
23	MAROOMS presents KNOCK OUT.57
23	AZABU PRESENTS Krush.151
22	MAROOMS presents KNOCK OUT 2024 vol.5
22	MAROOMS presents KNOCK OUT.61
22	IBGメディア presents RISE186-RISE 22th Memorial event-
22	シュートボクシング
21	MAROOMS presents KNOCK OUT 2024 vol.2
21	KROSS×OVER.35 新宿FACE大会
21	MAROOMS presents KNOCK OUT.55
20	MAROOMS presents KNOCK OUT 2024 vol.6
20	PURE BIOKEYZ presents KNOCK OUT 2024 vol.1
20	『KROSS×OVER.27』公式記録
20	RISE WEST.19
20	MAROOMS presents KNOCK OUT.66
20	AZABU PRESENTS Krush.150
20	MAROOMS presents KNOCK OUT.58
20	MAROOMS presents KNOCK OUT.56 ～NEW BEGINNING～
20	MAROOMS presents KNOCK OUT 2024 vol.4
20	KHAOS.8
20	MAROOMS presents KNOCK OUT 2025 vol.2
19	MAROOMS presents KNOCK OUT 2023 vol.3
19	crowdbasket presents RISE194
19	RISE ZERO
18	株式会社シマジュー Presents Krush-EX 2023 vol.4 in FUKUOKA
18	RISE WEST.21
18	RISE WEST.20
18	DUAL Presents Krush~RING OF VENUS~
18	THE KNOCK OUT FIGHTER / KNOCK OUT REBELS SERIES. 2
18	KROSS×OVER 15
18	RISE WEST.27
18	KHAOS.11
18	MAROOMS presents KNOCK OUT.59
18	MAROOMS presents KNOCK OUT 2022 vol.8
18	MAROOMS presents KNOCK OUT 2023 vol.2
18	MAROOMS presents KNOCK OUT 2023 vol.1
17	KROSS×OVER.31 -SHINJUKU FACE 20th Anniversary-
17	KHAOS.2
17	KROSS×OVER.28 新宿FACE
17	KROSSxOVER-CAGE.3
17	NEW JAPAN BLOOD 4【Muay Thai Open 16】
17	KHAOS.1
17	KHAOS.5
17	KHAOS.4
17	MAROOMS presents KNOCK OUT 2025 vol.1
16	KROSS×OVER.33
16	KROSS×OVER 18
16	RISE WEST.22
16	Rajadamnern World Series
16	サイクリー PRESENTS Krush-EX 2022 vol.5
16	RISE WEST.26
16	KROSS×OVER 19
16	THE KNOCK OUT FIGHTER.6
16	RISE WEST.25
16	KHAOS.6
16	武林風
16	MAROOMS presents KNOCK OUT 2022 vol.7
15	KROSS×OVER.32
15	KROSS×OVER 17
15	サイクリー PRESENTS Krush-EX 2022 vol.8
15	RISE WEST.18
15	KHAOS.3
15	【KROSS×OVER.36】試合結果&レポート
14	サイクリー PRESENTS Krush-EX 2022 vol.7
14	KHAOS.10
14	サイクリー PRESENTS Krush-EX 2022 vol.1
14	REBELS
14	FIGHT CLUB
14	SACRED FORCE presents KNOCK OUT 2021 vol.5
14	RISE WEST.29
14	RISE WEST.24
14	MAROOMS presents KNOCK OUT-EX 2024 vol.1
14	サイクリー PRESENTS Krush-EX 2022 vol.3
14	KROSS×OVER 20 ５周年記念-BATTLE OF THE NEW ERA-
14	KROSS×OVER 16
14	SuperLeague Elimination 2006
14	KHAOS.7
14	KROSS×OVER 14
14	MAROOMS presents KNOCK OUT 2023 vol.4
14	ルンピニースタジアム
14	RISE WEST.30
13	Steko's Fight Night
13	SuperLeague Tournament Turkey 2005
13	DREAM.18 & GLORY 4 〜大晦日 SPECIAL 2012〜
13	RISE GIRLS POWER.5
13	KICK TO THE FUTURE 6
13	KICK TO THE FUTURE 2
13	KINGS NAGOYA4
13	KINGS OSAKA7
13	KINGS KYOTO13
13	KROSSxOVER KICK -60kg次期王座挑戦者決定戦
13	KING OF KINGS TOUITSU in KOBE
13	KHAOS.9
13	Thai Fight
13	ＤＥＥＰ☆ＫＩＣＫ38
13	KROSS×OVER 12
12	サイクリー PRESENTS Krush-EX 2022 vol.4
12	RISE WEST.23
12	RISE WEST.31
12	ONE SAMURAI 1
12	KINGS NAGOYA18
12	MAROOMS presents KNOCK OUT-EX 2023 vol.1
12	Kings of the Ring
12	KROSSxOVER-CAGE.8
12	4月14日 GODDESS OF VICTORY Ⅱ 試合結果
12	KINGS OSAKA4
12	MAGNUM 29 結果
12	SACRED FORCE presents KNOCK OUT-EX 2021 vol.1 2021年04月04日（日）
12	R.I.S.E. DEAD or ALIVE TOURNAMENT '06
12	ROAD TO REAL KING 7【GO FOR BROKE】
12	KINGS NAGOYA17
12	RISE WEST.28
12	ニュージャパンキックボクシング連盟
11	KROSS×OVER CAGE.6 KICK PART・MMA PART
11	KINGS KYOTO5
11	KINGS NAGOYA3
11	11月21日 岡山 NJKF拳之会主催興行17th NJKF2021 west 4th 結果＆レポート
11	IT'S SHOWTIME Finale Trophy Max 75
11	Hoost Cup KINGS ROAD -京都！王者への道-
11	The Path to the World Champion ～WBCムエタイ世界王者への道～
11	オランダ
11	KINGS NAGOYA2
11	SuperLeague Germany 2005
11	11月19日 岡山 NJKF2023 west 5th 試合結果
11	SuperLeague Netherlands 2003
11	KICK TO THE FUTURE 9
11	KROSS×OVER.23
11	R.I.S.E. 51
11	2月12日 NJKF2023 west 1st 試合結果
11	R.I.S.E. DEAD OR ALIVE TOURNAMENT '07
11	R.I.S.E. DEAD or ALIVE Tournament '04
11	RISE FIGHT CLUB
11	NEW JAPAN BLOOD 1
11	KINGS KYOTO9〜REVERSAL〜
11	FIGHT CLUB.2
11	KROSS×OVER EXTRA.6＆MUAYTHAI FESTA
11	ラジャダムナンスタジアム
11	戦極 Soul of Fight
11	KICK TO THE FUTURE 3
10	KINGS NAGOYA19
10	RIZIN.16
10	Muay Thai Open 23
10	Muay Thai Open 22
10	KROSS×OVER.26 新宿FACE 1部・2部
10	KINGS KYOTO4〜闘志伝承〜
10	KINGS WEST2〜浪速の乱〜
10	ONE 173
10	KINGS NAGOYA7
10	KINGS NAGOYA6
10	KINGS NAGOYA5
10	STAND FIGHTING NETWORK「K-ING」2017年5月28日名古屋国際会議場イべントホール
10	KINGS NAGOYA
10	REBELS.13
10	KROSS×OVER 11
10	SACRED FORCE presents KNOCK OUT-EX 2021 vol.2
10	KINGS KYOTO10
10	RISE on ABEMA
10	熱風 零七 ～桜井洋平FINAL～
10	熱風 零四
10	KROSS×OVER 10
10	NEW JAPAN BLOOD 3
10	SuperLeague Germany 2003
10	Fighting European Tour
10	WBKF Europe Tournament (+93kg) @ Club Arbat
10	SACRED FORCE presents KNOCK OUT-EX 2021 vol.4 ～BLACK FIGHT～
10	GLORY 13 TOKYO
9	R.I.S.E. FIREBALL 1
9	KROSS×OVER -CAGE.8- GENスポーツパレス大会
9	KINGS NAGOYA15
9	湘南美容クリニック presents RIZIN.34
9	KROSS×OVER.24 -2023 CLIMAX-
9	RISE WEST ZERO｜
9	7月3日 DUEL 24 試合結果
9	KINGS KYOTO2〜英雄凱旋〜
9	ONE SAMURAI 2
9	Tough is Not Enough
9	SuperLeague Apocalypse 2006
9	SuperLeague Hungary
9	SuperLeague Austria 2005
9	NJKF拳之会主催興行23rd ～NJKF2024 west 5th ～
9	3月26日 GODDESS OF VICTORY 試合結果
9	ROAD TO REAL KING 13【Muay Thai Open 9】
9	ROAD TO REAL KING 6
9	KINGS OSAKA6
9	KROSSxOVER.22
9	NKジム／テツジム2部主催興行
9	ムエローク Japan 2009 〜最大最強のムエタイ祭り〜
9	R.I.S.E. G-BAZOOKA TOURNAMENT '05
9	ZーⅢCarnival 必勝シリーズvol.3
9	RISE on ABEMA 2021
9	R.I.S.E. VII
9	THE PATH TO THE WORLD CHAMPION 2011
9	SACRED FORCE presents KNOCK OUT-EX 2022 vol.1
9	KINGS KYOTO11
9	KINGS NAGOYA11
9	RISE WEST.17
9	KINGS KYOTO14
9	BLADE.2 -BLADE FIGTHING CHAMPIONSHIP- BLADE FC JAPAN CUP -55kg
9	WBKF Tournament (+93kg) @ Club Arbat
9	Yogibo presents RIZIN.29
8	RIZIN LANDMARK 8 in SAGA
8	NEW JAPAN BLOOD 10
8	全日本キックボクシング連盟「MOVING」
8	爆発シリーズvol.2
8	Dynamite!! 〜勇気のチカラ2008〜
8	Janus Fight Night 2007
8	Lumpinee Stadium
8	熱風 零弐【Muay Thai Open 11】
8	R.I.S.E. G-BAZOOKA TOURNAMENT '06
8	KAKUMEI KICKBOXING
8	全日本キックボクシング連盟「野良犬電撃作戦」
8	Champions of Champions 2
8	GLORY 11: A Decade of Fights
8	Amsterdam Fight Club
8	SuperLeague Italy 2004
8	NEW JAPAN BLOOD 7
8	交戦シリーズvlo.3
8	全日本キックボクシング連盟「浪漫」 Kick Return Kickboxer of the best 60 Tournament 〜決勝戦〜
8	RISE GIRLS POWER.4
8	RISE GIRLS POWER
8	にゃんこ大戦争 presents KNOCK OUT MX LIVE
8	It's Showtime 2010 Amsterdam
8	REBELS.9
8	STRIKE NEXUS 04
8	全日本キックボクシング連盟
8	KINGS KYOTO7
8	KICK TO THE FUTURE 1
8	ROAD TO REAL KING 3
8	KT Kickboxing Tournament
8	後楽園ホール
8	KROSSxOVER.25
8	KINGS KYOTO８
8	Road to GLORY JAPAN -65kg SLAM
8	タイ
8	一撃 2.22 ICHIGEKI
8	Muay Thai Open 17
8	U-NEXT presents THE KNOCK OUT FIGHTER.7
8	IKUSA GP -U60 SUPERSTAR☆Z TOURNAMENT -FINAL STAGE-
8	絆 Ⅷ
8	熱風 零八【Muay Thai Open 13】
8	RIZIN.43
8	掣圏道 SWAアルティメットボクシング
8	Gentlemen Fight Night
8	European Championships 2004
8	KINGS NAGOYA12
8	FIGHT FOR JAPAN K-1 WORLD MAX 2011 -70kg Japan Tournament FINAL
8	全日本キック
7	ROAD TO REAL KING 14
7	必勝シリーズFINAL
7	RIZIN LANDMARK 9 in KOBE
7	DUEL.7
7	K-1甲子園 KING OF UNDER 18 〜FINAL16〜
7	全日本キックボクシング連盟「New Year Kick Festival 2008」
7	THAI FIGHT EXTREME JAPAN
7	IT'S SHOWTIME（K-1 WORLD GP 2008 IN AMSTERDAM）
7	Janus Fight Night 2006
7	KROSS×OVER.22
7	マーシャルアーツ日本キックボクシング連盟
7	全日本キックボクシング連盟「GOLDEN TRIGGER」
7	MAGNUM41☆試合結果速報
7	Hoost Cup KINGS KYOTO 〜MAMIYA祭り！意志を継ぐ者へ〜
7	武林風 2014
7	KINGS NAGOYA9
7	12月8日 DUEL.32 試合結果
7	SuperLeague Switzerland 2004
7	KINGS NAGOYA14
7	Z-Ⅳ Carnival YOUNG FIGHT 喝采シリーズvol.4
7	RIZIN.41
7	12月14日(日) WORLD ROAD 試合結果
7	KROSS×OVER.24 -2023 CLIMAX
7	RISE WEST.14
7	R.I.S.E. DEAD OR ALIVE TOURNAMENT '05
7	Balans Fight Night
7	STRIKE NEXUS 05
7	CENTRAL KICK Vol.1
7	BLADE 1-BLADE FIGHTING CHAMPIONSHIP-BLADE FC JAPAN -61kg
7	Muay Thai Open 19
7	Muay Thai Open 18
7	熱風 拾
7	ROAD TO REAL KING 11
7	KINGS NAGOYA16
7	Muay Thai Open 20
7	It's Showtime 2009 Amsterdam
7	SuperLeague Netherlands 2004
7	8月11日 絆 XIV 試合結果
7	RIZIN LANDMARK 11 in SAPPORO
7	10月13日 DUEL.31 試合結果
7	西日本豪雨被害チャリティーHOOST CUP KINGS EHIME〜四国合戦〜
7	KINGS NAGOYA10
7	KINGS KYOTO12
7	K-2 GRAND PRIX '93
7	KING OF KNOCK OUT 2018
7	DUEL.17
7	RWS
7	DUEL.18
7	全日本キックボクシング連盟「Brandnew Fight」
7	KROSS×OVER.27
7	11月30日(日) Challnger11 試合結果
7	REBELS.10
7	SuperLeague Austria
7	GLORY 8 TOKYO
7	MA日本キックボクシング連盟
7	第一回国際親善大会KICK BOXING WORLD CUP in JAPAN/TOKYO
7	16th World Kickboxing Championships
7	必勝シリーズvol.6
7	REBELS.15
6	爆発シリーズvol.1
6	冠鷲シリーズvol.2
6	絆 Ⅱ
6	RIZIN.21
6	KINGS KYOTO3
6	全日本キックボクシング連盟「REARM」
6	全日本キックボクシング連盟「Departure 〜野良犬FINAL〜」
6	KROSS×OVER CAGE.5 KICK・MMA PART
6	RWEDDINGS presents RIZIN.12
6	K-1甲子園 〜FINAL 16
6	全日本キックボクシング連盟「Road to 70's」
6	全日本キックボクシング連盟「Super Fight 2007」
6	REBELS.8 & IT’S SHOWTIME JAPAN countdown-1
6	Muay Thai Open 14
6	ROAD TO REAL KING 15【Muay Thai Open 10】
6	10月16日 DUEL.25 試合結果
6	全日本キックボクシング連盟「全日本ライト級最強決定トーナメント2004 FINAL STAGE」
6	全日本キックボクシング連盟「Wilderness」
6	全日本キックボクシング連盟「KICK OUT」
6	NEXUS MANIA 2024
6	KROSS×OVER 4
6	KROSS×OVER 3
6	It's Showtime presents: Fights at the Border
6	KO World Series
6	Gentleman Fight Night IV
6	2 Hot 2 Handle
6	SuperLeague Germany 2004
6	【KROSS×OVER-EXTRA.7】試合結果&レポート
6	D.ダイバー presents THE KNOCK OUT FIGHTER
6	XPLOSION SUPER FIGHT 2004 〜K-1 CHALLENGE〜
6	BORDERKICKBOXING
6	Night of Thunderman 3
6	KINGS KYOTO15
6	熱風 零参
6	熱風 零壱
6	8/8 Stand upプロフェッショナルvol.3
6	NJKF川崎、初見参！5大タイトルマッチ！
6	R.I.S.E. 46 〜THE KING OF GLADIATORs '08〜
6	R.I.S.E. FLASH to CRUSH TOURNAMENT '06
6	Dynamite!! 〜勇気のチカラ2009〜
6	全日本キックボクシング連盟「WAVE-XIII」
6	RISE GIRLS POWER.2
6	Local Kombat 31
6	Iron Challenge
6	Yogibo presents RIZIN.25
6	R.I.S.E. 48 〜THE KING OF GLADIATORs '08〜
6	REBELS.60
6	REBELS.18
6	SuperLeague Portugal
6	4月24日 絆・XIII 試合結果
6	RIZIN.19
6	RDF Dodge Trophy
6	KROSS×OVER -EXTRA.2-＆Level-G zero
6	REBELS.65
6	4月21日 NJKF2024 west 2nd 試合結果
6	KICK TO THE FUTURE 4
6	DUEL.12
6	全日本キックボクシング連盟「STRAIGHT」
6	全日本キックボクシング連盟「Fire Wire」
6	Tournament "Cup of Gold Bars" (over 91 kg)
6	爆発シリーズvol.5
6	DREAM.18 & GLORY 4
6	Muay Thai Open 26
6	HOOST CUP KINGS KYOTO 11
6	TITANS NEOS 20 2016・9・18（日）後楽園ホール
6	REBELS.6
6	IGOSSO REBORN 2014
6	全日本キックボクシング連盟「New Year Kick Festival 2006」
6	全日本キックボクシング連盟「全日本ライト級最強決定トーナメント 〜決勝戦〜」
6	全日本キックボクシング連盟「全日本ライト級最強決定トーナメント」
6	全日本キックボクシング連盟「DEAD HEAT」
6	RISE Fight Party
6	4th Busan TAFISA World Games
6	9月3日 NJKF2023 west 4th 試合結果
6	絆 Ⅶ
6	K.O CLIMAX 2019 SUMMER KICK FEVER
6	REBELS.46
6	全日本キックボクシング連盟「Spring Storm」
6	RIZIN.50
6	野獣シリーズFINAL
6	IFMA World Championship
6	全日本キックボクシング連盟「LEGEND-X」
6	全日本キックボクシング連盟「LEGEND-VIII」
6	RISE WEST.16
6	M-1 FAIRTEX SINGHA BEER ムエタイチャレンジ 2009 Yod Nak Suu vol.2
6	JAPAN KICKBOXING INNOVATION 認定 第8回 岡山ジム主催興行
6	MA日本キック
6	KROSS×OVER -EXTRA.3-
6	KROSS×OVER 21
6	Arbat
5	全日本キックボクシング連盟「CROSS FIRE-II」
5	Wolf Revolution 〜Second Wave〜
5	SACRED FORCE presents KNOCK OUT-EX 2021 vol.3 ～RED FIGHT～
5	必勝シリーズvol.2
5	全日本キックボクシング連盟「Fujiwara Festival 〜藤原祭り2008〜」
5	全日本キックボクシング連盟「Reverse×Rebirth」
5	Survivor 〜Round.2〜
5	全日本キックボクシング連盟「New Year Kick Festival 2009」
5	SUPER MUAY
5	Oktagon presents: It's Showtime 2009
5	拳心館主催興行 喝采シリーズvol.5
5	ONE 172: 武尊 VS ロッタン
5	ONE Friday Fights 81: Superbon vs. Nattawut
5	全日本キックボクシング連盟「NEVER GIVE UP」
5	マーシャルアーツ日本キックボクシング連盟「MILLENNIUM CHAMPION CARNIVAL」
5	KICK Insist12
5	K.O CLIMAX 2019
5	喝采シリーズvol.1
5	KROSS×OVER 2
5	2H2H
5	It's Showtime（K-1 WORLD GP 2006 in AMSTERDAM）
5	KICK Insist17
5	全日本キックボクシング連盟「野良犬電撃作戦2009」
5	拳心館主催興行 野獣シリーズvol.4
5	DUEL.10
5	RISE WEST.15
5	S-BATTLE NEXT HEROS 2025
5	全日本キックボクシング連盟「New Year Kick Festival 2007」
5	全日本キックボクシング連盟「SWORD FIGHT 2006」
5	Road to KING３
5	全日本キックボクシング連盟「New Deal」
5	entryBody">TITANS NEOS 25
5	Fujiwara Festival 〜藤原祭り2010〜
5	M-1 RAJA BOXING SINGHA BEER ムエタイチャレンジ「NAI KANOMTOM vol.2」
5	全日本キックボクシング連盟「Fujiwara Festival 〜藤原祭り2004〜」
5	Kushima's Fight 7 拳神伝 〜プロキックボクシングトーナメント〜
5	REBELS.14
5	ミネルヴァ
5	Fights at the Border IV
5	Mugendo World Grand Prix
5	R.I.S.E. -β- "L7"
5	R.I.S.E. FLASH to CRUSH TOURNAMENT '07
5	5月15日 岡山 NJKF2022 west 2nd 試合結果
5	STRIKE NEXUS 06
5	Fighting NEXUS Strike up vol.0
5	野獣シリーズvol.2
5	喝釆シリーズFINAL
5	一撃 8.10 ICHIGEKI
5	KROSS×OVER-CAGE.2-
5	Local Kombat 30
5	Local Kombat 28
5	STRIKE NEXUS 03
5	KINGS OSAKA5
5	Road to GLORY JAPAN
5	ニュージャパンキックボクシング連盟「START OF NEW LEGEND XIII 〜新しい伝説の始まり〜」
5	IT’S SHOWTIME JAPAN countdown-2
5	BOM-ouroboros 2021-
5	KROSS×OVER 1
5	ジャパンキックボクシング協会 プレ旗揚げ戦 ＫＩＣＫ ＯＲＩGＩＮ
5	CHAKURIKI 15 帰ってきた藤原祭
5	絆 Ⅹ
5	NEW JAPAN BLOOD 6
5	Noc Bojovnikov 5
5	Heaven or Hell 5
5	ミネルヴァ：GODDESS OF VICTORY
5	Masters Fight Night
5	ラジャダムナン
5	ROAD TO REAL KING 5【Muay Thai Open 7】
5	4月24日 岡山NJKF拳之会主催興行16th～ NJKF2021 west 2nd ～結果＆レポート
5	DUEL.11
5	KROSS×OVER 5
5	K-2 France Grand Prix 1995
5	KROSS×OVER-EXTRA.4-
5	大阪府立第2体育館
5	全日本キックボクシング連盟「Kick On!」
5	11月13日 NJKF2022 4th 試合結果
5	NJKF王者たちよ。俺か？おまえ達か？”真の主役”は誰だ？！
5	絆 Ⅺ
5	ルンピニスタジアム
5	GOAT
5	3A-LIFE presents RISE121
5	オーストラリア
5	KROSS×OVER-CAGE.3
5	KROSS×OVER -CAGE- GENスポーツパレス大会
5	全日本キックボクシング連盟「KNOCK DOWN」
5	DUEL.15
5	ONE Friday Fights 138
5	全日本キックボクシング連盟「浪漫」 Kick Return Kickboxer of the best 60 Tournament 〜開幕戦〜
5	IKUSA GP -U60 SUPERSTAR☆Z TOURNAMENT -Opening Stage-
5	全日本キックボクシング連盟「RUSH!」
5	全日本キックボクシング連盟「全日本ライト級最強決定トーナメント2004 1st STAGE」
5	全日本キックボクシング連盟「HURRICANE BLOW」
5	ONE Friday Fights 59
5	M-1
5	ROAD TO REAL KING 8【Muay Thai Open 8】
5	REBELS.61
5	REBELS.38
5	REBELS.23
5	REBELS.11
5	ONE Friday Fights 53
5	KINGS KYOTO6
5	熱風 零九 Part1
5	Yogibo presents RIZIN.24
5	R.I.S.E. XII
5	全日本キックボクシング連盟「The Championship」
5	全日本キックボクシング連盟「BACK FROM HELL-II」
5	RIZIN.27
5	12月6日 NJKF2020 west Young Fight 試合結果
5	スイス
5	第9回岡山ジム主催興行 岡山ジム創設50周年記念大会
5	WKN Simply the best
5	R.I.S.E. VI
5	SuperLeague Austria 2003
5	シュートボクシング・ガールズトーナメント Girls S-cup2011
4	一撃 5.30 ICHIGEKI
4	全日本キックボクシング連盟「BLAZE UP」
4	ONE Friday Fights 144
4	スッグ・フェアテックス
4	全日本キックボクシング連盟「初代全日本スーパーウェルター級王座決定トーナメント 〜決勝戦〜」
4	全日本キックボクシング連盟「HARD BLOW」
4	DUEL.14
