slug	name	date	event	opponent	methodRaw	xref_org	xref_ruleType	xref_event	xref_opponent	xref_method	xref_heading
takumi-terada	寺田 匠	2024-02-24	RIZIN LANDMARK 8 in SAGA	冨永武聖	1R TKO	RIZIN	キックボクシング	RIZIN LANDMARK 8 in SAGA	冨永武聖	1R 1分54秒 TKO（3ノックダウン）	第1試合／寺田匠 vs. 冨永武聖
furumura-kyohei	古村 匡平	2024-02-24	RIZIN LANDMARK 8 in SAGA	REITO BRAVELY	1R 1分49秒 TKO（レフェリーストップ）	RIZIN	キックボクシング	RIZIN LANDMARK 8 in SAGA	REITO BRAVELY	1R 1分49秒 TKO（レフェリーストップ）	OPENING FIGHT 第3試合／REITO BRAVELY vs. 古村匡平
rikito	力斗	2024-02-24	RIZIN LANDMARK 8 in SAGA	般若HASHIMOTO	3R 判定（0-3）	RIZIN	キックボクシング	RIZIN LANDMARK 8 in SAGA	般若HASHIMOTO	3R 判定（0-3）	OPENING FIGHT 第2試合／般若HASHIMOTO vs. 力斗
ishigo-keito	石郷 慶人	2024-02-24	RIZIN LANDMARK 8 in SAGA	片島聡志	3R 判定（0-2）	RIZIN	キックボクシング	RIZIN LANDMARK 8 in SAGA	片島聡志	3R 判定（0-2）	OPENING FIGHT 第1試合／石郷慶人 vs. 片島聡志
reito-bravely-163	REITO BRAVELY	2024-02-24	RIZIN LANDMARK 8 in SAGA	古村匡平	1R 1分49秒 TKO（レフェリーストップ）	RIZIN	キックボクシング	RIZIN LANDMARK 8 in SAGA	古村匡平	1R 1分49秒 TKO（レフェリーストップ）	OPENING FIGHT 第3試合／REITO BRAVELY vs. 古村匡平
katashima-satoshi	片島 聡志	2024-02-24	RIZIN LANDMARK 8 in SAGA	石郷慶人	3R 判定（0-2）	RIZIN	キックボクシング	RIZIN LANDMARK 8 in SAGA	石郷慶人	3R 判定（0-2）	OPENING FIGHT 第1試合／石郷慶人 vs. 片島聡志
hannya-hashimoto	般若HASHIMOTO	2024-02-24	RIZIN LANDMARK 8 in SAGA	力斗	3R 判定（0-3）	RIZIN	キックボクシング	RIZIN LANDMARK 8 in SAGA	力斗	3R 判定（0-3）	OPENING FIGHT 第2試合／般若HASHIMOTO vs. 力斗
takekiyo-tominaga	冨永武聖	2024-02-24	RIZIN LANDMARK 8 in SAGA	寺田 匠	1R TKO	RIZIN	キックボクシング	RIZIN LANDMARK 8 in SAGA	寺田匠	1R 1分54秒 TKO（3ノックダウン）	第1試合／寺田匠 vs. 冨永武聖
taiga	大雅	2019-04-21	RIZIN.15	タリソン・ゴメス・フェレイラ	2R 2分34秒 TKO(3ノックダウン)	RIZIN	キックボクシング	RIZIN.15	タリソン・ゴメス・フェレイラ	2R 2分34秒 TKO(3ノックダウン)	第1試合
tenshin-nasukawa	那須川天心	2019-04-21	RIZIN.15	フリッツ・ビアグタン	3R KO	RIZIN	キックボクシング	RIZIN.15	フリッツ・ビアグタン	3R 1分24秒 TKO(レフェリーストップ)	第11試合
