slug	name	date	event	opponent	methodRaw	promotion
oono-takashi	大野崇	2009-11-28	ROAD TO REAL KING 14	健太	判定3-0 (30-27、30-26、30-26)	NJKF
yamato-yuuya	大和侑也	2009-11-28	ROAD TO REAL KING 14	高橋誠治	TKO 2R2分18秒	NJKF
miyakoshi-keijiro	宮越 慶二郎	2009-11-28	ROAD TO REAL KING 14	浅瀬石真司	判定3-0 (30-26、30-26、30-25)	NJKF
kenta	健太	2009-11-28	ROAD TO REAL KING 14	大野崇	判定3-0 (30-27、30-26、30-26)	NJKF
umeno-genji	梅野源治	2009-11-28	ROAD TO REAL KING 14	新人	TKO 2R1分36秒	NJKF
takahashi-seiji	高橋 誠治	2009-11-28	ROAD TO REAL KING 14	大和侑也	TKO 2R2分18秒	NJKF
kimura-takaaki	木村天鮮	2009-11-28	ROAD TO REAL KING 14	赤十字竜	判定3-0 (50-49、50-49、50-48)	NJKF
oono-takashi	大野崇	2007-04-12	R.I.S.E. FIREBALL 1	裕樹	3R終了 判定2-0	RISE
arekusu-robatsu	アレックス・ロバーツ	2007-04-12	R.I.S.E. FIREBALL 1	百瀬竜徳	1R 2:10 KO（右ハイキック）	RISE
yuki	裕樹	2007-04-12	R.I.S.E. FIREBALL 1	大野崇	3R 判定0-2	RISE
murahama-takehiro	村浜武洋	2007-04-12	R.I.S.E. FIREBALL 1	水谷秀樹	3R終了 判定0-2	RISE
momose-tatsunori	百瀬竜徳	2007-04-12	R.I.S.E. FIREBALL 1	アレックス・ロバーツ	1R 2:10 KO（右ハイキック）	RISE
kikuchi-kouichi	菊池浩一	2007-04-12	R.I.S.E. FIREBALL 1	川端健司	3R終了 判定3-0	RISE
ryuuji	龍二	2007-04-12	R.I.S.E. FIREBALL 1	磨裟留	2R 1:58 KO（3ノックダウン）	RISE
hayato	HAYATO	2007-04-12	R.I.S.E. FIREBALL 1	キム・ソンウク	3R終了 判定3-0	RISE
samukawa-naoki	寒川直喜	2007-04-12	R.I.S.E. FIREBALL 1	マグナム酒井	3R終了 判定0-1	RISE
oono-takashi	大野崇	2004-05-30	一撃 5.30 ICHIGEKI	マグナム酒井	3R終了 判定0-3	Wikipedia(その他団体)
furanshisuko-firio	フランシスコ・フィリォ	2004-05-30	一撃 5.30 ICHIGEKI	レミー・ボンヤスキー	3R終了 判定3-0	Wikipedia(その他団体)
arekisanda-pichukunofu	アレキサンダー・ピチュクノフ	2004-05-30	一撃 5.30 ICHIGEKI	セス・ペトルゼリ	2R 2:18 TKO（レフェリーストップ）	Wikipedia(その他団体)
guraube-feitoza	グラウベ・フェイトーザ	2004-05-30	一撃 5.30 ICHIGEKI	アリスター・オーフレイム	1R 2:13 KO（右アッパー）	Wikipedia(その他団体)
oono-takashi	大野崇	2003-09-14	マーシャルアーツ日本キックボクシング連盟「EXPLOSION-3 〜挑戦者決定戦最終章〜」	マグナム酒井	5R終了 判定0-2	Wikipedia(その他団体)
ootakaichirou	大高一郎	2003-09-14	マーシャルアーツ日本キックボクシング連盟「EXPLOSION-3 〜挑戦者決定戦最終章〜」	沖津伊久磨	2分4R終了 判定0-2	Wikipedia(その他団体)
mizumachi-hiroshi	水町浩	2003-09-14	マーシャルアーツ日本キックボクシング連盟「EXPLOSION-3 〜挑戦者決定戦最終章〜」	小石川勝	5R終了 判定3-0	Wikipedia(その他団体)
oono-takashi	大野崇	2002-07-21	全日本キックボクシング連盟「ALL JAPAN KICKBOXING 15th ANNIVERSARY SPECIAL BOUT -CRUSH-」	清水貴彦	5R終了 判定0-2	全日本キックボクシング連盟
nishida-kazushi	西田和嗣	2002-07-21	全日本キックボクシング連盟「ALL JAPAN KICKBOXING 15th ANNIVERSARY SPECIAL BOUT -CRUSH-」	Suzuki 3:26	1R 2:22 KO	全日本キックボクシング連盟
oono-takashi	大野崇	2001-07-22	全日本キックボクシング連盟「BLAZE UP」	新田明臣	4R 1:37 KO（左膝蹴り）	全日本キックボクシング連盟
ishikawa-naoki	石川直生	2001-07-22	全日本キックボクシング連盟「BLAZE UP」	山本元気	3R終了 判定3-0	全日本キックボクシング連盟
yamamoto-genki	山本元気	2001-07-22	全日本キックボクシング連盟「BLAZE UP」	石川直生	3R終了 判定0-3	全日本キックボクシング連盟
nita-akeomi	新田明臣	2001-07-22	全日本キックボクシング連盟「BLAZE UP」	大野崇	4R 1:37 KO（左膝蹴り）	全日本キックボクシング連盟
