count	event
80	K-1 WORLD MAX 2025
50	K-1 WORLD MAX 2024
48	K-1 WORLD GP 2020 JAPAN ~K’FESTA.3~
47	K-1 WORLD GP 2022 JAPAN ~第3代スーパー・バンタム級王座決定トーナメント~
47	K-1 WORLD GP 2018 JAPAN ~K’FESTA.1~
46	K-1 WORLD GP 2024
46	K-1 WORLD GP 2024 in TOKYO~FINAL~
45	K-1 WORLD GP 2019 JAPAN ~K’FESTA.2~
45	K-1 BEYOND
45	K-1 WORLD GP 2021 JAPAN ~K’FESTA.4 Day.2~
44	K-1 ReBIRTH2
43	K-1 WORLD GP 2026~ -90kg世界最強決定トーナメント~
43	K-1 WORLD GP 2021 JAPAN~よこはまつり~
42	K-1 WORLD GP 2022 JAPAN~初代バンタム級王座決定トーナメント~
42	K-1 WORLD GP 2021 JAPAN~スーパー・ウェルター級&フェザー級ダブルタイトルマッチ~
41	K-1 WORLD GP 2023 ~K’FESTA.6~
40	K-1 WORLD MAX 2025~-70kg世界最強決定トーナメント・開幕戦~
40	K-1 WORLD GP 2022 JAPAN~よこはまつり~
40	K-1 WORLD MAX 2025~-70kg世界最強決定トーナメント・決勝ラウンド~
39	K-1 WORLD GP 2022 JAPAN ~K’FESTA.5~
38	新日本キックボクシング協会
38	K-1 WORLD GP 2022 JAPAN ~RING OF VENUS~
38	K-1 WORLD GP 2018 JAPAN ~第2代フェザー級王座決定トーナメント~
37	K-1 WORLD GP 2017 JAPAN ~初代ヘビー級王座決定トーナメント~
37	RUF presents RISE WORLD SERIES 2023 Final Round
36	K-1 WORLD GP 2018 JAPAN ~初代クルーザー級王座決定トーナメント~
36	K-1 WORLD GP 2019 JAPAN ~K-1スーパー・バンタム級世界最強決定トーナメント~
36	K-1 WORLD GP 2021 JAPAN~K-1バンタム級日本最強決定トーナメント~
36	RISE WORLD SERIES 2024 OSAKA
36	K-1 GENKI 2026
36	K-1 WORLD MAX 2026
35	K-1 WORLD GP 2017 JAPAN ~第2代スーパー・ウェルター級王座決定トーナメント~
35	ABEMA presents RISE ELDORADO 2024
35	K-1 WORLD GP 2018 JAPAN~第3代スーパー・ライト級王座決定トーナメント~
34	ABEMA presents RISE WORLD SERIES 2023 2nd Round
34	K-1 WORLD GP 2020 JAPAN~K-1秋の大阪決戦~
34	K-1 WORLD GP 2021 JAPAN ~K’FESTA.4 Day.1~
34	RISE WORLD SERIES 2025 FINAL
33	Cygames presents RISE WORLD SERIES 2021 YOKOHAMA
33	OURO presents RISE WORLD SERIES 2025 YOKOHAMA
33	K-1 WORLD GP 2020 JAPAN~K-1冬の大一番~
33	K-1 WORLD GP 2018 JAPAN~K-1ライト級世界最強決定トーナメント~
33	K-1 WORLD GP 2015 ~-70kg初代王座決定トーナメント~
32	K-1 WORLD GP 2016 JAPAN ~初代フェザー級王座決定トーナメント~
32	Cygames presents RISE WORLD SERIES 2021 OSAKA2
32	RISE ELDORADO 2025
32	OURO presents RISE WORLD SERIES 2026 TOKYO GLORY×RISE LAST FEATHERWEIGHT STANDING TOURNAMENT Final
32	ABEMA presents RISE WORLD SERIES 2024 FINAL"GLORY RISE FEATHER WEIGHT GRAND PRIX"
32	K-1 WORLD GP 2017 JAPAN ~初代ウェルター級王座決定トーナメント~
31	RUF presents RISE WORLD SERIES 2024 YOKOHAMA
31	RISE ELDORADO 2026
31	Cygames presents RISE WORLD SERIES OSAKA 2022
31	K-1 WORLD GP 2015 ~-60kg初代王座決定トーナメント~
30	K-1 WORLD GP 2016 IN JAPAN ~スーパー・フェザー級世界最強決定トーナメント~
30	ABEMA presents RISE WORLD SERIES 2025 TOKYO
30	K-1 WORLD GP 2015 ~-55kg 初代王座決定トーナメント~
30	ABEMA presents RISE WORLD SERIES 2023 1st Round
30	K-1 WORLD GP 2016 IN JAPAN ~-60kg日本代表決定トーナメント~
30	K-1 WORLD GP 2017 JAPAN ~初代ライト級王座決定トーナメント~
29	Krush-EX
