slug	name	event	opponentName	promotion	sourceUrl	sourceType
yoshiki-2	耀織	Krush-IGNITION 2013 vol.1	林 京平	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/208	official
morita-kazumi	森田 和美	Krush-IGNITION 2013 vol.8	成沢 紀予	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/405	official
yuki-shun	ユウキ・旬	Krush-IGNITION 2013 vol.1	高橋 幸光	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/323	official
shimo	Shi-mo	Krush-EX 2014 vol.4	佐野天馬	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/132	official
shimo	Shi-mo	Krush-EX 2014 vol.3	MITSUTAKA	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/132	official
shimo	Shi-mo	Krush.22 ~in NAGOYA~	大髙 瑞基	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/132	official
takiya-shouta	瀧谷渉太	Krush-IGNITION 2013 vol.4	kazyosi	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/33	official
takiya-shouta	瀧谷渉太	Krush.22 ~in NAGOYA~	匠	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/33	official
watabe-shota	渡部 翔太	Krush YOUTH GP 2011 開幕戦I	マリモー	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/326	official
watabe-shota	渡部 翔太	Krush-EX 2011 vol.2	塚越 仁志	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/326	official
takaaki	貴章	Krush-IGNITION 2013 vol.3	林 京平	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/139	official
shota-2	翔太	Krush-EX 2014 vol.7	嶋田 将典	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/187	official
shota-2	翔太	Krush YOUTH GP 2011 開幕戦I	佐々木 大蔵	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/187	official
nadeshiko	撫子	7月3日 DUEL 24 試合結果	斎藤千種	NJKF	https://www.njkf.info/result/duel-24.html	official
nadeshiko	撫子	10月16日 DUEL.25 試合結果	ねこ太	NJKF	https://www.njkf.info/result/duel-25.html	official
nadeshiko	撫子	11月31日 DUEL.22 試合結果	斎藤千種	NJKF	https://www.njkf.info/result/duel22_result.html	official
rui-ebata	江幡 塁	MAGNUM41☆試合結果速報	ペットクラビー・ペットプームムエタイ	新日本キックボクシング協会(SNKA)	https://ameblo.jp/skb-blog/entry-12163938400.html	official
ikeno-sho	池野 翔	Krush-IGNITION 2013 vol.6	佐野天馬	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/108	official
kazuki-3	一貴	Krush-EX 2011 vol.2	晴矢	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/508	official
nagasawa-samuel-kiyomitsu	永澤サムエル聖光	MAGNUM41☆試合結果速報	勝次	新日本キックボクシング協会(SNKA)	https://ameblo.jp/skb-blog/entry-12163938400.html	official
kana-484	KANA	12月8日 DUEL.32 試合結果	DJナックルハンマーyokko	NJKF	https://www.njkf.info/result/duel32.html	official
shuri	珠璃	9月10日 DUEL.28 試合結果	RUI・JANJIRA	NJKF	https://www.njkf.info/result/duel28.html	official
yamagiwa-kazuki	山際 和希	Krush-IGNITION 2013 vol.3	塚越 仁志	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/351	official
nakano-yuki	中野 祐基	Krush.22 ~in NAGOYA~	MAN☆48	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/242	official
dynamite-takahashi-yuta	”DYNAMITE”髙橋 佑太	Krush-EX 2014 vol.7	加藤 港	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/236	official
shoko-jsk	祥子JSK	11月31日 DUEL.22 試合結果	久遠	NJKF	https://www.njkf.info/result/duel22_result.html	official
shoko-jsk	祥子JSK	12月8日 DUEL.32 試合結果	斎藤千種	NJKF	https://www.njkf.info/result/duel32.html	official
osawa-fumiya	大沢 文也	Krush YOUTH GP 2011 開幕戦I	小川 翔	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/216	official
osawa-fumiya	大沢 文也	Krush-EX 2011 vol.1	中村 圭佑	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/216	official
horio-ryuji	堀尾 竜司	Krush-IGNITION 2013 vol.6	良輝	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/78	official
horio-ryuji	堀尾 竜司	Krush-IGNITION 2013 vol.6	石田 圭祐	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/78	official
kazuhito	一仁	Krush-EX 2014 vol.3	匠	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/120	official
masumoto-shoya	桝本 翔也	Krush-EX 2014 vol.4	塙 隆雄	K-1 / Krush / Krush-EX	https://www.k-1.co.jp/fighter/188	official
