count	opponentName	classification
15	大樹	正当な未リンク(名簿に候補なし)
15	翔也	正当な未リンク(名簿に候補なし)
13	KENJI	正当な未リンク(名簿に候補なし)
12	金井健治	正当な未リンク(名簿に候補なし)
12	どん冷え貴哉	正当な未リンク(名簿に候補なし)
12	一樹	正当な未リンク(名簿に候補なし)
12	清志	正当な未リンク(名簿に候補なし)
11	悠矢	正当な未リンク(名簿に候補なし)
11	新人	判定不能(データ破損/プレースホルダ)
10	小松 貴哉	正当な未リンク(名簿に候補なし)
10	一航	正当な未リンク(名簿に候補なし)
10	迅也	正当な未リンク(名簿に候補なし)
10	グレート草津	正当な未リンク(名簿に候補なし)
9	洋輔YAMATO	正当な未リンク(名簿に候補なし)
9	大久保 峻	正当な未リンク(名簿に候補なし)
9	KING強介	正当な未リンク(名簿に候補なし)
9	アリスター・オーフレイム	正当な未リンク(名簿に候補なし)
9	前田慶次郎	正当な未リンク(名簿に候補なし)
9	sasori	正当な未リンク(名簿に候補なし)
9	笹羅歩	正当な未リンク(名簿に候補なし)
8	濱田祐生	正当な未リンク(名簿に候補なし)
8	末広智明	正当な未リンク(名簿に候補なし)
8	白神武央	正当な未リンク(名簿に候補なし)
8	FUJIMON♡	正当な未リンク(名簿に候補なし)
8	セーム・シュルト	正当な未リンク(名簿に候補なし)
8	佐藤レイナ	正当な未リンク(名簿に候補なし)
8	川端健司	正当な未リンク(名簿に候補なし)
8	中迫強	正当な未リンク(名簿に候補なし)
8	浅瀬石真司	正当な未リンク(名簿に候補なし)
8	AZU	正当な未リンク(名簿に候補なし)
8	スコット・ライティ	正当な未リンク(名簿に候補なし)
8	曙	正当な未リンク(名簿に候補なし)
8	藤本 昌大	正当な未リンク(名簿に候補なし)
8	郁弥	正当な未リンク(名簿に候補なし)
8	小嶋 瑠久	正当な未リンク(名簿に候補なし)
7	河北 光生	正当な未リンク(名簿に候補なし)
7	モトヤスック	正当な未リンク(名簿に候補なし)
7	マリモー	正当な未リンク(名簿に候補なし)
7	RISING大輝	正当な未リンク(名簿に候補なし)
7	上杉文博	正当な未リンク(名簿に候補なし)
7	大和大地	正当な未リンク(名簿に候補なし)
7	由知	正当な未リンク(名簿に候補なし)
7	ピーター・ヴァルガ	正当な未リンク(名簿に候補なし)
7	DAI	正当な未リンク(名簿に候補なし)
7	歌川暁文	正当な未リンク(名簿に候補なし)
7	MASATO	正当な未リンク(名簿に候補なし)
7	仙一	正当な未リンク(名簿に候補なし)
7	慎太郎	正当な未リンク(名簿に候補なし)
7	庄司理玖斗	正当な未リンク(名簿に候補なし)
7	真吾YAMATO	正当な未リンク(名簿に候補なし)
7	和真	正当な未リンク(名簿に候補なし)
7	凌太	正当な未リンク(名簿に候補なし)
7	岩崎 悠斗	正当な未リンク(名簿に候補なし)
7	瑠輝也	正当な未リンク(名簿に候補なし)
7	ANIMAL☆KOJI	正当な未リンク(名簿に候補なし)
7	雄一	正当な未リンク(名簿に候補なし)
7	一刀	正当な未リンク(名簿に候補なし)
7	小原俊之	正当な未リンク(名簿に候補なし)
6	龍生	正当な未リンク(名簿に候補なし)
6	若林澪生	正当な未リンク(名簿に候補なし)
6	湧也	正当な未リンク(名簿に候補なし)
6	藤原乃愛	正当な未リンク(名簿に候補なし)
6	トビー・イマダ	正当な未リンク(名簿に候補なし)
6	吏羅	正当な未リンク(名簿に候補なし)
6	KAEDE	正当な未リンク(名簿に候補なし)
6	アーサー雅仁	正当な未リンク(名簿に候補なし)
6	櫻井祐斗	正当な未リンク(名簿に候補なし)
6	AYA	正当な未リンク(名簿に候補なし)
6	川﨑 真一朗	正当な未リンク(名簿に候補なし)
6	悠	正当な未リンク(名簿に候補なし)
6	ラニ・ベルバーチ	正当な未リンク(名簿に候補なし)
6	ほのか	正当な未リンク(名簿に候補なし)
6	細越 智貴	正当な未リンク(名簿に候補なし)
6	細濱辰	正当な未リンク(名簿に候補なし)
6	菅原勇介	正当な未リンク(名簿に候補なし)
6	滝川リョウ	正当な未リンク(名簿に候補なし)
6	巨輝	正当な未リンク(名簿に候補なし)
6	K・ルークプラバーツ	正当な未リンク(名簿に候補なし)
6	佐藤 亮	正当な未リンク(名簿に候補なし)
6	能登龍也	正当な未リンク(名簿に候補なし)
6	生川龍星	正当な未リンク(名簿に候補なし)
6	ハンベルト・エボラ	正当な未リンク(名簿に候補なし)
6	YETI達朗	正当な未リンク(名簿に候補なし)
6	アンドリュー・ペック	正当な未リンク(名簿に候補なし)
6	RAI	正当な未リンク(名簿に候補なし)
6	TSUYOSHI	正当な未リンク(名簿に候補なし)
6	関川 和将	正当な未リンク(名簿に候補なし)
6	カークウッド・ウォーカー	正当な未リンク(名簿に候補なし)
6	雄人	正当な未リンク(名簿に候補なし)
6	佐野克海	正当な未リンク(名簿に候補なし)
6	ハト胸むな男	正当な未リンク(名簿に候補なし)
6	ニモ	正当な未リンク(名簿に候補なし)
6	マキ・ピンサヤーム	正当な未リンク(名簿に候補なし)
6	園田 顕悟	正当な未リンク(名簿に候補なし)
5	Hideki	正当な未リンク(名簿に候補なし)
5	ケイスケ	正当な未リンク(名簿に候補なし)
5	アン・ジョンホ	正当な未リンク(名簿に候補なし)
5	米田克盛	正当な未リンク(名簿に候補なし)
5	志門	正当な未リンク(名簿に候補なし)
5	クリス・ナギンビ	正当な未リンク(名簿に候補なし)
5	パヤーフォン	正当な未リンク(名簿に候補なし)
5	雄飛	正当な未リンク(名簿に候補なし)
5	悠羽輝	正当な未リンク(名簿に候補なし)
5	ムラデン・ブレストバッチ	正当な未リンク(名簿に候補なし)
5	ミンダウガス・サカラウスカス	正当な未リンク(名簿に候補なし)
5	大前洸貴	正当な未リンク(名簿に候補なし)
5	井上敬太	正当な未リンク(名簿に候補なし)
5	大澤匡弘	正当な未リンク(名簿に候補なし)
5	森 巧光	正当な未リンク(名簿に候補なし)
5	晴矢	正当な未リンク(名簿に候補なし)
5	宮島教晋	正当な未リンク(名簿に候補なし)
5	ボーウィー・ソーウドムソン	正当な未リンク(名簿に候補なし)
5	伊賀弘治	正当な未リンク(名簿に候補なし)
5	大崎孔稀	正当な未リンク(名簿に候補なし)
5	池上侑李	正当な未リンク(名簿に候補なし)
5	祖父江泰司	正当な未リンク(名簿に候補なし)
5	キム・セギ	正当な未リンク(名簿に候補なし)
5	佐々木涼助	正当な未リンク(名簿に候補なし)
5	ウェズリー・ペレイラ	正当な未リンク(名簿に候補なし)
5	龍之介	正当な未リンク(名簿に候補なし)
5	バンダー・マーブ	正当な未リンク(名簿に候補なし)
5	俊YAMATO	正当な未リンク(名簿に候補なし)
5	梅沢武彦	正当な未リンク(名簿に候補なし)
5	心センチャイジム	正当な未リンク(名簿に候補なし)
5	不明	判定不能(データ破損/プレースホルダ)
5	中澤友	正当な未リンク(名簿に候補なし)
5	佐藤亮	正当な未リンク(名簿に候補なし)
5	NA☆NA	正当な未リンク(名簿に候補なし)
5	ダイナマイト柿崎	正当な未リンク(名簿に候補なし)
5	MASAYA	正当な未リンク(名簿に候補なし)
5	KAWASAKI	正当な未リンク(名簿に候補なし)
5	勇哉	正当な未リンク(名簿に候補なし)
5	森口竜	正当な未リンク(名簿に候補なし)
5	須藤元気	正当な未リンク(名簿に候補なし)
5	後藤まき	正当な未リンク(名簿に候補なし)
5	多根嘉帆	正当な未リンク(名簿に候補なし)
5	榎木友星	正当な未リンク(名簿に候補なし)
5	剣	正当な未リンク(名簿に候補なし)
5	ゲーリー・ターナー	正当な未リンク(名簿に候補なし)
5	石川 章太郎	正当な未リンク(名簿に候補なし)
5	誓	正当な未リンク(名簿に候補なし)
5	宗田 智美	正当な未リンク(名簿に候補なし)
5	茶谷 薫	正当な未リンク(名簿に候補なし)
5	TASUKU	正当な未リンク(名簿に候補なし)
5	日下滉大	正当な未リンク(名簿に候補なし)
5	原田 翔貴	正当な未リンク(名簿に候補なし)
5	猪股晃平	正当な未リンク(名簿に候補なし)
5	ファントム進也	正当な未リンク(名簿に候補なし)
5	高橋拓也	正当な未リンク(名簿に候補なし)
5	奥田 啓介	正当な未リンク(名簿に候補なし)
5	蓮武	正当な未リンク(名簿に候補なし)
5	Honoka	正当な未リンク(名簿に候補なし)
5	市村大斗	正当な未リンク(名簿に候補なし)
5	クリス・クリソポリディス	正当な未リンク(名簿に候補なし)
5	前田浩喜	正当な未リンク(名簿に候補なし)
5	ウィサンレック・MEIBUKAI	正当な未リンク(名簿に候補なし)
5	アンドレイ・キルサノフ	正当な未リンク(名簿に候補なし)
5	西田京介	正当な未リンク(名簿に候補なし)
5	吉田理玖	正当な未リンク(名簿に候補なし)
5	不動明王岸田	正当な未リンク(名簿に候補なし)
5	柳澤龍志	正当な未リンク(名簿に候補なし)
5	細野岳範	正当な未リンク(名簿に候補なし)
5	三宅美優	正当な未リンク(名簿に候補なし)
5	上田 誠也	正当な未リンク(名簿に候補なし)
5	アンドレ・ジダ	正当な未リンク(名簿に候補なし)
5	佐藤”魔王”応紀	正当な未リンク(名簿に候補なし)
5	青柳雅英	正当な未リンク(名簿に候補なし)
5	正木宏幸	正当な未リンク(名簿に候補なし)
5	殿	正当な未リンク(名簿に候補なし)
5	波賀宙也	正当な未リンク(名簿に候補なし)
5	ヘンリー・オプスタル	正当な未リンク(名簿に候補なし)
5	嶋田裕介	正当な未リンク(名簿に候補なし)
5	崎村暁東	正当な未リンク(名簿に候補なし)
5	加賀 丞	正当な未リンク(名簿に候補なし)
5	オーランド・ウィット	正当な未リンク(名簿に候補なし)
5	MAMUTI	正当な未リンク(名簿に候補なし)
5	福原 優	正当な未リンク(名簿に候補なし)
5	デンサイアム・ルークプラバーツ	正当な未リンク(名簿に候補なし)
5		判定不能(データ破損/プレースホルダ)
5	白谷フィッシュ征也	正当な未リンク(名簿に候補なし)
5	荒川ルシファー大夢	正当な未リンク(名簿に候補なし)
5	細川雄司	正当な未リンク(名簿に候補なし)
5	マーク・デ・ウィット	正当な未リンク(名簿に候補なし)
5	大稚YAMATO	正当な未リンク(名簿に候補なし)
5	三原日出男	正当な未リンク(名簿に候補なし)
5	須釜和成	正当な未リンク(名簿に候補なし)
4	スアキム	正当な未リンク(名簿に候補なし)
