slug	name	old_orgs(roster-source)	new_orgs(bout-derived)
arekusu-robatsu	アレックス・ロバーツ		Bigbang|HoostCup|K-1 / Krush / Krush-EX|RISE|SHOOT BOXING|新日本キックボクシング協会(SNKA)
kitayama-takayoshi	北山高与志		Bigbang|DEEP☆KICK|K-1 / Krush / Krush-EX|NJKF|RISE|新日本キックボクシング協会(SNKA)
nagashima-jienotsu-yuuichirou	長島☆自演乙☆雄一郎		HoostCup|K-1 / Krush / Krush-EX|NJKF|RISE|RIZIN|SHOOT BOXING
kitamura-makoto	喜多村誠		Bigbang|KNOCK OUT|NJKF|NKB|SHOOT BOXING|新日本キックボクシング協会(SNKA)
kanonsuku-uirasakureku	カノンスック・ウィラサクレック		DEEP☆KICK|HoostCup|K-1 / Krush / Krush-EX|NJKF|RISE|新日本キックボクシング協会(SNKA)
kouji	皇治		Bigbang|DEEP☆KICK|K-1 / Krush / Krush-EX|NJKF|RISE|RIZIN
hinata	日菜太		K-1 / Krush / Krush-EX|KNOCK OUT|RISE|RIZIN|SHOOT BOXING|新日本キックボクシング協会(SNKA)
tabo	TURBΦ		Bigbang|K-1 / Krush / Krush-EX|NJKF|RISE|新日本キックボクシング協会(SNKA)
ishikawa-naoki-2	石川 直樹	KNOCK OUT	JKA|KNOCK OUT|KROSS×OVER|NJKF|NKB|RIZIN
hiroya	HIROYA		Bigbang|K-1 / Krush / Krush-EX|RISE|RIZIN|新日本キックボクシング協会(SNKA)
hiroto-yamaguchi	山口裕人	RISE	DEEP☆KICK|HoostCup|K-1 / Krush / Krush-EX|NJKF|RISE|RIZIN
ozaki-keiji	尾崎圭司		Bigbang|K-1 / Krush / Krush-EX|NJKF|RISE|SHOOT BOXING
kenta	健太	KNOCK OUT	HoostCup|JKA|K-1 / Krush / Krush-EX|KNOCK OUT|NJKF|RISE
amada-hiromi	天田ヒロミ		Bigbang|K-1 / Krush / Krush-EX|RISE|SHOOT BOXING|新日本キックボクシング協会(SNKA)
komiya-yukihiro	小宮由紀博		Bigbang|K-1 / Krush / Krush-EX|NJKF|RISE|新日本キックボクシング協会(SNKA)
yamato-ashikaga	足利也真登	RISE	DEEP☆KICK|HoostCup|NJKF|NKB|RISE|RIZIN
