type	slug	name	wins	losses	draws	unknown	total	gym	orgs	classification	note
F1(敗0)	tenshin-nasukawa	那須川天心	49	0	0	0	49	TARGET/Cygames	['RISE', 'KNOCK OUT', 'RIZIN', 'DEEP☆KICK']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	rikarudo-burabo	リカルド・ブラボ	11	0	1	0	12	WSRフェアテックス	['RISE']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	tomoyuki	TOMOYUKI	11	0	1	0	12		['K-1 / Krush / Krush-EX', 'DEEP☆KICK', 'NJKF']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	shin-nopadeson	シン・ノッパデッソーン	10	0	1	0	11		['K-1 / Krush / Krush-EX', '新日本キックボクシング協会(SNKA)']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	usami-hide-meison	宇佐美 秀 メイソン	9	0	2	0	11	Battle-Box	['RISE']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	yuki-yoza	与座優貴	10	0	0	0	10	K-1 GYM SAGAMI-ONO KREST	['RISE', 'K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	tsujii-wakana	辻井和奏	8	0	1	0	9	BRING IT ONパラエストラAKK	['RISE', 'KNOCK OUT']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	ueno-kanata	上野 奏貴	8	0	0	0	8	kickboxing gym  SHINYUUKI＋	['K-1 / Krush / Krush-EX', 'RIZIN']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	kairi-yatagai	谷田貝海吏	8	0	0	0	8	CYCLONE GYM	['RISE', 'KROSS×OVER']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	jonasu-sarushicha	ジョナス・サルシチャ	8	0	0	0	8	TF Team/CT Allan Popeye	['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	haruka-shimada	島田知佳	8	0	0	0	8	team VASILEUS	['RISE', 'KROSS×OVER']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	hyuu	陽勇	7	0	0	0	7	TEAM3K	['RISE', 'Stand up']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	tsubasa-nio	鳰 翼	5	0	2	0	7	KSR GYM	['RISE', 'KROSS×OVER']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	pk	センチャイ・PKセンチャイムエタイジム	7	0	0	0	7		['NJKF', 'HoostCup']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	momoka-cinderella	桃花シンデレラ	7	0	0	0	7	山口道場	['RISE', 'DEEP☆KICK']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	shiba-kojiro	芝 宏二郎	7	0	0	0	7	Striker GYM	['K-1 / Krush / Krush-EX', 'RIZIN', 'HoostCup']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	yuta-uchida	内田雄大	6	0	0	1	7	フリー	['RISE', 'RIZIN', 'HoostCup']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	katono-neigo	上遠野 寧吾	7	0	0	0	7	POWER OF DREAM	['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	naofumi-yamashina	山科直史	7	0	0	0	7	極真会館	['RISE']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	ryuu-tsua	リュウ・ツァー	6	0	0	0	6	唐山文旅驍騎ファイトクラブ/CFP	['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	taishi-hiratsuka	平塚大士	6	0	0	0	6	チームドラゴン	['RIZIN', 'HoostCup']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	yuto-3	優翔	6	0	0	0	6	team NOVA	['KNOCK OUT']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	bobo-sacko	ボボ･サッコ	6	0	0	0	6	Teambilos Muaythaï Gym 77	['RISE']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	nanaka-honda	本田ななか	6	0	0	0	6	TRY HARD GYM	['RISE', 'KROSS×OVER']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	shuri	珠璃	4	0	1	0	5	闘神塾	['KNOCK OUT', 'NJKF']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	karurosu-budio	カルロス・ブディオ	5	0	0	0	5	ブラジリアン・タイ	['RISE', 'HoostCup']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	yodokunpon-uirasakureku	ヨードクンポン・ウィラサクレック	5	0	0	0	5	ウィラサクレック・フェアテックスジム	['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	shiryu-minamihara	南原士龍	5	0	0	0	5	龍士會	['RISE']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	makasu-ebagu	マーカス・エバーグ	5	0	0	0	5		['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	taiki-matsui	松井大樹	5	0	0	0	5	MEIBUKAI	['RISE']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	suzuki-shota	鈴木 翔大	5	0	0	0	5	澁谷会/TEAM KAITO	['K-1 / Krush / Krush-EX', 'KROSS×OVER']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	sasaki-kosei	佐々木昊生	5	0	0	0	5	B.F.A-SEED	['RISE', 'KNOCK OUT', 'DEEP☆KICK', 'NJKF', 'HoostCup']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	tian-tazan	ティアン・ターザン	4	0	0	0	4	Luc Verheije Fight Club	['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	suzuki-chihiro	鈴木 千裕	3	0	1	0	4	KNOCK OUT クロスポイント吉祥寺	['KNOCK OUT']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	kan-ri	カン・リー	4	0	0	0	4		['K-1 / Krush / Krush-EX']	正当な戦績(反証なし)	対戦相手が名簿外のため相互参照不可。他に疑わしい所見なし
F1(敗0)	karyu-giburein	カリュ・ギブレイン	4	0	0	0	4	ブラジル/ブラジリアン・タイ	['RISE']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	hamana-hayato	浜名 颯斗	4	0	0	0	4	K-1ジム大宮チームレオン	['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	yasuhito	靖仁	2	0	2	0	4		['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	takumi-2	匠	4	0	0	0	4		['NJKF', 'JKA']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	haruto-nio	鳰 陽斗	3	0	1	0	4	KSR GYM	['RISE', 'KROSS×OVER']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	rantaro	乱太郎	4	0	0	0	4	猛者連愛媛支部OGRE	['RISE']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	kimura-mona	木村 萌那	4	0	0	0	4	K-1ジム目黒TEAM TIGER	['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	rukasu-yarosu	ルーカス・ヤロス	4	0	0	0	4		['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	rui-2	ルイ	3	0	1	0	4	クラミツムエタイジム	['KNOCK OUT', 'NJKF']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	fukuda-kaito	福田 海斗	4	0	0	0	4	キング・ムエ	['KNOCK OUT', 'HoostCup']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	mina-hayashi	林 美菜	4	0	0	0	4	FORWARD GYM	['RISE']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	negi-tetsuya	根木 哲也	4	0	0	0	4	TEAM FOREST	['SHOOT BOXING']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	geoganwan-so-amunuwaide	ゲーオガンワーン・ソー.アムヌワイデッー	4	0	0	0	4	タイ	['KNOCK OUT']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	tsubasa-3	飛翔	2	0	2	0	4	K-1ジム総本部チームペガサス	['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	yurian-pozudoniakofu	ユリアン・ポズドニアコフ	4	0	0	0	4	ウクライナ	['KNOCK OUT']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	kirachihiro	キラッ☆Chihiro	3	0	1	0	4		['K-1 / Krush / Krush-EX', 'DEEP☆KICK']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
