fighter_name	date	event	opponent_name	result	method_raw	target_org
アンディ・フグ	2000-07-07	K-1 SPIRITS 2000	JPN ノブ・ハヤシ	win	1R 2:05 KO（左ストレート）	K-1
アンディ・フグ	2000-06-03	K-1 FIGHT NIGHT 2000	CRO ミルコ・クロコップ	win	5R終了 判定3-0	K-1
アンディ・フグ	2000-04-23	K-1 THE MILLENNIUM	BRA グラウベ・フェイトーザ	win	5R終了 判定3-0	K-1
アンディ・フグ	2000-03-19	K-1 BURNING 2000	JPN 武蔵	win	5R終了 判定2-0	K-1
アンディ・フグ	1999-12-05	K-1 GRAND PRIX '99 決勝戦	NLD アーネスト・ホースト	loss	3R終了 判定0-3	K-1
アンディ・フグ	1999-10-03	K-1 GRAND PRIX '99 開幕戦	JPN 天田ヒロミ	win	1R 1:51 TKO（3ノックダウン：右上段後ろ回し蹴り）	K-1
アンディ・フグ	1999-08-22	K-1 SPIRITS '99 〜魂の戦い〜	USA モーリス・スミス	win	3分5R終了 判定3-0	K-1
アンディ・フグ	1999-06-05	K-1 FIGHT NIGHT '99	FRG ステファン・レコ	win	5R終了 判定3-0	K-1
アンディ・フグ	1999-04-25	K-1 REVENGE '99	NZL レイ・セフォー	win	4R終了時 TKO（タオル投入）	K-1
アンディ・フグ	1999-02-03	K-1 RISING SUN '99	JPN 中迫剛	win	2R 0:22 KO（上段右後ろ回し蹴り）	K-1
アンディ・フグ	1998-12-13	K-1 GRAND PRIX '98 決勝戦	NLD ピーター・アーツ	loss	1R 1:10 KO（左ハイキック）	K-1
アンディ・フグ	1998-12-13	K-1 GRAND PRIX '98 決勝戦	AUS サム・グレコ	win	3R終了 判定2-0	K-1
アンディ・フグ	1998-12-13	K-1 GRAND PRIX '98 決勝戦	NZL レイ・セフォー	win	2R 2:28 KO（2ノックダウン：右ストレート）	K-1
アンディ・フグ	1998-10-28	K-1 JAPAN '98 〜神風〜	JPN 宮本正明	win	1R 2:50 KO（左バックハンドブロー）	K-1
アンディ・フグ	1998-09-27	K-1 GRAND PRIX '98 開幕戦	ENG マーク・ラッセル	win	2R 3:07 KO（左ローキック）	K-1
アンディ・フグ	1998-08-07	K-1 THE NEW FIGHTING SPIRIT '98	USA マイク・ラブリー	win	1R 2:13 TKO（右ローキック）	K-1
アンディ・フグ	1998-06-06	K-1 FIGHT NIGHT '98	NLD ピーター・アーツ	win	5R終了 判定3-0	K-1
アンディ・フグ	1998-04-09	K-1 KINGS '98	USA カーティス・シュースター	win	5R終了 判定3-0	K-1
アンディ・フグ	1997-11-09	K-1 GRAND PRIX '97	NLD アーネスト・ホースト	loss	3R終了 判定0-2	K-1
アンディ・フグ	1997-11-09	K-1 GRAND PRIX '97 決勝戦	NLD ピーター・アーツ	win	5R終了 判定3-0	K-1
アンディ・フグ	1997-11-09	K-1 GRAND PRIX '97 決勝戦	JPN 佐竹雅昭	win	1R 0:15 KO（左ハイキック）	K-1
アンディ・フグ	1997-09-07	K-1 GRAND PRIX '97 開幕戦	CAN ピア・ゲネット	win	1R 1:49 TKO（3ノックダウン：右フック）	K-1
アンディ・フグ	1997-07-20	K-1 DREAM '97	BRA フランシスコ・フィリォ	loss	1R 2:37 KO（右フック）	K-1
アンディ・フグ	1997-06-07	K-1 FIGHT NIGHT '97 〜THE DECISION〜	RSA マイク・ベルナルド	win	3分5R終了 判定	K-1
アンディ・フグ	1997-04-29	K-1 BRAVES '97	AUS サム・グレコ	draw	5R終了 判定1-1	K-1
アンディ・フグ	1997-03-16	K-1 KINGS '97	NLD ピーター・アーツ	loss	1R 1:55 TKO（左膝蹴り）	K-1
アンディ・フグ	1996-12-08	K-1 HERCULES '96	JPN 武蔵	win	5R終了 判定3-0	K-1
アンディ・フグ	1996-10-18	K-1 STAR WARS '96	JPN 佐竹雅昭	win	5R終了 判定3-0	K-1
アンディ・フグ	1996-09-01	K-1 REVENGE '96	AUS スタン・ザ・マン	win	2R 2:00 KO（左ストレート）	K-1
アンディ・フグ	1996-06-02	K-1 FIGHT NIGHT II	THA サダウ・ゲッソンリット	win	2R 3:02 KO（左フック）	K-1
アンディ・フグ	1996-05-06	K-1 GRAND PRIX '96 決勝戦	RSA マイク・ベルナルド	win	2R 1:18 KO（フグトルネード）	K-1
アンディ・フグ	1996-05-06	K-1 GRAND PRIX '96	NLD アーネスト・ホースト	win	延長2R終了 判定2-1	K-1
アンディ・フグ	1996-05-06	K-1 GRAND PRIX '96	RSA バンダー・マーブ	win	1R 0:40 KO（左フック）	K-1
アンディ・フグ	1996-03-10	K-1 GRAND PRIX '96 開幕戦	USA バート・ベイル	win	1R 2:24 TKO（3ノックダウン：パンチラッシュ）	K-1
アンディ・フグ	1995-12-09	K-1 HERCULES	FRA ジェロム・レ・バンナ	win	5R終了 判定3-0	K-1
アンディ・フグ	1995-09-03	K-1 REVENGE II	RSA マイク・ベルナルド	loss	2R 2:43 TKO（右ストレート）	K-1
アンディ・フグ	1995-07-16	K-1 LEGEND 〜翔〜	NLD アーネスト・ホースト	loss	3R終了 判定0-2	K-1
アンディ・フグ	1995-06-10	K-1 FIGHT NIGHT	USA デニス・レーン	win	2R終了時 TKO（戦意喪失）	K-1
アンディ・フグ	1995-05-04	K-1 GRAND PRIX '95 決勝戦	NLD ピーター・クレイマー	win	1R 0:45 KO（左フック）	K-1
アンディ・フグ	1995-03-03	K-1 GRAND PRIX '95 開幕戦	RSA マイク・ベルナルド	loss	3R 2:39 TKO（タオル投入）	K-1
アンディ・フグ	1994-12-10	K-1 LEGEND 〜乱〜	NLD ロブ・ファン・エスドンク	win	4R 0:55 KO（左フック）	K-1
アンディ・フグ	1994-09-18	K-1 REVENGE	USA パトリック・スミス	win	1R 0:56 KO（左膝蹴り）	K-1
