# 寝技語彙/submission/ボクシング語彙を含む全28件(SHOOT BOXING/K-1含む参考リスト)

amada-hiromi	天田ヒロミ	2015-04-18	SHOOT BOXING 2015 act.2	南国超人	3R 1:50 フロントチョーク	SHOOT BOXING	mma_suspect
umeno-takaaki	梅野孝明	2010-09-18	SHOOT BOXING 25TH ANNIVERSARY SERIES 第4戦 維新-ISHIN- 其の四	鈴木悟	4R 2:03 TKO（左肘関節脱臼）	SHOOT BOXING	mma_suspect
oono-takashi	大野崇	2008-02-03	SHOOT BOXING 2008 火魂〜Road to S-cup〜 其の壱	アルトゥール・ヤシュクル	3R 1:04 フロントチョークスリーパー	SHOOT BOXING	mma_suspect
karyu-giburein	カリュ・ギブレイン	2022-09-25	湘南美容クリニック presents RIZIN.38	シビサイ頌真	1R タップアウト	RISE	mma_suspect
kido-yasuhiro	城戸康裕	2009-06-14	BREAK THROUGH-11～突破口～	北見 朋久	一本	Bigbang	mma_suspect
kimo-reoporudo	キモ・レオポルド	1996-07-14	シュートボクシング S-cup '96 決勝戦	桜庭和志	1R 4:20 肩固め	SHOOT BOXING	mma_suspect
kimo-reoporudo	キモ・レオポルド	1994-12-10	K-1 LEGEND 〜乱〜	パトリック・スミス	1R 3:13 TKO（バックマウントパンチ）	K-1 / Krush / Krush-EX	mma_suspect
saiga-kizaemon	才賀紀左衛門	2015-12-29	RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS	所英男	1R 5:16 アームバー	RIZIN	mma_suspect
jieromu-re-banna	ジェロム・レ・バンナ	2017-10-15	RIZIN FIGHTING WORLD GRAND-PRIX 2017 1st ROUND -秋の陣-	ロッキー・マルティネス	1R 2:10 袈裟固め	RIZIN	mma_suspect
suzuki-satoru	鈴木悟	2010-09-18	SHOOT BOXING 25TH ANNIVERSARY SERIES 第4戦 維新-ISHIN- 其の四	梅野孝明	4R 2:03 TKO（左肘関節脱臼）	SHOOT BOXING	mma_suspect
suzuki-satoru	鈴木悟	2010-04-11	SHOOT BOXING 25TH ANNIVERSARY SERIES 第2戦 維新-ISHIN- 其の弐	宍戸大樹	2R 1:39 TKO（スタンディングフロントチョーク）	SHOOT BOXING	mma_suspect
denisu-shunaidomira	デニス・シュナイドミラー	2008-11-24	SHOOT BOXING WORLD TOURNAMENT S-cup 2008	ルイス・アゼレード	1R 2:07 KO（スタンディング肩固め）	SHOOT BOXING	mma_suspect
doi-hiroyuki	土井広之	2005-04-29	SHOOT BOXING 2005 20th ANNIVERSARY SERIES 2nd "STAND UP!"	トビー・グレアー	4R 0:21 スタンディング・チョークスリーパー	SHOOT BOXING	mma_suspect
patoriku-sumisu	パトリック・スミス	1994-12-10	K-1 LEGEND 〜乱〜	キモ	1R 3:13 TKO（バックマウントパンチ）	K-1 / Krush / Krush-EX	mma_suspect
hinata	日菜太	2010-09-18	SHOOT BOXING 25TH ANNIVERSARY SERIES 第4戦 維新-ISHIN- 其の四	アンディ・サワー	1R 0:48 KO（スタンディングチョークスリーパー）	SHOOT BOXING	mma_suspect
bobu-sapu	ボブ・サップ	2007-12-31	K-1 PREMIUM 2007 Dynamite!!	ボビー・オロゴン	1R 4:10 KO（マウントパンチ）<!--K-1公式記録-->	K-1 / Krush / Krush-EX	mma_suspect
bobu-sapu	ボブ・サップ	2003-09-21	K-1 SURVIVAL 2003 〜JAPAN GP 決勝戦〜	ステファン・ガムリン	1R 0:52 フロントスリーパー	K-1 / Krush / Krush-EX	mma_suspect
miruko-kurokopu	ミルコ・クロコップ	2016-09-25	RIZIN FIGHTING WORLD GRAND-PRIX 2016 無差別級トーナメント 開幕戦	ミョン・ヒョンマン	1R 2:20 肩固め	RIZIN	mma_suspect
meruvin-manufu	メルヴィン・マヌーフ	2007-12-31	K-1 PREMIUM 2007 Dynamite!!	西島洋介	1R 1:49 KO（マウントパンチ）	K-1 / Krush / Krush-EX	mma_suspect
rena	RENA	2019-06-14	Bellator 222	リンジー・ヴァンザント	1R スリーパーホールド ※MMA	SHOOT BOXING	mma_suspect
rena	RENA	2014-04-18	SHOOT BOXING2014 act. 2 ～BOND 絆～	イム・ソヒ	1R フロントチョークスリーパー	SHOOT BOXING	mma_suspect
rena	RENA	2013-04-20	SHOOT BOXING 2013 act.2	トウ・ペイリン	3R スタンディングチョークスリーパー	SHOOT BOXING	mma_suspect
シング・心・ジャディブ	シング・心・ジャディブ	2015-12-31	RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS	エメリヤーエンコ・ヒョードル	1R 3:02 TKO（マウントパンチ）	RIZIN	mma_suspect
aito	愛翔	2022-05-22	PANCRASE「NEO BLOOD! 1」	大野友哉	1R TO/RNC	RISE	mma_suspect
aito	愛翔	2020-11-23	BOUT 41	池田一歩	2R フロントチョーク	RISE	mma_suspect
hiroki-kasahara	笠原弘希	2023-09-24	SHOOT BOXING 2023 act.4	ネイサン・ドライデン	KO 2R ※フロントチョーク ※OFGマッチ	SHOOT BOXING	mma_suspect
shota-tezuka	手塚翔太	2024-12-26	-SHOOT BOXING BATTLE SUMMIT-GROUND ZERO TOKYO 2024	成尾 拓輝	KO 3R ※フロントチョーク	SHOOT BOXING	mma_suspect
taisei-nishitani	西谷大成	2022-03-12	DEEP TOKYO IMPACT 2022 1st ROUND	鷹辰	2R SUB	RISE	mma_suspect
