# 決着(methodRaw生データ): ユニーク4133件

5314	判定
3609	KO
3309	3R 判定
717	3R終了 判定3-0
635	1R KO
557	延長判定
551	2R KO
490	TKO
444	3R終了 判定0-3
420	3R判定
337	5R 判定
298	3R KO
236	2R TKO
195	1R TKO
184	3R TKO
167	
155	5R終了 判定3-0
154	3R終了 判定2-0
141	4R 判定
133	延長R 判定
104	3R終了 判定
97	3R終了 判定0-2
89	1RKO
87	5R終了 判定0-3
72	2RKO
72	判定3-0
72	勝敗無し
71	引分
65	試合前
51	5R判定
48	延長R終了 判定3-0
48	延長R判定
44	延長R終了 判定0-3
44	不戦勝
43	延長 判定
41	ノーコンテスト
39	3R終了 判定2-1
39	3R+延長R終了 判定3-0
37	KO 1R
35	KO 2R
34	3R終了 判定1-2
34	4R KO
33	判定3-0 (三者とも30-28)
31	TKO 2R
30	3RKO
29	判定0-3
28	3R+延長R終了 判定0-3
27	5R終了 判定
26	反則
26	TKO 1R
25	5R終了 判定0-2
25	なし
24	4R TKO
24	不戦敗
23	延長R終了 判定
23	5R KO
22	判定3-0 (30-29、30-28、30-28)
21	3R 判定 ※OFGマッチ
20	5R終了 判定2-0
20	3R終了 判定1-0
19	3R 判定 ※MMA
18	3RTKO
18	3分3R終了 判定0-3
18	判定2-0
18	2R 判定
18	判定3-0 (三者とも30-29)
17	2分3R終了 判定3-0
17	3R終了 判定0-0
17	延長R終了 判定1-2
17	延長R終了 判定2-1
16	2RTKO
16	3分3R終了 判定3-0
16	5R TKO
15	5R終了 判定1-0
15	判定3-0 (30-29、30-29、30-28)
15	3R 判定（3-0）
14	Unanimous Decision
14	判定3-0（30-29、30-29、30-28）
14	延長R KO
13	5R終了 判定1-1
13	5R終了 判定0-0
13	負傷判定
13	3R 判定 （3-0）
13	TKO 3R
12	2R終了時 TKO（タオル投入）
12	判定3-0 (三者とも30-27)
12	3R 判定（0-3）
12	判定3-0 (30-28、30-27、30-27)
11	2R終了 判定3-0
11	3R+延長R終了 判定
11	延長R終了 判定0-2
11	判定2-0 (30-29、29-29、30-29)
11	5R終了 判定2-1
11	判定0-3 (三者とも28-30)
11	判定0-3 (三者とも29-30)
11	6R 判定
11	判定0-3 (29-30、29-30、28-30)
10	延長R終了 判定2-0
10	判定0-3（28-30、28-30、27-30）
10	3R終了 判定0-1
10	5R終了 判定1-2
10	判定3－0
10	KO 3R
10	3R+延長1R終了 判定3-0
9	3分5R終了 判定3-0
9	3R終了 判定1-1
9	判定3-0（30-28、30-28、30-28）
9	5R終了 判定0-1
9	判定3-0（30-28、30-28、30-27）
9	判定3-0 (30-29、30-29、29-28)
9	判定0-3 (28-30、28-30、27-30)
9	判定0-3 (三者とも27-30)
9	3R 判定3-0
9	TKO 2R ※OFGマッチ
9	2R 判定 ※MMA
8	5分3R終了 判定3-0
8	判定2-0 (29-29、30-29、30-29)
8	3分5R終了 判定0-3
8	2分3R終了 判定0-3
8	判定3-0 (30-29、29-28、29-28)
8	判定3-0（30-27、30-27、30-28）
7	判定3-0 (30-28、30-28、30-29)
7	判定0-2
7	3R+延長1R終了 判定0-3
7	1R 0:40 KO（右フック）
7	Knockout
7	7R 判定
7	判定3-0（30-29、30-29、30-29）
7	判定3-0 (三者とも30-26)
7	KO 1R ※MMA
7	TKO 1R ※OFGマッチ
6	4R終了時 TKO（タオル投入）
6	判定3-0 (30-28、29-28、30-28)
6	判定3-0 (30-27、30-26、30-26)
6	判定2-1 (30-29、29-30、29-28)
6	TKO 3R2分20秒
6	3分3R終了 判定2-0
6	無効
6	3R+延長R終了 判定1-2
6	判定2-1
6	3R+延長R終了 判定2-1
6	判定0-0 (三者とも29-29)
6	判定3-0 (30-28/30-28/30-28)
6	判定3-0 (30-29、29-28、30-28)
6	1R終了時 TKO（タオル投入）
6	判定3-0（30-27、30-27、30-27）
6	判定3-0(30：27×3)
6	判定3-0 (29-28、30-28、30-28)
6	判定3-0 30-29・30-29・30-28
6	3R 判定 3-0
6	判定2-1 (49-48、48-49、49-48)
6	3R 判定0-3
6	3R 判定2-0
6	KO 1R ※OFGマッチ
5	3R終了時 TKO（タオル投入）
5	延長2R終了 判定1-2
5	判定0-1 (29-29、29-29、29-30)
5	5分3R終了 判定0-3
5	判定2-0 (30-28、30-28、29-29)
5	判定1-2
5	再延長R終了 判定0-3
5	3R 1:26 KO（左フック）
5	判定1-0 (30-29、29-29、29-29)
5	2分1R終了 判定3-0
5	TKO 1R ※MMA
5	2R テクニカル判定
5	判定0-3 (28-30、28-30、29-30)
5	KO 2R ※OFGマッチ
5	判定3-0 (30-27、30-27、30-28)
5	判定3-0（30-28、30-29、30-28）
5	判定3-0 (30-27、30-27、30-26)
5	判定3-0 (30-29、30-28、30-29)
5	判定3-0 (30-28、30-28、30-27)
5	判定3-0 (三者とも49-48)
5	KO 2R2分13秒
5	判定0-0
5	判定0-3（29-30、29-30、28-30）
5	判定 3-0
5	判定3-0 (三者とも50-47)
5	判定3-0（30-28、30-27、30-28）
5	TKO 2R ※MMA
5	判定3-0（30-29、30-28、30-28）
4	2分2R
4	1R KO（左フック）
4	1R 2:10 KO（右ハイキック）
4	判定0-3 (29-30、28-29、28-30)
4	無効試合
4	1R KO ※MMA
4	4RKO
4	判定3-0（三者とも30-25）
4	TKO 1R 3分00秒
4	判定3-0（30-29、30-28、30-29）
4	判定0-3（27-30、27-30、27-30）
4	判定3-0 (30-28、30-28、29-28)
4	判定1-1 (30-29、29-30、29-29)
4	判定0-2 (29-30、29-30、29-29)
4	判定0-3 (28-30/28-29/28-29)
4	判定2-0 (30-28、29-29、30-28)
4	延長2R終了 判定3-0
4	KO 1R2分13秒
4	判定3-0 (29-27、29-27、30-27)
4	TKO 1R1分32秒
4	判定3-0 (30-29、30-28、30-27)
4	判定3-0 (48-47、49-48、49-48)
4	延長2R終了 判定0-3
4	判定3-0 (50-47、50-46、50-46)
4	判定0-3 (27-30、28-30、27-29)
4	TKO 1R1分27秒
4	判定3-0 (29-28、29-28、30-29)
4	判定0-3（27-30、27-30、26-30）
4	判定3-0（三者とも20-19）
4	判定2-0 (30-29、29-29、29-28)
4	判定0-3 (48-50/48-49/47-50)
4	判定3-0(30：27 30：27 29：28)
4	判定0-3（三者とも28-30）
4	判定0-3(28：30 28：30 27：30)
4	判定0-2（29-29、29-30、29-30）
4	判定3-0 (30-27/30-27/30-27)
4	判定 0-3（29-30、29-30、29-30）
4	判定0-3（28-30、28-30、29-30）
4	KO 3R1分37秒
4	判定 1-0（29-29、30-29、29-29）
4	判定0-3 29-30・28-30・28-30
4	判定0-3 (28-30、27-30、27-30)
4	1R TKO ※MMA
4	2R負傷判定
4	判定3-0（30-27、30-28、30-27）
4	判定2-0（30-29、29-29、29-28）
4	2R 時間切れ ※MMA
3	延長1R終了 判定0-3
3	判定3-0(30：27 30：27 30：28)
3	TKO 1R2分05秒
3	TKO 3R2分04秒
3	3R 1:32 KO
3	Split Decision
3	1R 1:15 KO
3	判定3-0 30-26・30-26・30-26
3	3分3R+延長R終了 判定3-0
3	1R 1:42 KO（右ストレート）
3	1R 2:52 KO（右フック）
3	1R 1:07 KO（パンチ連打）
3	2R 0:16 KO（右フック）
3	2R 2:01 KO
3	2R 1:58 KO（左ハイキック）
3	1R 0:55 KO
3	判定3-0 (三者とも50-46)
3	1R 2:02 KO
3	3R 判定（0-2）
3	TKO 1R1分37秒 レフェリーストップ
3	判定0-3（三者とも29-30）
3	判定 3-0 （30-29）（30-29）（30-29）
3	3分3R+延長R終了 判定0-3
