# RIZINタグでLANDMARKを含まない大会名の全125件

burakupansa-beinoa	“ブラックパンサー”ベイノア	2025-12-31	RIZIN 師走の超強者祭り	雑賀“ヤン坊”達也	2R 0:32 KO（左ハイキック）
burakupansa-beinoa	“ブラックパンサー”ベイノア	2024-06-09	RIZIN.47	ジョニー・ケース	5分3R終了 判定3-0
burakupansa-beinoa	“ブラックパンサー”ベイノア	2024-04-29	RIZIN.46	井上雄策	5分3R終了 判定3-0
asahisa-taio	朝久 泰央	2025-05-04	RIZIN男祭り	ウザ強ヨシヤ	2R 1分16秒 TKO（レフェリーストップ：左ハイキック）
asahisa-taio	朝久 泰央	2024-12-31	RIZIN DECADE 雷神番外地	YURA	3R 3分00秒 判定（3-0）
ashizawa-ryuusei	芦澤竜誠	2025-09-28	RIZIN.51	梅野源治	5分3R終了 判定0-3
ashizawa-ryuusei	芦澤竜誠	2024-07-28	超RIZIN.3	皇治	5分3R終了 判定3-0
ashizawa-ryuusei	芦澤竜誠	2023-04-01	RIZIN.41	皇治	3R 判定 （1-2）
andi-sawa	アンディ・サワー	2017-10-15	RIZIN FIGHTING WORLD GRAND-PRIX 2017 1st ROUND -秋の陣-	西浦"ウィッキー"聡生	2R（10分/5分）終了 判定0-3
anpo-rukiya	安保瑠輝也	2023-09-24	RIZIN.44	宇佐美正パトリック	3R 判定（3-0：29-26、29-27、29-26）
anpo-rukiya	安保瑠輝也	2023-05-06	RIZIN.42	ブアカーオ・バンチャメーク	3R 判定 ドロー（0-0）
taisei-umei	梅井泰成	2019-10-12	RIZIN.19	植山征紀	3R 判定（3-0）
umeno-genji	梅野源治	2025-09-28	RIZIN.51	芦澤竜誠	5分3R終了 判定3-0
umeno-genji	梅野源治	2024-12-31	RIZIN.49	大雅	5分3R終了 判定3-0
umeno-genji	梅野源治	2024-06-09	Yogibo presents RIZIN.47	魚井フルスイング	3R 判定（3-0）
rui-ebata	江幡 塁	2019-12-31	RIZIN.20	那須川天心	1R 2分46秒 TKO（3ノックダウン）
kaishi	魁志	2022-07-31	湘南美容クリニック presents RIZIN.37	龍聖	3R 1分23秒 TKO（レフェリーストップ）
kido-yasuhiro	城戸康裕	2023-05-06	RIZIN.42	木村“ケルベロス”颯太	3R 判定 （0-3）
kimura-philip-minoru	木村“フィリップ”ミノル	2023-06-24	RIZIN.43	ロクク・ダリ	1R 1分08秒 ノーコンテスト（木村のドーピング検査の結果 陽性により無効試合）
kirizume-daiki	切詰大貴	2025-03-30	RIZIN.50	吉岡龍輝	3R 判定 （2-1）
kunitaka	国崇	2019-06-02	RIZIN.16	堀尾竜司	3R 判定（0-3）
