slug,nameJa,shootoId,date,section,symbol,result,opponentRaw,opponentShootoId,methodRaw,linkedResultId,category,note,mismatchPattern,existingNoteRaw
tanoue-koyuru,田上こゆる,1167,2026-05-31,SHOOTO,○,win,"黒部  和沙",1632,"4R 01:42 TKO",281,matched,"",,""
tanoue-koyuru,田上こゆる,1167,2025-11-16,SHOOTO,×,loss,"新井  丈",49,"判定 3-0",224,matched,"",,""
tanoue-koyuru,田上こゆる,1167,2025-09-21,SHOOTO,○,win,"山上  幹臣",41,"1R 03:49 KO",222,matched,"",,""
tanoue-koyuru,田上こゆる,1167,2024-12-29,SHOOTO,○,win,"旭那  拳",1098,"判定 3-0",214,matched,"",,""
tanoue-koyuru,田上こゆる,1167,2024-05-19,SHOOTO,○,win,"旭那  拳",1098,"1R 01:52 KO",184,matched,"",,""
tanoue-koyuru,田上こゆる,1167,2023-06-18,SHOOTO,○,win,"タイガー  石井",67,"2R 02:49 TKO  レフェリーストップ",161,matched,"",,""
tanoue-koyuru,田上こゆる,1167,2022-12-11,SHOOTO,○,win,"泰斗",1316,"判定 3-0",145,matched,"",,""
tanoue-koyuru,田上こゆる,1167,2022-04-17,SHOOTO,×,loss,"当真  佳直",1176,"判定 0-3",139,matched,"",,""
tanoue-koyuru,田上こゆる,1167,2021-07-04,SHOOTO,×,loss,"安芸  柊斗",1129,"判定 0-3",116,matched,"",,""
tanoue-koyuru,田上こゆる,1167,2020-12-20,SHOOTO,○,win,"永井  美自戒",143,"2R 02:08 KO",103,matched,"",,""
tanoue-koyuru,田上こゆる,1167,2020-02-16,SHOOTO,○,win,"楳沢  智治",51,"1R 04:47 KO",89,matched,"",,""
tanoue-koyuru,田上こゆる,1167,2019-06-30,SHOOTO,○,win,"若林  耕平",1174,"判定 3-0",82,matched,"",,""
tanoue-koyuru,田上こゆる,1167,2019-01-27,SHOOTO,○,win,"牧ヶ谷  篤",80,"判定 0-3",68,matched,"",,""
naito-shoki,内藤頌貴,142,2026-03-30,SHOOTO,○,win,"畠山  隆称",1302,"判定 0-2",262,matched,"",,""
naito-shoki,内藤頌貴,142,2025-09-02,SHOOTO,×,loss,"当真  佳直",1176,"判定 3-0",242,matched,"",,""
naito-shoki,内藤頌貴,142,2025-01-19,SHOOTO,○,win,"泰斗",1316,"判定 0-3",216,matched,"",,""
naito-shoki,内藤頌貴,142,2024-09-22,SHOOTO,○,win,"大城  正也",1227,"1R 02:54 KO",192,matched,"",,""
naito-shoki,内藤頌貴,142,2023-12-02,SHOOTO,×,loss,"石井  逸人",147,"2R 03:16 TS",171,matched,"",,""
naito-shoki,内藤頌貴,142,2023-07-23,SHOOTO,×,loss,"関口  祐冬",959,"判定 3-0",162,matched,"",,""
naito-shoki,内藤頌貴,142,2022-11-27,SHOOTO,○,win,"高岡  宏気",1067,"判定 3-0",134,matched,"",,""
naito-shoki,内藤頌貴,142,2022-07-17,SHOOTO,×,loss,"山内  渉",1348,"判定 0-3",132,matched,"",,""
naito-shoki,内藤頌貴,142,2020-03-21,SHOOTO,○,win,"渡辺  健太郎",112,"1R 05:00 KO",99,matched,"",,""
naito-shoki,内藤頌貴,142,2019-06-30,SHOOTO,×,loss,"前田  吉朗",11,"判定 2-1",82,matched,"",,""
naito-shoki,内藤頌貴,142,2018-12-15,SHOOTO,○,win,"小堀  貴広",27,"2R 03:42 KO",61,matched,"",,""
naito-shoki,内藤頌貴,142,2018-07-15,SHOOTO,×,loss,"清水  清隆",100,"判定 3-0",58,matched,"",,""
naito-shoki,内藤頌貴,142,2018-03-25,SHOOTO,△,draw,"井上  学",163,"判定 1-1",54,matched,"",,""
naito-shoki,内藤頌貴,142,2017-11-19,SHOOTO,○,win,"北原  史寛",96,"1R 02:07 KO  グラウンドパンチ",47,matched,"",,""
naito-shoki,内藤頌貴,142,2016-09-04,SHOOTO,○,win,"奇天烈",127,"判定 3-0",27,matched,"",,""
naito-shoki,内藤頌貴,142,2016-02-27,SHOOTO,○,win,"塙  真一",106,"3R  判定 0-3",28,matched,"",,""
naito-shoki,内藤頌貴,142,2015-12-20,SHOOTO,○,win,"輝龍",129,"1R 01:21 KO",31,matched,"",,""
naito-shoki,内藤頌貴,142,2015-07-12,SHOOTO,△,draw,"オニボウズ",18,"2R  判定 0-1",,new2b_event_missing,"post-cutoffだがprofileページに大会リンクなし",,""
naito-shoki,内藤頌貴,142,2015-02-11,SHOOTO,○,win,"前山  哲兵",79,"2R  判定 0-2",,new2b_event_missing,"post-cutoffだがprofileページに大会リンクなし",,""
naito-shoki,内藤頌貴,142,2014-11-16,SHOOTO,△,draw,"萩原  幸太郎",105,"2R  判定 1-1",,new2b_event_missing,"post-cutoffだがprofileページに大会リンクなし",,""
naito-shoki,内藤頌貴,142,2014-09-27,SHOOTO,×,loss,"藤田 ケオン 寿大",150,"2R  判定 3-0",,new2b_event_missing,"post-cutoffだがprofileページに大会リンクなし",,""
naito-shoki,内藤頌貴,142,2014-02-22,SHOOTO,○,win,"鈴木  正克",136,"1R 03:42 KO",,new2b_event_missing,"post-cutoffだがprofileページに大会リンクなし",,""
naito-shoki,内藤頌貴,142,2013-09-22,SHOOTO,×,loss,"梶川  卓",121,"2R  判定 3-0",,new2b_event_missing,"post-cutoffだがprofileページに大会リンクなし",,""
toma-yoshinao,当真佳直,1176,2026-04-19,SHOOTO,○,win,"友利  幸汰",1754,"1R 00:27 S  フロントチョーク",264,matched,"",,""
toma-yoshinao,当真佳直,1176,2025-09-02,SHOOTO,○,win,"内藤  頌貴",142,"判定 3-0",242,matched,"",,""
toma-yoshinao,当真佳直,1176,2025-01-19,SHOOTO,×,loss,"山上  幹臣",41,"判定 1-2",216,matched,"",,""
toma-yoshinao,当真佳直,1176,2024-04-14,SHOOTO,○,win,"根井  博登",1566,"判定 3-0",182,matched,"",,""
