org,weight_class_raw,weight_class_mnews,weight_class_reason,rank,name_official,name_normalized,source_url,fetched_at,mnews_slug,status,match_confidence
pancrase,ミドル級,ミドル級,,王者,コシム・サルドロフ,コシム・サルドロフ,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,sardorov-koshim,hidden,exact
pancrase,ミドル級,ミドル級,,1,林 源平,林源平,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,hayashi-genpei,hidden,exact
pancrase,ミドル級,ミドル級,,2,平田 旭,平田旭,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,hirata-akira,hidden,exact
pancrase,ミドル級,ミドル級,,3,佐藤龍汰朗,佐藤龍汰朗,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,sato-ryutaro,hidden,exact
pancrase,ミドル級,ミドル級,,4,岡村寿紀,岡村寿紀,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,okamura-toshiki,hidden,exact
pancrase,ウェルター級,ウェルター級,,王者,ゴイチ・ヤマウチ,ゴイチ・ヤマウチ,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,yamauchi-goiti,listed,exact
pancrase,ウェルター級,ウェルター級,,1,内藤由良,内藤由良,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,naito-yura,hidden,exact
pancrase,ウェルター級,ウェルター級,,2,武者孝大郎,武者孝大郎,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,musha-kotaro,hidden,exact
pancrase,ウェルター級,ウェルター級,,3,佐藤生虎,佐藤生虎,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,ウェルター級,ウェルター級,,4,村山暁洋,村山暁洋,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,murayama-akihiro,hidden,exact
pancrase,ライト級,ライト級,,王者,ラファエル・バルボーザ,ラファエル・バルボーザ,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,barboza-rafael,listed,exact
pancrase,ライト級,ライト級,,1,神谷大智,神谷大智,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,kamiya-daichi,listed,exact
pancrase,ライト級,ライト級,,2,粕谷優介,粕谷優介,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,kasuya-yusuke,listed,exact
pancrase,ライト級,ライト級,,3,雑賀ヤン坊達也,雑賀ヤン坊達也,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,saiga-yanbo-tatsuya,listed,exact
pancrase,ライト級,ライト級,,4,鈴木慈也,鈴木慈也,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,suzuki-chikaya,hidden,exact
pancrase,ライト級,ライト級,,5,天弥,天弥,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,tenya,listed,exact
pancrase,ライト級,ライト級,,6,平信一,平信一,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,ライト級,ライト級,,7,張豊,張豊,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,ライト級,ライト級,,8,鈴木悠斗,鈴木悠斗,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,フェザー級,フェザー級,,王者,栁川唯人,栁川唯人,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,yanagawa-yuito,listed,exact
pancrase,フェザー級,フェザー級,,暫定王者,オタベク・ラジャボフ,オタベク・ラジャボフ,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,rajabov-otabek,listed,exact
pancrase,フェザー級,フェザー級,,1,カリベク・アルジクル ウール,カリベク・アルジクルウール,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,arzykul-kalybek,hidden,exact
pancrase,フェザー級,フェザー級,,2,敢流,敢流,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,kanru,hidden,exact
pancrase,フェザー級,フェザー級,,3,木下尚祐,木下尚祐,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,kinoshita-naosuke,hidden,exact
pancrase,フェザー級,フェザー級,,4,平田直樹,平田直樹,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,hirata-naoki,listed,exact
