shooto_fighter_id,name_kanji,name_romaji,gym,weight_class_label,last_result_date,source_url,url_contains_romaji,slug_candidate_from_romaji_TABLE_TEXT_NOT_URL,mnews_fighters_ts_match_via_findFighterSlugByName,is_required_60_missing,is_required_19_listed
9,ジェイソン ブリッツ チルダーズ,Jason Childers,BULLPEN MUAYTHAI,フェザー級 [ -65.8 Kg ],,https://www.shooto-mma.com/fighters/?id=9,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",jason-childers,,,
1675,大貫 吏翔,RITO OONUKI,心技館,キッズ・ジュニア修斗,2024-03-23,https://www.shooto-mma.com/fighters/?id=1675,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",rito-oonuki,,,
1634,岡見 勇信,YUSHIN OKAMI,EXFIGHT,ミドル級 [ -83.9 Kg ],2024-11-30,https://www.shooto-mma.com/fighters/?id=1634,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",yushin-okami,,,
1676,佐久間 丈,JO SAKUMA,フォーランバス,キッズ・ジュニア修斗,2026-06-01,https://www.shooto-mma.com/fighters/?id=1676,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",jo-sakuma,,,
1081,Jセロウ 若林,J SEROU WAKABAYASHI,SAI-GYM,バンタム級 [ -61.2 Kg ],2023-11-19,https://www.shooto-mma.com/fighters/?id=1081,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",j-serou-wakabayashi,,,
1792,山﨑 龍青,,MMA＆BJJ BLOWS,バンタム級 [ -61.2 Kg ]A,2025-04-13,https://www.shooto-mma.com/fighters/?id=1792,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
2049,高井 悠人,,MMA RANGERS GYM,A,2026-06-28,https://www.shooto-mma.com/fighters/?id=2049,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
2050,脇 輝男,,MASTER JAPAN YAMAGUCHI UBE,A,2026-06-28,https://www.shooto-mma.com/fighters/?id=2050,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
2051,真 生,,MMA RANGERS GYM,A,2026-06-28,https://www.shooto-mma.com/fighters/?id=2051,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1798,翔べ！ ゆうすけ！,,マスタージャパン,フェザー級 [ -65.8 Kg ]A,2026-06-01,https://www.shooto-mma.com/fighters/?id=1798,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1799,吉田 琉一郎,,THE BLACKBELT JAPAN,バンタム級 [ -61.2 Kg ]A,2025-04-20,https://www.shooto-mma.com/fighters/?id=1799,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1800,下間 英史,,THE BLACKBELT JAPAN,バンタム級 [ -61.2 Kg ]A,2026-07-13,https://www.shooto-mma.com/fighters/?id=1800,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
