slug	date	event	opponent	verdict	evidence_note
gono-akihiro	2012-07-21	DEEP TOKYO IMPACT 2012　SBルール	KID HMC SAGE	NOT_MMA	Wikipedia戦績表で本試合は「SBルール」(シュートボクシングルール=キックボクシングルール)と明記。DEEP興行内だがS-cup予選としてシュートボクシングルールで実施。
gono-akihiro	2005-03-06	パンクラス PANCRASE 2005 SPIRAL TOUR	桜木裕司	NOT_MMA	Wikipedia戦績表・pancrase.co.jp公式結果ページともに本試合は「全日本キックボクシング連盟公式試合」と明記。パンクラス興行の一戦だが試合自体はキックボクシングルール。
jorujio-petoroshian	2018-07-14	Bellator Kickboxing 10	チンギス・アラゾフ	NOT_MMA	Bellator KickboxingはBellator MMAとは別のキックボクシング専門部門。ジョルジオ・ペトロシアンは終始ムエタイ/キックボクサーであり組み技は行わない。
jorujio-petoroshian	2017-04-08	Bellator Kickboxing 5 at Bellator 176	Amansio Paraschiv	NOT_MMA	TapologyでBellator Kickboxing 5は「Kickboxing Bout」と明確に分類。ペトロシアンのキャリアは一貫してキックボクシング。
jorujio-petoroshian	2016-12-10	Bellator Kickboxing 4 at Bellator 168	ジョーダン・ワトソン	NOT_MMA	ISKA K-1スーパーウェルター級王座決定戦としてBellator Kickboxing興行内で実施。キックボクシングルール(複数媒体で確認)。
jorujio-petoroshian	2006-11-19	Rings Kickboxing Gala	イムロ・メイン	NOT_MMA	TapologyでRings Holland(通称Rings Kickboxing Gala)の当該対戦は「Muay Thai Bout」と分類。日本のMMA団体RINGSとは無関係のオランダのキックボクシング/ムエタイ興行。
hyuu	2024-07-28	PROFESSIONAL SHOOTO 2024 vol.6 in OSAKA	山崎一央	NOT_MMA	BOUTREVIEW記載カード情報に、陽勇が出場したCKC 2024 -63kgトーナメントは「全日本新空手道連盟提供試合　キックルール」と明記。修斗興行内の併催キックボクシング枠。
hyuu	2024-07-28	PROFESSIONAL SHOOTO 2024 vol.6 in OSAKA	奇天烈	NOT_MMA	同上。BOUTREVIEWで同じCKC 2024 -63kgトーナメントが「キックルール」(全日本新空手道連盟提供試合)と明記されている。
tairon-supon	2007-03-25	Rings Gala	アミール・ゼヤダ	NOT_MMA	TapologyでRings Holland(Rings Gala)の当該対戦は「Kickboxing Bout」と分類。タイロン・スポーンは当時(2001-2014)キックボクシング専業で日本のRINGSとは無関係。
tairon-supon	2006-11-12	2 Hot 2 Handle - Pride & Honor	ユーリ・メス	NOT_MMA	Tapologyで「2 Hot 2 Handle」は「Muay Thai Bout」と分類。オランダのムエタイ/キックボクシング興行シリーズで日本のPRIDE FC(総合格闘技)とは無関係。
tairon-supon	2006-06-18	Pride & Honor Ahoy 2006	セーム・ブラーン	NOT_MMA	ja.wikipediaタイロン・スポーン記事で本試合は「キックボクシング」セクションに分類。スポーンは2006年当時キックボクシング専業(MMA参戦は2012年以降)。
uei-rui	2017-04-28	Rise of Heroes: Chengde	Narongwut Kaeongam	NOT_MMA	ja.wikipediaウェイ・ルイ記事で本試合は「キックボクシング」セクションに分類(「総合格闘技」セクションは2018年Glory of Heroes 35の1試合のみ)。Rise of HeroesはGlory of Heroes系列の中国キックボクシング興行。
uei-rui	2016-10-29	Rise of Heroes 3	Piyawong Kaliku	NOT_MMA	同上。ja.wikipediaでキックボクシングセクションに明記。TapologyでもRise of Heroes 1はGlory of Heroes系のキックボクシング/MMA混合カードだが、ウェイ・ルイの出場種目はキックボクシング。
uei-rui	2016-09-17	Rise of Heroes 1	マクシム・ペトケビッチ	NOT_MMA	同上。ja.wikipediaでキックボクシングセクションに明記。ウェイ・ルイは当時K-1/散打系のキックボクサーとして参戦。
satou-kenichi	2003-07-13	新・格闘技の祭典	井上哲	NOT_MMA	ja.wikipedia佐藤堅一記事で本試合は「キックボクシング」セクションに分類(「総合格闘技」セクションとは別立て)。
satou-kenichi	2000-06-18	マーシャルアーツ日本キックボクシング連盟「サムライ2000」（サムライルール　※キックボクシングと総合格闘技の混合ルール）	浅野将一	NOT_MMA	「サムライルール」はシュートボクシング系の立ち技ルールで、パンチ・キック・投げ技・立関節技は認めるが寝技の攻防は一切禁止(常にスタンディング)と確認。ja.wikipediaでも本試合はキックボクシングセクションに分類されており、MMAの定義(寝技・タックルを含む組み技)を満たさない。
garyuu-shingo	2009-09-06	ACCEL DREAM NIGHT vol.12	TOMOYUKI	NOT_MMA	ja.wikipedia我龍真吾記事で本試合は「キックボクシング」セクションに分類。同記事冒頭でも我龍真吾は「元キックボクサー」と紹介されている。
garyuu-shingo	2005-04-10	club DEEP 福岡 天下一祭り	野村俊祐	NOT_MMA	ja.wikipedia我龍真吾記事で本試合は「キックボクシング」セクションに分類。「club DEEP」はMMA団体DEEPとは別の福岡の会場/興行名。
meruvin-manufu	2016-04-16	Bellator Kickboxing 1	アレクサンドル・ネグレア	NOT_MMA	Tapologyで「Bellator Kickboxing 1: Oktagon 2016」は「Kickboxing Event」と明記。メルヴィン・マヌーフは普段MMA選手だが、この一戦はBellator MMAとは別のキックボクシング部門での復帰戦。
beni-yukide	1977-11-14	全日本キックボクシング協会『格闘技大戦争』	岡尾国光	NOT_MMA	ja.wikipedia「ベニー・ユキーデ」記事に、この来日シリーズは「キックボクシングとWKAの折衷ルール（肘打ち禁止、膝蹴りはボディーのみ）」で行われたと明記されており、組み技・関節技の無い立ち技限定ルール。
beni-yukide	1977-08-02	新日本プロレス『格闘技世界一決定戦』	鈴木勝幸	NOT_MMA	同上ja.wikipedia記事に同一の「キックボクシング/WKA折衷ルール」での一戦と明記。新日本プロレス興行の前座だが試合自体は立ち技限定。
abe-motoe	2006-11-26	NO NAME HEROES 6 -GO GO UGO!-	MITSUKI	NOT_MMA	ja.wikipedia「安倍基江」記事は全戦績が単一のKickboxing recordboxにまとめられ、本試合(3R終了 判定3-0)もJ-GIRLS系女子キックボクシング選手としての記録に含まれる。総合格闘技セクションは存在しない。
denisu-shunaidomira	2007-11-18	RINGS in Enschede.T	ジャウェド・エル・ビャリ	NOT_MMA	ja.wikipedia「デニス・シュナイドミラー」記事は全戦績がキックボクサーとしての記録のみ(K-1・RDF等と並列)で、本大会も同列に掲載。Tapologyでも本人戦は「kickboxing tournament championship bout」と記載され、日本の総合格闘技団体Fighting Network RINGSとは別のオランダの興行名。
denisu-shunaidomira	2007-11-18	RINGS in Enschede.T	タリック・スリマニ	NOT_MMA	同上。同一大会の1回戦(3R終了 判定3-0)で、同じくキックボクシング戦績として掲載。
satou-tomonori	2012-03-18	ノースエリア格闘技イベント BOUT 11	パンデーン・シットモンチャイ	NOT_MMA	ja.wikipedia「佐藤友則」記事の戦績は単一のKickboxing recordboxにまとめられ、「ノースエリア格闘技イベント BOUT」シリーズの全試合がその中に含まれる。本人は一貫してプロキックボクサー(NJKF・ムエタイ)として活動、MMAセクションは無い。
satou-tomonori	2011-10-10	ノースエリア格闘技イベント BOUT-X	ATCHアナーキー	NOT_MMA	同上。同記事のキックボクシング戦績表に掲載(2R 2:14 KO)。
satou-tomonori	2011-03-13	ノースエリア格闘技イベント BOUT-VIII	キム・ヨンミン	NOT_MMA	同上。同記事のキックボクシング戦績表に掲載(1R 3:02 TKO)。
satou-tomonori	2010-03-14	ノースエリア格闘技イベント BOUT-VI	民洞現	NOT_MMA	同上。同記事のキックボクシング戦績表に掲載(5R終了 判定3-0)。
satou-tomonori	2009-03-15	ノースエリア格闘技イベント BOUT-IV	ペッチシーニル・ポータナポル	NOT_MMA	同上。同記事のキックボクシング戦績表に掲載(2R TKO ドクターストップ:顔面カット)。
hamada-takumi	2019-02-17	PANCRASE REBELS RING.1	響波	NOT_MMA	ja.wikipedia「濱田巧」記事は「プロ総合格闘技」と「キックボクシング」の2つの戦績表に明確に分離されており、本試合(3分3R終了 判定3-0)は後者のキックボクシング記録に掲載。総合格闘技団体パンクラスとキックボクシング興行REBELSの合同興行名の一戦とみられる。
robu-kaman	1992-12-11	格闘技シンポジウム～総合格闘技完成前夜	アダム・ワット	NOT_MMA	ja.wikipedia「ロブ・カーマン」記事の戦績表で本試合(2R 0:49 KO 左フック)は「キックボクシング」節に掲載。「総合格闘技完成前夜」は大会名の一部で、記事上は総合格闘技節に分類されていない。
robu-kaman	1992-08-21	リングス MEGA BATTLE SPECIAL 礎～ISHIZUE	佐竹雅昭	NOT_MMA	相手である佐竹雅昭本人のja.wikipedia記事で本試合は「【グローブマッチ】」と明記され、リングス(総合格闘技)節ではなく彼のキックボクシング戦績表(recordbox)にも重複掲載されている。RINGS興行内で行われたキックボクシングルールの特別試合で、同カードの正規RINGS戦(反則・関節技等が起きる試合)とは区別されている。
robu-kaman	1992-03-26	硬派er～'92格闘技オリンピックⅠ	アダム・ワット	NOT_MMA	ロブ・カーマン記事のキックボクシング節に掲載(2R 2:18 KO 左ボディアッパー)。Web検索でも「キックボクシングルール(3分5R)」の一戦と説明されている。
robu-kaman	1988-11-25	格闘技大戦争パート5	ショーン・オレガン	NOT_MMA	ロブ・カーマン記事のキックボクシング節に掲載(2R 1:00 KO 左フック)。「格闘技大戦争」は1977年の全日本キックボクシング協会興行がルーツのキックボクシング興行ブランドで、80年代も同名義でキック興行として継続。
robu-kaman	1988-10-14	格闘技大戦争パート4	カリブ・ゲイブ・カールマイケル	NOT_MMA	同上。ロブ・カーマン記事のキックボクシング節に掲載(3R 1:43 KO 右ローキック)。
robu-kaman	1988-07-16	格闘技大戦争 Part III	サンディアゴ・ガルザ	NOT_MMA	同上。ロブ・カーマン記事のキックボクシング節に掲載(3R 0:35 KO 右ローキック)。
robu-kaman	1988-05-29	格闘技大戦争PART2	ハンスー・プレムチャイ	NOT_MMA	同上。ロブ・カーマン記事のキックボクシング節に掲載(1R 1:46 KO パンチ連打)。
robu-kaman	1988-03-12	格闘技大戦争	カークウッド・ウォーカー	NOT_MMA	同上。ロブ・カーマン記事のキックボクシング節に掲載(4R 1:55 KO 左フック)。対戦相手カークウッド・ウォーカーもja.wikipediaに単独記事のあるキックボクサー。
