slug,nameJa,wikiTitle
taira-tatsuro,平良 達郎,平良達郎
nakamura-rinya,中村 倫也,中村倫也 (格闘家)
horiguchi-kyoji,堀口 恭司,堀口恭司
asakura-kai,朝倉 海,朝倉海
tsuruya-rei,鶴屋 怜,鶴屋怜
hiramoto-ren,平本 蓮,平本蓮
asakura-mikuru,朝倉 未来,朝倉未来
koike-kleber,クレベル・コイケ,クレベル・コイケ
akimoto-kyoma,秋元 強真,秋元強真
inoue-naoki,井上 直樹,井上直樹 (格闘家)
izawa-seika,伊澤 星花,伊澤星花
rena,RENA,RENA (格闘家)
saito-yutaka,斎藤 裕,斎藤裕 (格闘家)
ya-man,YA-MAN,YA-MAN
hagiwara-kyohei,萩原 京平,萩原京平
majima-kazumasa,摩嶋 一整,摩嶋一整
hiroya,ヒロヤ,ヒロヤ
shinryu-makoto,神龍 誠,神龍誠
ougikubo-hiromasa,扇久保 博正,扇久保博正
motoya-yuki,元谷 友貴,元谷友貴
yachi-yusuke,矢地 祐介,矢地祐介
shinotsuka-tatsuki,篠塚 辰樹,篠塚辰樹
tomizawa-daichi,冨澤 大智,冨澤大智
ashizawa-ryusei,芦澤 竜誠,芦澤竜誠
jolly,ジョリー,ジョリー (格闘家)
fukuda-ryuya,福田 龍彌,福田龍彌
takagi-ryo,高木 凌,高木凌
ota-shinobu,太田 忍,太田忍
kate-lotus,ケイト・ロータス,ケイト・ロータス
hiramoto-jo,平本 丈,平本丈
oshima-saori,大島 沙緒里,大島沙緒里
kashimura-jinnosuke,鹿志村 仁之介,鹿志村仁之介
sato-shoko,佐藤 将光,佐藤将光
goto-joji,後藤 丈治,後藤丈治
ito-yuki,伊藤 裕樹,伊藤裕樹 (格闘家)
suzuki-chihiro,鈴木 千裕,鈴木千裕
soya-takaki,征矢 貴,征矢貴
noel,NOEL,NOEL (格闘家)
nomura-shunta,野村 駿太,野村駿太
yamamoto-arsen,山本 アーセン,山本アーセン
horie-yoshinori,堀江 圭功,堀江圭功
souza-roberto-satoshi,ホベルト・サトシ・ソウザ,ホベルト・サトシ・ソウザ
ando-tatsuya,安藤 達也,安藤達也
sakuraba-taisei,桜庭 大世,桜庭大世
usami-sho-patrick,宇佐美正パトリック,宇佐美正パトリック
umeno-genji,梅野 源治,梅野源治
kintaro,金太郎,金太郎 (格闘家)
suda-moeri,須田 萌里,須田萌里
kubo-yuta,久保 優太,久保優太
takeda-koji,武田 光司,武田光司
tokoro-hideo,所 英男,所英男
edpolo-king,エドポロキング,エドポロキング
ueda-mikio,上田 幹雄,上田幹雄
sudario-tsuyoshi,スダリオ 剛,スダリオ剛
takenshin,貴賢神,貴賢神
kouzi,皇治,皇治
suzuki-hiroaki,鈴木 博昭,鈴木博昭 (格闘家)
miyagawa-hyuga,宮川 日向,宮川日向
naoki,直樹,直樹
mizuno-shinta,水野 新太,水野新太
ohara-juri,大原樹理,大原樹理
kuramoto-daigo,倉本大悟,倉本大悟
shimada-ibuki,嶋田伊吹,嶋田伊吹
sakai-ryo,酒井リョウ,酒井リョウ
sekihara-sho,関原翔,関原翔
rikiya,力也,力也 (格闘家)
gomyo-hiroto,五明宏人,五明宏人
ushiku-juntaro,牛久絢太郎,牛久絢太郎
muramoto-yutaro,村元友太郎,村元友太郎
hiramatsu-sho,平松翔,平松翔
sugiyama-sora,杉山空,杉山空
abe-daiji,阿部大治,阿部大治
takizawa-kenta,瀧澤謙太,瀧澤謙太
nakamura-daisuke,中村大介,中村大介 (プロレスラー)
izumi-takeshi,泉武志,泉武志
kindaichi-kosuke,金田一孝介,金田一孝介
kubota-taito,窪田泰斗,窪田泰斗
kozaki-ren,小崎連,小崎連
strasser-kiichi,ストラッサー起一,ストラッサー起一
kinoshita-karate,木下カラテ,木下タケアキ
uoi-fullswing,魚井フルスイング,魚井フルスイング
miyabi-shunsuke,雅駿介,雅駿介
kadono-kohei,角野晃平,角野晃平
akazawa-yukinori,赤沢幸典,赤沢幸典
yamagami-mikihito,山上幹臣,山上幹臣
ryoga,亮我,亮我
arai-jo,新井丈,新井丈
nakamura-yusaku,中村優作,中村優作
nose-shohei,野瀬翔平,野瀬翔平
sasuke,SASUKE,SASUKE (格闘家)
efeviga-yushi,エフェヴィガ雄志,エフェヴィガ雄志
sumimura-ryuichiro,住村竜市朗,住村竜市朗
yamauchi-goiti,ゴイチ・ヤマウチ,ゴイチ・ヤマウチ
murayama-akihiro,村山暁洋,村山暁洋
saiga-yanbo-tatsuya,雑賀ヤン坊達也,雑賀“ヤン坊”達也
beinoa,ブラックパンサーベイノア,“ブラックパンサー”ベイノア
yanagawa-yuito,栁川唯人,栁川唯人
kanru,敢流,敢流
hirata-naoki,平田直樹,平田直樹
yamaguchi-satoshi,山口怜臣,山口怜臣
kenmin,賢民,賢民
patchy-mix,パッチー・ミックス,パッチー・ミックス
sabatello-danny,ダニー・サバテロ,ダニー・サバテロ
patricky-pitbull,パトリッキー・ピットブル,パトリッキー・ピットブル
dodson-john,ジョン・ドッドソン,ジョン・ドッドソン
zulu-nkazimulo,エンカジムーロ・ズールー,エンカジムーロ・ズールー
gallagher-james,ジェームズ・ギャラガー,ジェームズ・ギャラガー
nakajima-taichi,中島太一,中島太一
case-johnny,ジョニー・ケース,ジョニー・ケース
torres-jose,ホセ・トーレス,ホセ・トーレス (格闘家)
gustavo-luis,ルイス・グスタボ,ルイス・グスタボ
soldatkin-alexander,アレクサンダー・ソルダトキン,アレクサンダー・ソルダトキン
karshyga-dautbek,カルシャガ・ダウトベック,カルシャガ・ダウトベック
