slug,nameJa,reason,note
tsubaki-asuka,椿飛鳥,未検出,
hibino-junya,日比野純也,未検出,
kenshiro,ケンシロウ,同名別人疑い(内容未確認・全候補却下),"hitTitle=""ケンシロウ""->resolvedTitle=""ケンシロウ"""
nakatani-yuga,中谷優我,未検出,
suzuki-taisei,鈴木大晟,未検出,
seigo,誠悟,未検出,
suwabe-teppei,諏訪部哲平,未検出,
sugino-aren,杉野亜蓮,未検出,
daiya,ダイヤ,同名別人疑い(内容未確認・全候補却下),"hitTitle=""ダイヤ""->resolvedTitle=""ダイヤ"""
naito-tank,タンク内藤,未検出,
arato-hidetaka,荒東英貴,未検出,
terasaki-shoryu,寺崎昇龍,未検出,
karino-yu,狩野優,未検出,
yamamoto-soushi,山本颯志,未検出,
yamamoto-arihito,山本有人,未検出,
ishizaka-kushi,石坂空志,未検出,
china-sukai,知名昴海,未検出,
higashi-yoko,東ようこ,未検出,
tanoue-koyuru,田上こゆる,未検出,
naito-shoki,内藤頌貴,未検出,
toma-yoshinao,当真佳直,未検出,
hatakeyama-ryuya,畠山隆称,未検出,
kurobe-kazusa,黒部和沙,同名別人疑い(内容未確認・全候補却下),"hitTitle=""黒部和沙""->resolvedTitle=""黒部和沙"""
taito-rangers,泰斗,同名別人疑い(内容未確認・全候補却下),"hitTitle=""泰斗""->resolvedTitle=""巨匠"""
takaoka-hiroki,高岡宏気,未検出,
suzuki-simon,シモンスズキ,未検出,
sekiguchi-yuto,関口祐冬,未検出,
nagai-kanata,永井奏多,未検出,
saito-shoji,齋藤奨司,未検出,
nakano-goki,中野剛貴,未検出,
sugino-kosei,杉野光星,未検出,
baterdene-simbaatar,シンバートルバットエルデネ,未検出,
hikaru,ヒカル,同名別人疑い(内容未確認・全候補却下),"hitTitle=""ヒカル""->resolvedTitle=""ひかる"""
aoi-taichi,青井太一,未検出,
tateo,たてお,未検出,
horie-taishi,堀江耐志,未検出,
toma,TOMA,同名別人疑い(内容未確認・全候補却下),"hitTitle=""TOMA""->resolvedTitle=""TOMA"""
im-kwangwoo,イムクァンウ,未検出,
goto-ryo,後藤亮,同名別人疑い(内容未確認・全候補却下),"hitTitle=""後藤亮""->resolvedTitle=""後藤亮"""
captain-africa,キャプテン☆アフリカ,未検出,
shivaev,シヴァエフ,未検出,
nishio-shinsuke,西尾真輔,未検出,
desouza-marcel,デソウザマルセル,未検出,
sumiyoshi-ryota,墨吉涼太,未検出,
cooper-makoa,マコアクーパー,未検出,
saijo-hidenari,西條英成,未検出,
soki,ソーキ,同名別人疑い(内容未確認・全候補却下),"hitTitle=""ソーキ""->resolvedTitle=""ソーキ"""
sardorov-koshim,コシム・サルドロフ,未検出,
hayashi-genpei,林源平,未検出,
hirata-akira,平田旭,未検出,
sato-ryutaro,佐藤龍汰朗,未検出,
okamura-toshiki,岡村寿紀,未検出,
naito-yura,内藤由良,未検出,
musha-kotaro,武者孝大郎,未検出,
barboza-rafael,ラファエル・バルボーザ,未検出,
kamiya-daichi,神谷大智,未検出,
kasuya-yusuke,粕谷優介,未検出,
suzuki-chikaya,鈴木慈也,未検出,
rajabov-otabek,オタベク・ラジャボフ,未検出,
arzykul-kalybek,カリベク・アルジクルウール,未検出,
kinoshita-naosuke,木下尚祐,未検出,
tajima-ryo,田嶋椋,未検出,
miyagi-naraho,宮城成歩滝,未検出,
takashiro-mitsuhiro,高城光弘,未検出,
matsui-ryo,松井涼,未検出,
imura-rui,井村塁,未検出,
tokida-takashige,時田隆成,未検出,
kishida-hiroto,岸田宙大,未検出,
shindo-genta,眞藤源太,未検出,
tanimura-taika,谷村泰嘉,未検出,
miyazawa-yuta,宮澤雄大,未検出,
sasaki-shunma,佐々木瞬真,未検出,
funada-denchi,船田電池,未検出,
