org,階級,出場回数,name_mnews,qid,label_ja,sherdog_id,match_confidence
deep,DEEPバンタム級 5分2R,1,坂野周平,,,,none
deep,DEEPバンタム級 5分2R,3,井上セナ,,,,none
deep,DEEPフェザー級 5分2R,3,マイティ・saw,,,,none
deep,DEEPフェザー級 5分2R,3,中尾響,,,,none
deep,DEEPバンタム級 5分2R,3,朝比奈龍希,,,,none
deep,DEEPバンタム級 5分2R,2,川口海翔,,,,none
deep,DEEPフライ級 5分2R,2,今野蓮弥,,,,none
deep,DEEPフライ級 5分2R,2,今井風快,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,1,琥,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,1,渡部恵多,,,,none
deep,DEEPフェザー級 3分2R アマチュアSルール,3,大越充悟,,,,none
deep,DEEPフェザー級 3分2R アマチュアSルール,1,佐々木琢磨,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,1,森谷風真,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,1,齋藤未来,,,,none
deep,DEEPライト5分3R,3,山田聖真,,,,none
deep,DEEPフェザー級 5分3R,2,太田将吾,Q131353598,太田将吾,410090,exact
deep,DEEPバンタム級 5分3R,2,河村泰博,,,,none
deep,DEEPフェザー級 5分2R,3,高橋正親,,,,none
deep,DEEＰフライ級 5分2R,3,マサト・ナカムラ,,,,none
deep,DEEＰフライ級 5分2R,1,斎藤璃貴,,,,none
deep,DEEPフライ級 5分2R,4,松井優磨,,,,none
deep,DEEPフライ級 5分2R,4,石原射,,,,none
deep,DEEPバンタム級 5分2R,3,矢野武蔵,,,,none
deep,DEEPフライ級 5分2R,2,武利侑都,,,,none
deep,DEEPフライ級 5分2R,4,横内三旺,Q132432372,横内三旺,434731,exact
deep,DEEPフライ級 3分2R アマチュアSルール,3,秋元優志,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,3,荒井夕翔,,,,none
deep,DEEP JEWELSフライ級 5分3R,3,栗山葵,,,,none
deep,DEEP JEWELSフライ級 5分3R,1,サラ・マフムード,,,,none
deep,DEEPライト級 5分2R,1,Street♡★Bob洸助,,,,none
deep,DEEPライト級 5分2R,3,河坂修斗,,,,none
deep,DEEPフェザー級 5分2R,3,小川道的,,,,none
deep,DEEPフェザー級 5分2R,4,澤田龍美,,,,none
deep,DEEPバンタム級 5分2R,1,フェルナンド,,,,none
deep,DEEPバンタム級 5分2R,2,カーレッジユウキ,,,,none
deep,DEEP JEWELSストロー級 5分2R,2,橋本葵,,,,none
deep,DEEP JEWELSストロー級 5分2R,3,渡辺真央,,,,none
deep,DEEPフェザー級 3分2RアマチュアSルール,1,加藤憂也,,,,none
deep,DEEPフェザー級 3分2RアマチュアSルール,1,大島伊玖都,,,,none
deep,DEEP WEST JAPAN BANTAMWEIHT GP 2026一回戦 5分3R,1,切嶋龍輝,,,,none
deep,DEEP WEST JAPAN BANTAMWEIHT GP 2026一回戦 5分3R,3,大空斗,,,,none
deep,DEEP WEST JAPAN BANTAMWEIHT GP 2026一回戦 5分3R,3,谷岡祐樹,,,,none
deep,DEEP WEST JAPAN BANTAMWEIHT GP 2026一回戦 5分3R,2,MG眞介,,,,none
deep,DEEP WEST JAPAN BANTAMWEIHT GP 2026一回戦 5分3R,1,みやび,,,,none
deep,DEEPウェルター級 5分2R,2,虎鉄,,,,none
deep,DEEPウェルター級 5分2R,2,窪田大羅,,,,none
deep,DEEP JEWELSフライ級 5分2R,2,鈴木“QP”まい,,,,none
deep,DEEP JEWELSフライ級 5分2R,1,ルリー・サンシャイン,,,,none
deep,DEEPフェザー級 5分2R,2,古根川充,,,,none
deep,DEEPフェザー級 5分2R,1,権藤大剛,,,,none
deep,DEEPメガトン級 5分2R,2,ステファン“スマッシュ”,,,,none
deep,DEEPメガトン級 5分2R,3,酒井天佑,,,,none
deep,DEEPフェザー級 5分2R,1,TATSUMI,,,,none
deep,DEEPフェザー級 5分2R,4,加藤綾真,,,,none
deep,DEEPウェルター級 5分2R,4,浅野功暉,,,,none
deep,DEEPウェルター級 5分2R,1,カーン・ソガズ,,,,none
deep,DEEPバンタム級 5分2R,2,時任流架,,,,none
deep,DEEPバンタム級 5分2R,2,鈴木幹也,,,,none
deep,DEEPバンタム級 5分2R,4,中川内羽矢斗,,,,none
deep,DEEPバンタム級 5分2R,2,熊澤バイオレンス,,,,none
deep,DEEPフェザー級 5分2R,2,宜野座ケビン,,,,none
deep,DEEPフェザー級 5分2R,1,大澤空,,,,none
deep,MAXFCJAPAN公式戦 -48kg契約 3分3R（EX1R）,1,ユリカ・グラップリングシュートボクサーズジム,,,,none
deep,MAXFCJAPAN公式戦 -48kg契約 3分3R（EX1R）,1,パク・ソヨン,,,,none
deep,DEEPバンタム級 5分2R,1,SHOYA,,,,none
deep,DEEPバンタム級 5分2R,3,吉田翼,,,,none
deep,MAXFCJAPAN公式戦 -54kg契約 3分3R（EX1R）,1,朱里グラップリングシュートボクサーズジム,,,,none
deep,MAXFCJAPAN公式戦 -54kg契約 3分3R（EX1R）,1,チェ・ウンジ,,,,none
deep,DEEPフェザー級 3分2R アマチュアSルール,1,青井佑磨,,,,none
deep,DEEPフェザー級 3分2R アマチュアSルール,2,三島康貴,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,黒川晃司,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,早田大牙,,,,none
deep,DEEPフライ級 5分2R,1,三ツ塚勇介,,,,none
deep,DEEPフライ級 5分2R,3,永井宏人,,,,none
deep,DEEPフライ級 5分2R,4,古市陸,,,,none
deep,DEEPフライ級 5分2R,1,橋上壮馬,,,,none
deep,DEEPバンタム級 5分2R,2,椿馨,,,,none
deep,DEEPバンタム級 5分2R,1,青代享,,,,none
deep,DEEPフライ級 5分2,3,山田悠太,,,,none
deep,DEEPフライ級 5分2,1,川畑凜斗,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,2,内田菱牙,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,1,吉口聖也,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,1,真下健嗣,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,1,土屋太郎,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,2,細川晄希,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,1,倉冨立聖,,,,none
deep,DEEPバンタム級 5分2R,2,内山拓真,,,,none
deep,DEEPメガトン級 5分2R,2,奥野充貴,,,,none
deep,DEEPメガトン級 5分2R,2,木之下喧壱,,,,none
deep,DEEPフライ級 5分2R,1,青田剛,,,,none
deep,DEEPフライ級 5分2R,1,大野勇斗,,,,none
deep,DEEPバンタム級 5分2R,2,AKIYOSHI,,,,none
deep,DEEPバンタム級 5分2R,1,西原大貴,,,,none
deep,DEEPバンタム級 5分2R,3,伊藤一輝,,,,none
deep,DEEPバンタム級 5分2R,1,ルーク中村,,,,none
deep,DEEPウェルター級 5分2R,3,小林ゆたか,,,,none
deep,DEEPウェルター級 5分2R,3,真野アミル,,,,none
deep,DEEPフライ級 5分2R,1,平井総一郎,,,,none
deep,DEEPフライ級 5分2R,3,マサムネ,,,,none
deep,DEEPバンタム級 5分2R,1,一輝,,,,none
deep,DEEPバンタム級 5分2R,2,佐藤修斗,,,,none
deep,DEEPストロー級 3分2R アマチュアSルール,3,加藤翔奏,,,,none
deep,DEEPストロー級 3分2R アマチュアSルール,1,ショーン・ホマレー,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,高田真音,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,石津隼人,,,,none
deep,DEEPストロー級 3分2R アマチュアSルール,2,菊池創太,,,,none
deep,DEEPストロー級 3分2R アマチュアSルール,2,フェリペ・ハセヤマ,,,,none
deep,DEEP JEWELS 49kg以下 5分2R,3,上瀬あかり,,,,none
deep,DEEP JEWELS 49kg以下 5分2R,3,渡邊花美,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,和久田月聖,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,黒太翔人,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,トーマ,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,RYUA,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,2,ランボルギーニ,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,2,高橋典斗,,,,none
deep,DEEP 60kg以下 3分3R KICKルール,1,金子徹哉,,,,none
